Año	Residencia área código	Residencia continente nombre	Residencia país código	Residencia país nombre	Residencia área nombre	Inscripción provincia código	Inscripción provincia nombre	Inscripción municipio código	Inscripción municipio nombre	Inscripcion municipio estrato	Sexo	Personas
2009	01	Europa	102	Austria	UE-27_2007	22	Huesca	22125	Huesca	7	Mujer	1,0
2009	01	Europa	102	Austria	UE-27_2007	22	Huesca	22130	Jaca	6	Hombre	1,0
2009	01	Europa	102	Austria	UE-27_2007	44	Teruel	44216	Teruel	7	Hombre	1,0
2009	01	Europa	102	Austria	UE-27_2007	50	Zaragoza	50297	Zaragoza	7	Hombre	25,0
2009	01	Europa	102	Austria	UE-27_2007	50	Zaragoza	50297	Zaragoza	7	Mujer	41,0
2009	01	Europa	103	Bélgica	UE-27_2007	22	Huesca	22048	Barbastro	6	Hombre	3,0
2009	01	Europa	103	Bélgica	UE-27_2007	22	Huesca	22048	Barbastro	6	Mujer	2,0
2009	01	Europa	103	Bélgica	UE-27_2007	22	Huesca	22112	Fraga	6	Hombre	1,0
2009	01	Europa	103	Bélgica	UE-27_2007	22	Huesca	22125	Huesca	7	Hombre	14,0
2009	01	Europa	103	Bélgica	UE-27_2007	22	Huesca	22125	Huesca	7	Mujer	12,0
2009	01	Europa	103	Bélgica	UE-27_2007	22	Huesca	22130	Jaca	6	Hombre	4,0
2009	01	Europa	103	Bélgica	UE-27_2007	22	Huesca	22130	Jaca	6	Mujer	3,0
2009	01	Europa	103	Bélgica	UE-27_2007	22	Huesca	22158	Monzón	6	Hombre	1,0
2009	01	Europa	103	Bélgica	UE-27_2007	22	Huesca	22158	Monzón	6	Mujer	1,0
2009	01	Europa	103	Bélgica	UE-27_2007	44	Teruel	44013	Alcañiz	6	Mujer	1,0
2009	01	Europa	103	Bélgica	UE-27_2007	44	Teruel	44216	Teruel	7	Hombre	4,0
2009	01	Europa	103	Bélgica	UE-27_2007	44	Teruel	44216	Teruel	7	Mujer	6,0
2009	01	Europa	103	Bélgica	UE-27_2007	50	Zaragoza	50067	Calatayud	6	Hombre	4,0
2009	01	Europa	103	Bélgica	UE-27_2007	50	Zaragoza	50067	Calatayud	6	Mujer	3,0
2009	01	Europa	103	Bélgica	UE-27_2007	50	Zaragoza	50272	Utebo	6	Hombre	2,0
2009	01	Europa	103	Bélgica	UE-27_2007	50	Zaragoza	50272	Utebo	6	Mujer	1,0
2009	01	Europa	103	Bélgica	UE-27_2007	50	Zaragoza	50297	Zaragoza	7	Hombre	136,0
2009	01	Europa	103	Bélgica	UE-27_2007	50	Zaragoza	50297	Zaragoza	7	Mujer	152,0
2009	01	Europa	104	Bulgaria	UE-27_2007	22	Huesca	22125	Huesca	7	Hombre	1,0
2009	01	Europa	104	Bulgaria	UE-27_2007	22	Huesca	22125	Huesca	7	Mujer	1,0
2009	01	Europa	104	Bulgaria	UE-27_2007	50	Zaragoza	50297	Zaragoza	7	Hombre	1,0
2009	01	Europa	104	Bulgaria	UE-27_2007	50	Zaragoza	50297	Zaragoza	7	Mujer	2,0
2009	01	Europa	106	Chipre	UE-27_2007	22	Huesca	22048	Barbastro	6	Mujer	1,0
2009	01	Europa	106	Chipre	UE-27_2007	50	Zaragoza	50297	Zaragoza	7	Hombre	3,0
2009	01	Europa	106	Chipre	UE-27_2007	50	Zaragoza	50297	Zaragoza	7	Mujer	3,0
2009	01	Europa	107	Dinamarca	UE-27_2007	22	Huesca	22048	Barbastro	6	Mujer	1,0
2009	01	Europa	107	Dinamarca	UE-27_2007	50	Zaragoza	50297	Zaragoza	7	Hombre	11,0
2009	01	Europa	107	Dinamarca	UE-27_2007	50	Zaragoza	50297	Zaragoza	7	Mujer	16,0
2009	01	Europa	109	Finlandia	UE-27_2007	22	Huesca	22048	Barbastro	6	Hombre	1,0
2009	01	Europa	109	Finlandia	UE-27_2007	22	Huesca	22125	Huesca	7	Hombre	1,0
