Año	Residencia continente código	Residencia continente nombre	Residencia área código	Residencia área nombre	Residencia país código	Residencia país nombre	Inscripción provincia nombre	Inscripción provincia código	Sexo	Personas
2009	1	Europa	01	UE-27	125	Reino Unido	Huesca	22	Hombre	62,0
2009	1	Europa	01	UE-27	125	Reino Unido	Huesca	22	Mujer	102,0
2009	1	Europa	01	UE-27	125	Reino Unido	Teruel	44	Hombre	56,0
2009	1	Europa	01	UE-27	125	Reino Unido	Teruel	44	Mujer	44,0
2009	1	Europa	01	UE-27	125	Reino Unido	Zaragoza	50	Hombre	356,0
2009	1	Europa	01	UE-27	125	Reino Unido	Zaragoza	50	Mujer	428,0
2009	1	Europa	01	UE-27_2007	102	Austria	Huesca	22	Hombre	2,0
2009	1	Europa	01	UE-27_2007	102	Austria	Huesca	22	Mujer	3,0
2009	1	Europa	01	UE-27_2007	102	Austria	Teruel	44	Hombre	2,0
2009	1	Europa	01	UE-27_2007	102	Austria	Teruel	44	Mujer	2,0
2009	1	Europa	01	UE-27_2007	102	Austria	Zaragoza	50	Hombre	25,0
2009	1	Europa	01	UE-27_2007	102	Austria	Zaragoza	50	Mujer	42,0
2009	1	Europa	01	UE-27_2007	103	Bélgica	Huesca	22	Hombre	48,0
2009	1	Europa	01	UE-27_2007	103	Bélgica	Huesca	22	Mujer	34,0
2009	1	Europa	01	UE-27_2007	103	Bélgica	Teruel	44	Hombre	51,0
2009	1	Europa	01	UE-27_2007	103	Bélgica	Teruel	44	Mujer	43,0
2009	1	Europa	01	UE-27_2007	103	Bélgica	Zaragoza	50	Hombre	192,0
2009	1	Europa	01	UE-27_2007	103	Bélgica	Zaragoza	50	Mujer	201,0
2009	1	Europa	01	UE-27_2007	104	Bulgaria	Huesca	22	Hombre	2,0
2009	1	Europa	01	UE-27_2007	104	Bulgaria	Huesca	22	Mujer	1,0
2009	1	Europa	01	UE-27_2007	104	Bulgaria	Zaragoza	50	Hombre	1,0
2009	1	Europa	01	UE-27_2007	104	Bulgaria	Zaragoza	50	Mujer	3,0
2009	1	Europa	01	UE-27_2007	106	Chipre	Huesca	22	Mujer	1,0
2009	1	Europa	01	UE-27_2007	106	Chipre	Zaragoza	50	Hombre	3,0
2009	1	Europa	01	UE-27_2007	106	Chipre	Zaragoza	50	Mujer	3,0
2009	1	Europa	01	UE-27_2007	107	Dinamarca	Huesca	22	Hombre	2,0
2009	1	Europa	01	UE-27_2007	107	Dinamarca	Huesca	22	Mujer	5,0
2009	1	Europa	01	UE-27_2007	107	Dinamarca	Teruel	44	Hombre	1,0
