Año	Inscripción provincia código	Inscripción provincia nombre	Edad (grandes grupos)	Sexo	Personas	Nivel de estudios Código	Nivel de estudios Nombre
2009	22	Huesca	0-15	Hombre	194,0	0	Sin clasificar
2009	22	Huesca	0-15	Hombre	5,0	1	No sabe leer ni escribir
2009	22	Huesca	0-15	Hombre	43,0	2	Inferior a graduado escolar o ESO
2009	22	Huesca	0-15	Hombre	7,0	3	Graduado escolar o ESO
2009	22	Huesca	0-15	Hombre	2,0	4	BUP, Bachiller, LOGSE ó superior
2009	22	Huesca	0-15	Mujer	212,0	0	Sin clasificar
2009	22	Huesca	0-15	Mujer	4,0	1	No sabe leer ni escribir
2009	22	Huesca	0-15	Mujer	33,0	2	Inferior a graduado escolar o ESO
2009	22	Huesca	0-15	Mujer	7,0	3	Graduado escolar o ESO
2009	22	Huesca	0-15	Mujer	2,0	4	BUP, Bachiller, LOGSE ó superior
2009	22	Huesca	16-64	Hombre	382,0	0	Sin clasificar
2009	22	Huesca	16-64	Hombre	1,0	1	No sabe leer ni escribir
2009	22	Huesca	16-64	Hombre	52,0	2	Inferior a graduado escolar o ESO
2009	22	Huesca	16-64	Hombre	256,0	3	Graduado escolar o ESO
2009	22	Huesca	16-64	Hombre	534,0	4	BUP, Bachiller, LOGSE ó superior
2009	22	Huesca	16-64	Mujer	348,0	0	Sin clasificar
2009	22	Huesca	16-64	Mujer	57,0	2	Inferior a graduado escolar o ESO
2009	22	Huesca	16-64	Mujer	254,0	3	Graduado escolar o ESO
2009	22	Huesca	16-64	Mujer	653,0	4	BUP, Bachiller, LOGSE ó superior
2009	22	Huesca	65 y más	Hombre	480,0	0	Sin clasificar
2009	22	Huesca	65 y más	Hombre	3,0	1	No sabe leer ni escribir
2009	22	Huesca	65 y más	Hombre	120,0	2	Inferior a graduado escolar o ESO
2009	22	Huesca	65 y más	Hombre	208,0	3	Graduado escolar o ESO
2009	22	Huesca	65 y más	Hombre	139,0	4	BUP, Bachiller, LOGSE ó superior
2009	22	Huesca	65 y más	Mujer	466,0	0	Sin clasificar
2009	22	Huesca	65 y más	Mujer	151,0	2	Inferior a graduado escolar o ESO
2009	22	Huesca	65 y más	Mujer	274,0	3	Graduado escolar o ESO
