Año	Inscripción comarca código	Inscripción comarca nombre	Edad (grandes grupos)	Sexo	Personas	Nivel de estudios Código	Nivel de estudios Nombre
2009	01	La Jacetania	0-15	Hombre	29,0	0	Sin clasificar
2009	01	La Jacetania	0-15	Hombre	12,0	2	Inferior a graduado escolar o ESO
2009	01	La Jacetania	0-15	Hombre	3,0	3	Graduado escolar o ESO
2009	01	La Jacetania	0-15	Mujer	37,0	0	Sin clasificar
2009	01	La Jacetania	0-15	Mujer	1,0	1	No sabe leer ni escribir
2009	01	La Jacetania	0-15	Mujer	5,0	2	Inferior a graduado escolar o ESO
2009	01	La Jacetania	0-15	Mujer	1,0	3	Graduado escolar o ESO
2009	01	La Jacetania	16-64	Hombre	49,0	0	Sin clasificar
2009	01	La Jacetania	16-64	Hombre	12,0	2	Inferior a graduado escolar o ESO
2009	01	La Jacetania	16-64	Hombre	27,0	3	Graduado escolar o ESO
2009	01	La Jacetania	16-64	Hombre	88,0	4	BUP, Bachiller, LOGSE ó superior
2009	01	La Jacetania	16-64	Mujer	55,0	0	Sin clasificar
2009	01	La Jacetania	16-64	Mujer	14,0	2	Inferior a graduado escolar o ESO
2009	01	La Jacetania	16-64	Mujer	34,0	3	Graduado escolar o ESO
2009	01	La Jacetania	16-64	Mujer	117,0	4	BUP, Bachiller, LOGSE ó superior
2009	01	La Jacetania	65 y más	Hombre	55,0	0	Sin clasificar
2009	01	La Jacetania	65 y más	Hombre	15,0	2	Inferior a graduado escolar o ESO
2009	01	La Jacetania	65 y más	Hombre	34,0	3	Graduado escolar o ESO
2009	01	La Jacetania	65 y más	Hombre	40,0	4	BUP, Bachiller, LOGSE ó superior
2009	01	La Jacetania	65 y más	Mujer	74,0	0	Sin clasificar
2009	01	La Jacetania	65 y más	Mujer	23,0	2	Inferior a graduado escolar o ESO
2009	01	La Jacetania	65 y más	Mujer	50,0	3	Graduado escolar o ESO
2009	01	La Jacetania	65 y más	Mujer	43,0	4	BUP, Bachiller, LOGSE ó superior
2009	02	Alto Gállego	0-15	Hombre	8,0	0	Sin clasificar
2009	02	Alto Gállego	0-15	Hombre	6,0	2	Inferior a graduado escolar o ESO
2009	02	Alto Gállego	0-15	Mujer	12,0	0	Sin clasificar
2009	02	Alto Gállego	0-15	Mujer	1,0	2	Inferior a graduado escolar o ESO
2009	02	Alto Gállego	16-64	Hombre	28,0	0	Sin clasificar
2009	02	Alto Gállego	16-64	Hombre	1,0	2	Inferior a graduado escolar o ESO
2009	02	Alto Gállego	16-64	Hombre	8,0	3	Graduado escolar o ESO
2009	02	Alto Gállego	16-64	Hombre	31,0	4	BUP, Bachiller, LOGSE ó superior
2009	02	Alto Gállego	16-64	Mujer	19,0	0	Sin clasificar
2009	02	Alto Gállego	16-64	Mujer	1,0	2	Inferior a graduado escolar o ESO
2009	02	Alto Gállego	16-64	Mujer	12,0	3	Graduado escolar o ESO
2009	02	Alto Gállego	16-64	Mujer	42,0	4	BUP, Bachiller, LOGSE ó superior
2009	02	Alto Gállego	65 y más	Hombre	17,0	0	Sin clasificar
2009	02	Alto Gállego	65 y más	Hombre	7,0	2	Inferior a graduado escolar o ESO
2009	02	Alto Gállego	65 y más	Hombre	15,0	3	Graduado escolar o ESO
2009	02	Alto Gállego	65 y más	Hombre	9,0	4	BUP, Bachiller, LOGSE ó superior
2009	02	Alto Gállego	65 y más	Mujer	22,0	0	Sin clasificar
2009	02	Alto Gállego	65 y más	Mujer	3,0	2	Inferior a graduado escolar o ESO
2009	02	Alto Gállego	65 y más	Mujer	11,0	3	Graduado escolar o ESO
2009	02	Alto Gállego	65 y más	Mujer	9,0	4	BUP, Bachiller, LOGSE ó superior
2009	03	Sobrarbe	0-15	Hombre	10,0	0	Sin clasificar
2009	03	Sobrarbe	0-15	Hombre	3,0	2	Inferior a graduado escolar o ESO
2009	03	Sobrarbe	0-15	Mujer	18,0	0	Sin clasificar
2009	03	Sobrarbe	0-15	Mujer	4,0	2	Inferior a graduado escolar o ESO
2009	03	Sobrarbe	16-64	Hombre	25,0	0	Sin clasificar
2009	03	Sobrarbe	16-64	Hombre	4,0	2	Inferior a graduado escolar o ESO
2009	03	Sobrarbe	16-64	Hombre	19,0	3	Graduado escolar o ESO
2009	03	Sobrarbe	16-64	Hombre	70,0	4	BUP, Bachiller, LOGSE ó superior
2009	03	Sobrarbe	16-64	Mujer	24,0	0	Sin clasificar
2009	03	Sobrarbe	16-64	Mujer	5,0	2	Inferior a graduado escolar o ESO
2009	03	Sobrarbe	16-64	Mujer	16,0	3	Graduado escolar o ESO
2009	03	Sobrarbe	16-64	Mujer	50,0	4	BUP, Bachiller, LOGSE ó superior
2009	03	Sobrarbe	65 y más	Hombre	56,0	0	Sin clasificar
2009	03	Sobrarbe	65 y más	Hombre	12,0	2	Inferior a graduado escolar o ESO
2009	03	Sobrarbe	65 y más	Hombre	29,0	3	Graduado escolar o ESO
2009	03	Sobrarbe	65 y más	Hombre	14,0	4	BUP, Bachiller, LOGSE ó superior
2009	03	Sobrarbe	65 y más	Mujer	66,0	0	Sin clasificar
2009	03	Sobrarbe	65 y más	Mujer	16,0	2	Inferior a graduado escolar o ESO
2009	03	Sobrarbe	65 y más	Mujer	31,0	3	Graduado escolar o ESO
2009	03	Sobrarbe	65 y más	Mujer	20,0	4	BUP, Bachiller, LOGSE ó superior
2009	04	La Ribagorza	0-15	Hombre	10,0	0	Sin clasificar
2009	04	La Ribagorza	0-15	Hombre	4,0	1	No sabe leer ni escribir
2009	04	La Ribagorza	0-15	Hombre	2,0	2	Inferior a graduado escolar o ESO
2009	04	La Ribagorza	0-15	Hombre	1,0	3	Graduado escolar o ESO
2009	04	La Ribagorza	0-15	Mujer	18,0	0	Sin clasificar
2009	04	La Ribagorza	0-15	Mujer	2,0	2	Inferior a graduado escolar o ESO
2009	04	La Ribagorza	16-64	Hombre	49,0	0	Sin clasificar
2009	04	La Ribagorza	16-64	Hombre	4,0	2	Inferior a graduado escolar o ESO
2009	04	La Ribagorza	16-64	Hombre	21,0	3	Graduado escolar o ESO
2009	04	La Ribagorza	16-64	Hombre	37,0	4	BUP, Bachiller, LOGSE ó superior
2009	04	La Ribagorza	16-64	Mujer	42,0	0	Sin clasificar
2009	04	La Ribagorza	16-64	Mujer	4,0	2	Inferior a graduado escolar o ESO
2009	04	La Ribagorza	16-64	Mujer	20,0	3	Graduado escolar o ESO
2009	04	La Ribagorza	16-64	Mujer	54,0	4	BUP, Bachiller, LOGSE ó superior
2009	04	La Ribagorza	65 y más	Hombre	46,0	0	Sin clasificar
2009	04	La Ribagorza	65 y más	Hombre	16,0	2	Inferior a graduado escolar o ESO
2009	04	La Ribagorza	65 y más	Hombre	21,0	3	Graduado escolar o ESO
2009	04	La Ribagorza	65 y más	Hombre	10,0	4	BUP, Bachiller, LOGSE ó superior
2009	04	La Ribagorza	65 y más	Mujer	44,0	0	Sin clasificar
2009	04	La Ribagorza	65 y más	Mujer	24,0	2	Inferior a graduado escolar o ESO
2009	04	La Ribagorza	65 y más	Mujer	21,0	3	Graduado escolar o ESO
2009	04	La Ribagorza	65 y más	Mujer	9,0	4	BUP, Bachiller, LOGSE ó superior
2009	05	Cinco Villas	0-15	Hombre	33,0	0	Sin clasificar
2009	05	Cinco Villas	0-15	Hombre	1,0	1	No sabe leer ni escribir
2009	05	Cinco Villas	0-15	Hombre	8,0	2	Inferior a graduado escolar o ESO
2009	05	Cinco Villas	0-15	Mujer	22,0	0	Sin clasificar
2009	05	Cinco Villas	0-15	Mujer	7,0	2	Inferior a graduado escolar o ESO
2009	05	Cinco Villas	0-15	Mujer	2,0	3	Graduado escolar o ESO
2009	05	Cinco Villas	16-64	Hombre	51,0	0	Sin clasificar
2009	05	Cinco Villas	16-64	Hombre	7,0	2	Inferior a graduado escolar o ESO
2009	05	Cinco Villas	16-64	Hombre	41,0	3	Graduado escolar o ESO
2009	05	Cinco Villas	16-64	Hombre	93,0	4	BUP, Bachiller, LOGSE ó superior
2009	05	Cinco Villas	16-64	Mujer	66,0	0	Sin clasificar
2009	05	Cinco Villas	16-64	Mujer	9,0	2	Inferior a graduado escolar o ESO
2009	05	Cinco Villas	16-64	Mujer	70,0	3	Graduado escolar o ESO
2009	05	Cinco Villas	16-64	Mujer	123,0	4	BUP, Bachiller, LOGSE ó superior
2009	05	Cinco Villas	65 y más	Hombre	71,0	0	Sin clasificar
2009	05	Cinco Villas	65 y más	Hombre	13,0	2	Inferior a graduado escolar o ESO
2009	05	Cinco Villas	65 y más	Hombre	43,0	3	Graduado escolar o ESO
2009	05	Cinco Villas	65 y más	Hombre	39,0	4	BUP, Bachiller, LOGSE ó superior
2009	05	Cinco Villas	65 y más	Mujer	71,0	0	Sin clasificar
2009	05	Cinco Villas	65 y más	Mujer	26,0	2	Inferior a graduado escolar o ESO
2009	05	Cinco Villas	65 y más	Mujer	64,0	3	Graduado escolar o ESO
2009	05	Cinco Villas	65 y más	Mujer	24,0	4	BUP, Bachiller, LOGSE ó superior
2009	06	Hoya de Huesca / Plana de Uesca	0-15	Hombre	71,0	0	Sin clasificar
2009	06	Hoya de Huesca / Plana de Uesca	0-15	Hombre	12,0	2	Inferior a graduado escolar o ESO
2009	06	Hoya de Huesca / Plana de Uesca	0-15	Hombre	1,0	3	Graduado escolar o ESO
2009	06	Hoya de Huesca / Plana de Uesca	0-15	Hombre	2,0	4	BUP, Bachiller, LOGSE ó superior
2009	06	Hoya de Huesca / Plana de Uesca	0-15	Mujer	78,0	0	Sin clasificar
2009	06	Hoya de Huesca / Plana de Uesca	0-15	Mujer	8,0	2	Inferior a graduado escolar o ESO
2009	06	Hoya de Huesca / Plana de Uesca	0-15	Mujer	3,0	3	Graduado escolar o ESO
2009	06	Hoya de Huesca / Plana de Uesca	16-64	Hombre	94,0	0	Sin clasificar
2009	06	Hoya de Huesca / Plana de Uesca	16-64	Hombre	17,0	2	Inferior a graduado escolar o ESO
2009	06	Hoya de Huesca / Plana de Uesca	16-64	Hombre	88,0	3	Graduado escolar o ESO
2009	06	Hoya de Huesca / Plana de Uesca	16-64	Hombre	167,0	4	BUP, Bachiller, LOGSE ó superior
2009	06	Hoya de Huesca / Plana de Uesca	16-64	Mujer	80,0	0	Sin clasificar
2009	06	Hoya de Huesca / Plana de Uesca	16-64	Mujer	16,0	2	Inferior a graduado escolar o ESO
2009	06	Hoya de Huesca / Plana de Uesca	16-64	Mujer	68,0	3	Graduado escolar o ESO
2009	06	Hoya de Huesca / Plana de Uesca	16-64	Mujer	177,0	4	BUP, Bachiller, LOGSE ó superior
2009	06	Hoya de Huesca / Plana de Uesca	65 y más	Hombre	106,0	0	Sin clasificar
2009	06	Hoya de Huesca / Plana de Uesca	65 y más	Hombre	1,0	1	No sabe leer ni escribir
2009	06	Hoya de Huesca / Plana de Uesca	65 y más	Hombre	22,0	2	Inferior a graduado escolar o ESO
2009	06	Hoya de Huesca / Plana de Uesca	65 y más	Hombre	48,0	3	Graduado escolar o ESO
2009	06	Hoya de Huesca / Plana de Uesca	65 y más	Hombre	35,0	4	BUP, Bachiller, LOGSE ó superior
2009	06	Hoya de Huesca / Plana de Uesca	65 y más	Mujer	107,0	0	Sin clasificar
2009	06	Hoya de Huesca / Plana de Uesca	65 y más	Mujer	29,0	2	Inferior a graduado escolar o ESO
2009	06	Hoya de Huesca / Plana de Uesca	65 y más	Mujer	70,0	3	Graduado escolar o ESO
2009	06	Hoya de Huesca / Plana de Uesca	65 y más	Mujer	37,0	4	BUP, Bachiller, LOGSE ó superior
2009	07	Somontano de Barbastro	0-15	Hombre	35,0	0	Sin clasificar
2009	07	Somontano de Barbastro	0-15	Hombre	1,0	1	No sabe leer ni escribir
2009	07	Somontano de Barbastro	0-15	Hombre	2,0	2	Inferior a graduado escolar o ESO
2009	07	Somontano de Barbastro	0-15	Mujer	19,0	0	Sin clasificar
2009	07	Somontano de Barbastro	0-15	Mujer	1,0	1	No sabe leer ni escribir
2009	07	Somontano de Barbastro	0-15	Mujer	1,0	2	Inferior a graduado escolar o ESO
2009	07	Somontano de Barbastro	0-15	Mujer	2,0	3	Graduado escolar o ESO
2009	07	Somontano de Barbastro	16-64	Hombre	44,0	0	Sin clasificar
2009	07	Somontano de Barbastro	16-64	Hombre	3,0	2	Inferior a graduado escolar o ESO
2009	07	Somontano de Barbastro	16-64	Hombre	29,0	3	Graduado escolar o ESO
2009	07	Somontano de Barbastro	16-64	Hombre	52,0	4	BUP, Bachiller, LOGSE ó superior
2009	07	Somontano de Barbastro	16-64	Mujer	46,0	0	Sin clasificar
2009	07	Somontano de Barbastro	16-64	Mujer	6,0	2	Inferior a graduado escolar o ESO
2009	07	Somontano de Barbastro	16-64	Mujer	28,0	3	Graduado escolar o ESO
2009	07	Somontano de Barbastro	16-64	Mujer	75,0	4	BUP, Bachiller, LOGSE ó superior
2009	07	Somontano de Barbastro	65 y más	Hombre	67,0	0	Sin clasificar
2009	07	Somontano de Barbastro	65 y más	Hombre	2,0	1	No sabe leer ni escribir
2009	07	Somontano de Barbastro	65 y más	Hombre	24,0	2	Inferior a graduado escolar o ESO
2009	07	Somontano de Barbastro	65 y más	Hombre	16,0	3	Graduado escolar o ESO
2009	07	Somontano de Barbastro	65 y más	Hombre	11,0	4	BUP, Bachiller, LOGSE ó superior
2009	07	Somontano de Barbastro	65 y más	Mujer	45,0	0	Sin clasificar
2009	07	Somontano de Barbastro	65 y más	Mujer	24,0	2	Inferior a graduado escolar o ESO
2009	07	Somontano de Barbastro	65 y más	Mujer	30,0	3	Graduado escolar o ESO
2009	07	Somontano de Barbastro	65 y más	Mujer	14,0	4	BUP, Bachiller, LOGSE ó superior
2009	08	Cinca Medio	0-15	Hombre	21,0	0	Sin clasificar
2009	08	Cinca Medio	0-15	Hombre	3,0	2	Inferior a graduado escolar o ESO
2009	08	Cinca Medio	0-15	Mujer	15,0	0	Sin clasificar
2009	08	Cinca Medio	0-15	Mujer	1,0	1	No sabe leer ni escribir
2009	08	Cinca Medio	0-15	Mujer	4,0	2	Inferior a graduado escolar o ESO
2009	08	Cinca Medio	0-15	Mujer	1,0	4	BUP, Bachiller, LOGSE ó superior
2009	08	Cinca Medio	16-64	Hombre	25,0	0	Sin clasificar
2009	08	Cinca Medio	16-64	Hombre	7,0	2	Inferior a graduado escolar o ESO
2009	08	Cinca Medio	16-64	Hombre	21,0	3	Graduado escolar o ESO
2009	08	Cinca Medio	16-64	Hombre	31,0	4	BUP, Bachiller, LOGSE ó superior
2009	08	Cinca Medio	16-64	Mujer	26,0	0	Sin clasificar
2009	08	Cinca Medio	16-64	Mujer	5,0	2	Inferior a graduado escolar o ESO
2009	08	Cinca Medio	16-64	Mujer	12,0	3	Graduado escolar o ESO
2009	08	Cinca Medio	16-64	Mujer	42,0	4	BUP, Bachiller, LOGSE ó superior
2009	08	Cinca Medio	65 y más	Hombre	35,0	0	Sin clasificar
2009	08	Cinca Medio	65 y más	Hombre	5,0	2	Inferior a graduado escolar o ESO
2009	08	Cinca Medio	65 y más	Hombre	14,0	3	Graduado escolar o ESO
2009	08	Cinca Medio	65 y más	Hombre	11,0	4	BUP, Bachiller, LOGSE ó superior
2009	08	Cinca Medio	65 y más	Mujer	31,0	0	Sin clasificar
2009	08	Cinca Medio	65 y más	Mujer	8,0	2	Inferior a graduado escolar o ESO
2009	08	Cinca Medio	65 y más	Mujer	25,0	3	Graduado escolar o ESO
2009	08	Cinca Medio	65 y más	Mujer	5,0	4	BUP, Bachiller, LOGSE ó superior
2009	09	La Litera / La Llitera	0-15	Hombre	6,0	0	Sin clasificar
2009	09	La Litera / La Llitera	0-15	Hombre	2,0	2	Inferior a graduado escolar o ESO
2009	09	La Litera / La Llitera	0-15	Mujer	7,0	0	Sin clasificar
2009	09	La Litera / La Llitera	0-15	Mujer	4,0	2	Inferior a graduado escolar o ESO
2009	09	La Litera / La Llitera	0-15	Mujer	2,0	3	Graduado escolar o ESO
2009	09	La Litera / La Llitera	16-64	Hombre	32,0	0	Sin clasificar
2009	09	La Litera / La Llitera	16-64	Hombre	1,0	2	Inferior a graduado escolar o ESO
2009	09	La Litera / La Llitera	16-64	Hombre	20,0	3	Graduado escolar o ESO
2009	09	La Litera / La Llitera	16-64	Hombre	32,0	4	BUP, Bachiller, LOGSE ó superior
2009	09	La Litera / La Llitera	16-64	Mujer	23,0	0	Sin clasificar
2009	09	La Litera / La Llitera	16-64	Mujer	1,0	2	Inferior a graduado escolar o ESO
2009	09	La Litera / La Llitera	16-64	Mujer	16,0	3	Graduado escolar o ESO
2009	09	La Litera / La Llitera	16-64	Mujer	38,0	4	BUP, Bachiller, LOGSE ó superior
2009	09	La Litera / La Llitera	65 y más	Hombre	47,0	0	Sin clasificar
2009	09	La Litera / La Llitera	65 y más	Hombre	8,0	2	Inferior a graduado escolar o ESO
2009	09	La Litera / La Llitera	65 y más	Hombre	17,0	3	Graduado escolar o ESO
2009	09	La Litera / La Llitera	65 y más	Hombre	11,0	4	BUP, Bachiller, LOGSE ó superior
2009	09	La Litera / La Llitera	65 y más	Mujer	32,0	0	Sin clasificar
2009	09	La Litera / La Llitera	65 y más	Mujer	14,0	2	Inferior a graduado escolar o ESO
2009	09	La Litera / La Llitera	65 y más	Mujer	14,0	3	Graduado escolar o ESO
2009	09	La Litera / La Llitera	65 y más	Mujer	9,0	4	BUP, Bachiller, LOGSE ó superior
2009	10	Los Monegros	0-15	Hombre	11,0	0	Sin clasificar
2009	10	Los Monegros	0-15	Hombre	2,0	2	Inferior a graduado escolar o ESO
2009	10	Los Monegros	0-15	Mujer	9,0	0	Sin clasificar
2009	10	Los Monegros	0-15	Mujer	4,0	2	Inferior a graduado escolar o ESO
2009	10	Los Monegros	0-15	Mujer	1,0	4	BUP, Bachiller, LOGSE ó superior
2009	10	Los Monegros	16-64	Hombre	27,0	0	Sin clasificar
2009	10	Los Monegros	16-64	Hombre	6,0	2	Inferior a graduado escolar o ESO
2009	10	Los Monegros	16-64	Hombre	21,0	3	Graduado escolar o ESO
2009	10	Los Monegros	16-64	Hombre	36,0	4	BUP, Bachiller, LOGSE ó superior
2009	10	Los Monegros	16-64	Mujer	27,0	0	Sin clasificar
2009	10	Los Monegros	16-64	Mujer	6,0	2	Inferior a graduado escolar o ESO
2009	10	Los Monegros	16-64	Mujer	35,0	3	Graduado escolar o ESO
2009	10	Los Monegros	16-64	Mujer	57,0	4	BUP, Bachiller, LOGSE ó superior
2009	10	Los Monegros	65 y más	Hombre	53,0	0	Sin clasificar
2009	10	Los Monegros	65 y más	Hombre	11,0	2	Inferior a graduado escolar o ESO
2009	10	Los Monegros	65 y más	Hombre	16,0	3	Graduado escolar o ESO
2009	10	Los Monegros	65 y más	Hombre	5,0	4	BUP, Bachiller, LOGSE ó superior
2009	10	Los Monegros	65 y más	Mujer	39,0	0	Sin clasificar
2009	10	Los Monegros	65 y más	Mujer	16,0	2	Inferior a graduado escolar o ESO
2009	10	Los Monegros	65 y más	Mujer	31,0	3	Graduado escolar o ESO
2009	10	Los Monegros	65 y más	Mujer	12,0	4	BUP, Bachiller, LOGSE ó superior
2009	11	Bajo Cinca / Baix Cinca	0-15	Hombre	10,0	0	Sin clasificar
2009	11	Bajo Cinca / Baix Cinca	0-15	Hombre	2,0	3	Graduado escolar o ESO
2009	11	Bajo Cinca / Baix Cinca	0-15	Mujer	10,0	0	Sin clasificar
2009	11	Bajo Cinca / Baix Cinca	0-15	Mujer	1,0	1	No sabe leer ni escribir
2009	11	Bajo Cinca / Baix Cinca	0-15	Mujer	1,0	2	Inferior a graduado escolar o ESO
2009	11	Bajo Cinca / Baix Cinca	16-64	Hombre	29,0	0	Sin clasificar
2009	11	Bajo Cinca / Baix Cinca	16-64	Hombre	1,0	1	No sabe leer ni escribir
2009	11	Bajo Cinca / Baix Cinca	16-64	Hombre	3,0	2	Inferior a graduado escolar o ESO
2009	11	Bajo Cinca / Baix Cinca	16-64	Hombre	18,0	3	Graduado escolar o ESO
2009	11	Bajo Cinca / Baix Cinca	16-64	Hombre	35,0	4	BUP, Bachiller, LOGSE ó superior
