Año	Inscripcion municipio estrato	Inscripción provincia código	Inscripción provincia nombre	Inscripción municipio código	Inscripción municipio nombre	Sexo	Nivel de estudios Código	Edad (grandes grupos)	Nivel de estudios Nombre	Personas
2009	6	22	Huesca	22048	Barbastro	Hombre	0	0-15	Sin clasificar	20,0
2009	6	22	Huesca	22048	Barbastro	Hombre	0	16-64	Sin clasificar	31,0
2009	6	22	Huesca	22048	Barbastro	Hombre	0	65 y más	Sin clasificar	24,0
2009	6	22	Huesca	22048	Barbastro	Hombre	2	0-15	Inferior a graduado escolar o ESO	2,0
2009	6	22	Huesca	22048	Barbastro	Hombre	2	16-64	Inferior a graduado escolar o ESO	2,0
2009	6	22	Huesca	22048	Barbastro	Hombre	2	65 y más	Inferior a graduado escolar o ESO	8,0
2009	6	22	Huesca	22048	Barbastro	Hombre	3	16-64	Graduado escolar o ESO	17,0
2009	6	22	Huesca	22048	Barbastro	Hombre	3	65 y más	Graduado escolar o ESO	7,0
2009	6	22	Huesca	22048	Barbastro	Hombre	4	16-64	BUP, Bachiller, LOGSE ó superior	26,0
2009	6	22	Huesca	22048	Barbastro	Hombre	4	65 y más	BUP, Bachiller, LOGSE ó superior	4,0
2009	6	22	Huesca	22048	Barbastro	Mujer	0	0-15	Sin clasificar	11,0
2009	6	22	Huesca	22048	Barbastro	Mujer	0	16-64	Sin clasificar	28,0
2009	6	22	Huesca	22048	Barbastro	Mujer	0	65 y más	Sin clasificar	17,0
2009	6	22	Huesca	22048	Barbastro	Mujer	1	0-15	No sabe leer ni escribir	1,0
2009	6	22	Huesca	22048	Barbastro	Mujer	2	0-15	Inferior a graduado escolar o ESO	1,0
2009	6	22	Huesca	22048	Barbastro	Mujer	2	16-64	Inferior a graduado escolar o ESO	3,0
2009	6	22	Huesca	22048	Barbastro	Mujer	2	65 y más	Inferior a graduado escolar o ESO	8,0
2009	6	22	Huesca	22048	Barbastro	Mujer	3	0-15	Graduado escolar o ESO	2,0
2009	6	22	Huesca	22048	Barbastro	Mujer	3	16-64	Graduado escolar o ESO	10,0
2009	6	22	Huesca	22048	Barbastro	Mujer	3	65 y más	Graduado escolar o ESO	5,0
2009	6	22	Huesca	22048	Barbastro	Mujer	4	16-64	BUP, Bachiller, LOGSE ó superior	36,0
2009	6	22	Huesca	22048	Barbastro	Mujer	4	65 y más	BUP, Bachiller, LOGSE ó superior	4,0
2009	6	22	Huesca	22112	Fraga	Hombre	0	0-15	Sin clasificar	2,0
2009	6	22	Huesca	22112	Fraga	Hombre	0	16-64	Sin clasificar	9,0
2009	6	22	Huesca	22112	Fraga	Hombre	0	65 y más	Sin clasificar	12,0
2009	6	22	Huesca	22112	Fraga	Hombre	2	16-64	Inferior a graduado escolar o ESO	1,0
2009	6	22	Huesca	22112	Fraga	Hombre	2	65 y más	Inferior a graduado escolar o ESO	1,0
2009	6	22	Huesca	22112	Fraga	Hombre	3	16-64	Graduado escolar o ESO	6,0
2009	6	22	Huesca	22112	Fraga	Hombre	3	65 y más	Graduado escolar o ESO	2,0
2009	6	22	Huesca	22112	Fraga	Hombre	4	16-64	BUP, Bachiller, LOGSE ó superior	11,0
2009	6	22	Huesca	22112	Fraga	Hombre	4	65 y más	BUP, Bachiller, LOGSE ó superior	1,0
2009	6	22	Huesca	22112	Fraga	Mujer	0	0-15	Sin clasificar	2,0
2009	6	22	Huesca	22112	Fraga	Mujer	0	16-64	Sin clasificar	7,0
2009	6	22	Huesca	22112	Fraga	Mujer	0	65 y más	Sin clasificar	19,0
2009	6	22	Huesca	22112	Fraga	Mujer	1	0-15	No sabe leer ni escribir	1,0
2009	6	22	Huesca	22112	Fraga	Mujer	2	0-15	Inferior a graduado escolar o ESO	1,0
2009	6	22	Huesca	22112	Fraga	Mujer	2	16-64	Inferior a graduado escolar o ESO	2,0
2009	6	22	Huesca	22112	Fraga	Mujer	2	65 y más	Inferior a graduado escolar o ESO	1,0
2009	6	22	Huesca	22112	Fraga	Mujer	3	16-64	Graduado escolar o ESO	12,0
2009	6	22	Huesca	22112	Fraga	Mujer	3	65 y más	Graduado escolar o ESO	2,0
2009	6	22	Huesca	22112	Fraga	Mujer	4	16-64	BUP, Bachiller, LOGSE ó superior	13,0
2009	6	22	Huesca	22112	Fraga	Mujer	4	65 y más	BUP, Bachiller, LOGSE ó superior	1,0
2009	6	22	Huesca	22130	Jaca	Hombre	0	0-15	Sin clasificar	16,0
