Año	Comarca código	Comarca nombre	Saldo Vegetativo	Nacidos vivos residentes	Matrimonios residentes	Defunciones residentes
2015	01	La Jacetania	-217,0		52	217,0
2015	02	Alto Gállego	-132,0		46	132,0
2015	03	Sobrarbe	-92,0		21	92,0
2015	04	La Ribagorza	-176,0		14	176,0
2015	05	Cinco Villas	-392,0		70	392,0
2015	06	Hoya de Huesca / Plana de Uesca	-800,0		215	800,0
2015	07	Somontano de Barbastro	-305,0		55	305,0
2015	08	Cinca Medio	-263,0		83	263,0
2015	09	La Litera / La Llitera	-258,0		37	258,0
2015	10	Los Monegros	-300,0		39	300,0
2015	11	Bajo Cinca / Baix Cinca	-281,0		62	281,0
2015	12	Tarazona y el Moncayo	-174,0		50	174,0
2015	13	Campo de Borja	-174,0		38	174,0
2015	14	Aranda	-94,0		13	94,0
2015	15	Ribera Alta del Ebro	-366,0		91	366,0
2015	16	Valdejalón	-313,0		79	313,0
2015	17	D.C. Zaragoza	-6976,0		2773	6976,0
2015	18	Ribera Baja del Ebro	-118,0		21	118,0
2015	19	Bajo Aragón-Caspe / Baix Aragó-Casp	-186,0		38	186,0
2015	20	Comunidad de Calatayud	-598,0		88	598,0
2015	21	Campo de Cariñena	-150,0		19	150,0
2015	22	Campo de Belchite	-84,0		6	84,0
2015	23	Bajo Martín	-94,0		2	94,0
2015	24	Campo de Daroca	-110,0		11	110,0
2015	25	Jiloca	-227,0		18	227,0
2015	26	Cuencas Mineras	-126,0		19	126,0
2015	27	Andorra-Sierra de Arcos	-123,0		25	123,0
2015	28	Bajo Aragón	-313,0		97	313,0
2015	29	Comunidad de Teruel	-546,0		153	546,0
2015	30	Maestrazgo	-55,0		6	55,0
2015	31	Sierra de Albarracín	-77,0		8	77,0
2015	32	Gúdar-Javalambre	-108,0		24	108,0
2015	33	Matarraña / Matarranya	-111,0		27	111,0
2014	01	La Jacetania	-169,0		62	169,0
2014	02	Alto Gállego	-144,0		37	144,0
2014	03	Sobrarbe	-88,0		23	88,0
2014	04	La Ribagorza	-148,0		18	148,0
2014	05	Cinco Villas	-397,0		72	397,0
2014	06	Hoya de Huesca / Plana de Uesca	-723,0		254	723,0
2014	07	Somontano de Barbastro	-307,0		49	307,0
2014	08	Cinca Medio	-284,0		90	284,0
2014	09	La Litera / La Llitera	-210,0		51	210,0
2014	10	Los Monegros	-262,0		43	262,0
2014	11	Bajo Cinca / Baix Cinca	-265,0		66	265,0
2014	12	Tarazona y el Moncayo	-179,0		36	179,0
2014	13	Campo de Borja	-204,0		32	204,0
2014	14	Aranda	-79,0		11	79,0
2014	15	Ribera Alta del Ebro	-301,0		87	301,0
2014	16	Valdejalón	-299,0		63	299,0
2014	17	D.C. Zaragoza	-6856,0		2613	6856,0
2014	18	Ribera Baja del Ebro	-123,0		18	123,0
2014	19	Bajo Aragón-Caspe / Baix Aragó-Casp	-162,0		44	162,0
2014	20	Comunidad de Calatayud	-518,0		81	518,0
2014	21	Campo de Cariñena	-151,0		20	151,0
2014	22	Campo de Belchite	-96,0		9	96,0
2014	23	Bajo Martín	-99,0		16	99,0
2014	24	Campo de Daroca	-104,0		10	104,0
2014	25	Jiloca	-213,0		29	213,0
2014	26	Cuencas Mineras	-105,0		25	105,0
2014	27	Andorra-Sierra de Arcos	-117,0		28	117,0
2014	28	Bajo Aragón	-340,0		87	340,0
2014	29	Comunidad de Teruel	-492,0		200	492,0
2014	30	Maestrazgo	-50,0		6	50,0
2014	31	Sierra de Albarracín	-64,0		6	64,0
2014	32	Gúdar-Javalambre	-77,0		18	77,0
2014	33	Matarraña / Matarranya	-116,0		17	116,0
2013	01	La Jacetania	-206,0		70	206,0
2013	02	Alto Gállego	-125,0		31	125,0
2013	03	Sobrarbe	-77,0		23	77,0
2013	04	La Ribagorza	-144,0		22	144,0
2013	05	Cinco Villas	-370,0		63	370,0
2013	06	Hoya de Huesca / Plana de Uesca	-680,0		216	680,0
2013	07	Somontano de Barbastro	-280,0		75	280,0
2013	08	Cinca Medio	-258,0		84	258,0
2013	09	La Litera / La Llitera	-223,0		46	223,0
2013	10	Los Monegros	-269,0		30	269,0
2013	11	Bajo Cinca / Baix Cinca	-274,0		64	274,0
2013	12	Tarazona y el Moncayo	-187,0		35	187,0
2013	13	Campo de Borja	-197,0		39	197,0
2013	14	Aranda	-91,0		15	91,0
2013	15	Ribera Alta del Ebro	-327,0		98	327,0
2013	16	Valdejalón	-291,0		93	291,0
2013	17	D.C. Zaragoza	-6575,0		2772	6575,0
2013	18	Ribera Baja del Ebro	-109,0		9	109,0
2013	19	Bajo Aragón-Caspe / Baix Aragó-Casp	-170,0		36	170,0
2013	20	Comunidad de Calatayud	-492,0		105	492,0
2013	21	Campo de Cariñena	-150,0		23	150,0
2013	22	Campo de Belchite	-87,0		7	87,0
2013	23	Bajo Martín	-106,0		19	106,0
2013	24	Campo de Daroca	-89,0		10	89,0
2013	25	Jiloca	-192,0		22	192,0
2013	26	Cuencas Mineras	-101,0		22	101,0
2013	27	Andorra-Sierra de Arcos	-118,0		28	118,0
2013	28	Bajo Aragón	-319,0		95	319,0
2013	29	Comunidad de Teruel	-497,0		159	497,0
2013	30	Maestrazgo	-52,0		8	52,0
