Año	Provincia nombre	Municipio código	Municipio nombre	Saldo Vegetativo	Nacidos vivos residentes	Matrimonios residentes	Defunciones residentes
2015	Huesca	22002	Abizanda	-1,0			1,0
2015	Huesca	22003	Adahuesca	-2,0			2,0
2015	Huesca	22007	Albalate de Cinca	-13,0		4	13,0
2015	Huesca	22009	Albelda	-27,0		2	27,0
2015	Huesca	22011	Albero Alto	-1,0			1,0
2015	Huesca	22013	Alberuela de Tubo	-2,0		1	2,0
2015	Huesca	22015	Alcalá del Obispo	-4,0			4,0
2015	Huesca	22016	Alcampell	-15,0			15,0
2015	Huesca	22017	Alcolea de Cinca	-7,0		3	7,0
2015	Huesca	22018	Alcubierre	-14,0			14,0
2015	Huesca	22020	Alfántega	-3,0		1	3,0
2015	Huesca	22021	Almudévar	-37,0		6	37,0
2015	Huesca	22022	Almunia de San Juan	-8,0		3	8,0
2015	Huesca	22023	Almuniente	-8,0			8,0
2015	Huesca	22024	Alquézar	-2,0			2,0
2015	Huesca	22025	Altorricón	-12,0		2	12,0
2015	Huesca	22027	Angüés	-12,0		2	12,0
2015	Huesca	22028	Ansó	-9,0			9,0
2015	Huesca	22032	Aragüés del Puerto				
2015	Huesca	22035	Arén	-4,0			4,0
2015	Huesca	22037	Arguis	-1,0			1,0
2015	Huesca	22039	Ayerbe	-26,0		2	26,0
2015	Huesca	22040	Azanuy-Alins	-4,0			4,0
2015	Huesca	22041	Azara	-3,0			3,0
2015	Huesca	22044	Bailo	-2,0			2,0
2015	Huesca	22046	Ballobar	-16,0		2	16,0
2015	Huesca	22047	Banastás	-3,0			3,0
2015	Huesca	22048	Barbastro	-185,0		49	185,0
2015	Huesca	22052	Belver de Cinca	-31,0		3	31,0
2015	Huesca	22053	Benabarre	-30,0		2	30,0
2015	Huesca	22054	Benasque	-7,0		3	7,0
2015	Huesca	22057	Bielsa	-6,0		3	6,0
2015	Huesca	22058	Bierge	-2,0			2,0
2015	Huesca	22059	Biescas	-17,0		4	17,0
2015	Huesca	22060	Binaced	-20,0		3	20,0
2015	Huesca	22061	Binéfar	-104,0		21	104,0
2015	Huesca	22062	Bisaurri	-3,0		1	3,0
2015	Huesca	22064	Blecua y Torres	-1,0			1,0
2015	Huesca	22066	Boltaña	-14,0		4	14,0
2015	Huesca	22067	Bonansa	-3,0			3,0
2015	Huesca	22069	Broto	-7,0		1	7,0
2015	Huesca	22072	Caldearenas	-2,0		1	2,0
2015	Huesca	22075	Camporrells	-1,0			1,0
2015	Huesca	22078	Canfranc	-5,0		1	5,0
2015	Huesca	22080	Capella	-7,0			7,0
2015	Huesca	22081	Casbas de Huesca	-4,0			4,0
2015	Huesca	22083	Castejón de Monegros	-16,0			16,0
2015	Huesca	22084	Castejón de Sos	-8,0		1	8,0
2015	Huesca	22086	Castiello de Jaca	-5,0		1	5,0
2015	Huesca	22089	Castillonroy	-3,0			3,0
2015	Huesca	22095	Chía	-3,0			3,0
2015	Huesca	22096	Chimillas	-6,0		1	6,0
2015	Huesca	22099	Esplús	-11,0			11,0
2015	Huesca	22103	Estadilla	-15,0		2	15,0
2015	Huesca	22105	Estopiñán del Castillo	-3,0			3,0
2015	Huesca	22107	Fanlo	-1,0			1,0
2015	Huesca	22109	Fiscal	-4,0		1	4,0
2015	Huesca	22110	Fonz	-13,0		1	13,0
2015	Huesca	22111	Foradada del Toscar	-2,0			2,0
2015	Huesca	22112	Fraga	-147,0		46	147,0
2015	Huesca	22113	Fueva (La)	-7,0		3	7,0
2015	Huesca	22116	Grañén	-27,0		3	27,0
2015	Huesca	22117	Graus	-54,0		1	54,0
2015	Huesca	22119	Gurrea de Gállego	-25,0		2	25,0
2015	Huesca	22124	Huerto	-6,0		1	6,0
2015	Huesca	22125	Huesca	-581,0		186	581,0
2015	Huesca	22127	Igriés	-13,0			13,0
2015	Huesca	22128	Ilche	-4,0			4,0
2015	Huesca	22129	Isábena	-2,0		3	2,0
2015	Huesca	22130	Jaca	-164,0		44	164,0
2015	Huesca	22133	Labuerda	-1,0			1,0
2015	Huesca	22135	Laluenga	-3,0			3,0
2015	Huesca	22136	Lalueza	-18,0		1	18,0
2015	Huesca	22137	Lanaja	-25,0		1	25,0
2015	Huesca	22141	Lascellas-Ponzano	-3,0			3,0
2015	Huesca	22142	Lascuarre	-1,0			1,0
2015	Huesca	22144	Laspuña	-6,0			6,0
2015	Huesca	22149	Loarre	-5,0		2	5,0
2015	Huesca	22151	Loscorrales	-3,0			3,0
2015	Huesca	22155	Monesma y Cajigar	-3,0			3,0
2015	Huesca	22156	Monflorite-Lascasas	-3,0		2	3,0
2015	Huesca	22158	Monzón	-181,0		62	181,0
2015	Huesca	22160	Naval	-2,0			2,0
2015	Huesca	22163	Nueno	-5,0		1	5,0
2015	Huesca	22165	Ontiñena	-10,0			10,0
2015	Huesca	22167	Osso de Cinca	-9,0		3	9,0
2015	Huesca	22170	Panticosa	-8,0		5	8,0
2015	Huesca	22172	Peñalba	-6,0			6,0
2015	Huesca	22173	Peñas de Riglos (Las)	-1,0			1,0
2015	Huesca	22174	Peralta de Alcofea	-13,0		2	13,0
2015	Huesca	22176	Peraltilla	-1,0			1,0
2015	Huesca	22182	Plan	-6,0		1	6,0
2015	Huesca	22184	Poleñino	-4,0			4,0
2015	Huesca	22186	Pozán de Vero	-7,0			7,0
2015	Huesca	22189	Puértolas	-3,0		1	3,0
2015	Huesca	22193	Pueyo de Santa Cruz	-4,0		2	4,0
2015	Huesca	22195	Quicena	-2,0			2,0
2015	Huesca	22197	Robres	-8,0		2	8,0
2015	Huesca	22199	Sabiñánigo	-93,0		31	93,0
2015	Huesca	22200	Sahún	-3,0			3,0
2015	Huesca	22201	Salas Altas	-8,0			8,0
2015	Huesca	22203	Salillas	-2,0			2,0
2015	Huesca	22204	Sallent de Gállego	-9,0		4	9,0
2015	Huesca	22205	San Esteban de Litera	-11,0			11,0
2015	Huesca	22208	Santa Cilia	0,0		1	
2015	Huesca	22209	Santa Cruz de la Serós	-1,0			1,0
2015	Huesca	22213	Sariñena	-45,0		19	45,0
2015	Huesca	22214	Secastilla	-4,0			4,0
2015	Huesca	22217	Sena	-5,0			5,0
2015	Huesca	22221	Sesué	-3,0			3,0
2015	Huesca	22222	Siétamo	-4,0		1	4,0
2015	Huesca	22225	Tamarite de Litera	-59,0		12	59,0
2015	Huesca	22226	Tardienta	-20,0		5	20,0
2015	Huesca	22227	Tella-Sin	-3,0			3,0
2015	Huesca	22228	Tierz	-2,0		3	2,0
2015	Huesca	22230	Torla-Ordesa	-2,0			2,0
2015	Huesca	22234	Torrente de Cinca	-10,0			10,0
2015	Huesca	22236	Torres de Barbués	-9,0			9,0
2015	Huesca	22245	Velilla de Cinca	-5,0		2	5,0
2015	Huesca	22249	Villanova				
2015	Huesca	22250	Villanúa	-1,0		1	1,0
2015	Huesca	22254	Zaidín	-17,0		2	17,0
2015	Huesca	22901	Valle de Hecho	-12,0			12,0
2015	Huesca	22902	Puente la Reina de Jaca	-4,0			4,0
2015	Huesca	22903	San Miguel del Cinca	-14,0		4	14,0
2015	Huesca	22904	Sotonera (La)	-17,0		1	17,0
2015	Huesca	22905	Lupiñén-Ortilla	-1,0		1	1,0
2015	Huesca	22906	Santa María de Dulcis	-3,0			3,0
2015	Huesca	22907	Aínsa-Sobrarbe	-26,0		7	26,0
2015	Teruel	44004	Aguaviva	-7,0			7,0
2015	Teruel	44005	Aguilar del Alfambra	-3,0			3,0
2015	Teruel	44007	Alba	-7,0			7,0
2015	Teruel	44008	Albalate del Arzobispo	-28,0			28,0
2015	Teruel	44009	Albarracín	-17,0		4	17,0
2015	Teruel	44010	Albentosa	-3,0			3,0
2015	Teruel	44011	Alcaine	-3,0			3,0
2015	Teruel	44013	Alcañiz	-148,0		60	148,0
2015	Teruel	44014	Alcorisa	-37,0		11	37,0
2015	Teruel	44016	Alfambra	-5,0			5,0
2015	Teruel	44017	Aliaga	-2,0		1	2,0
2015	Teruel	44022	Alloza	-8,0		3	8,0
2015	Teruel	44025	Andorra	-77,0		19	77,0
2015	Teruel	44027	Arens de Lledó	-4,0			4,0
2015	Teruel	44029	Ariño	-15,0		3	15,0
2015	Teruel	44037	Beceite	-4,0			4,0
2015	Teruel	44040	Berge				
2015	Teruel	44044	Bordón	-1,0			1,0
2015	Teruel	44045	Bronchales	-4,0		2	4,0
2015	Teruel	44049	Calaceite	-10,0		2	10,0
2015	Teruel	44050	Calamocha	-69,0		7	69,0
2015	Teruel	44051	Calanda	-45,0		10	45,0
2015	Teruel	44053	Camañas	-3,0			3,0
