Año	Provincia código	Provincia nombre	Nacidos vivos residentes	Matrimonios residentes	Defunciones residentes	Saldo Vegetativo
2015	22	Huesca		611	2726,0	-2726,0
2015	44	Teruel		379	1780,0	-1780,0
2015	50	Zaragoza		3310	9833,0	-9833,0
2014	22	Huesca		680	2513,0	-2513,0
2014	44	Teruel		432	1673,0	-1673,0
2014	50	Zaragoza		3109	9556,0	-9556,0
2013	22	Huesca		646	2439,0	-2439,0
2013	44	Teruel		410	1682,0	-1682,0
2013	50	Zaragoza		3320	9232,0	-9232,0
2012	22	Huesca		769	2559,0	-2559,0
2012	44	Teruel		423	1713,0	-1713,0
2012	50	Zaragoza		3524	9452,0	-9452,0
2011	22	Huesca		633	2477,0	-2477,0
2011	44	Teruel		397	1716,0	-1716,0
2011	50	Zaragoza		3285	9360,0	-9360,0
2010	22	Huesca	1995	679		1995,0
2010	44	Teruel	1182	417		1182,0
2010	50	Zaragoza	9763	3397		9763,0
2009	22	Huesca		697	2478,0	-2478,0
2009	44	Teruel		433	1715,0	-1715,0
2009	50	Zaragoza		3638	9075,0	-9075,0
2008	22	Huesca		739	2474,0	-2474,0
2008	44	Teruel		454	1653,0	-1653,0
2008	50	Zaragoza		3893	9271,0	-9271,0
2007	22	Huesca		797	2390,0	-2390,0
2007	44	Teruel		482	1690,0	-1690,0
2007	50	Zaragoza		4067	9200,0	-9200,0
2006	22	Huesca		826	2435,0	-2435,0
2006	44	Teruel		491	1671,0	-1671,0
2006	50	Zaragoza		4244	8883,0	-8883,0
2005	22	Huesca		798	2583,0	-2583,0
2005	44	Teruel		533	1738,0	-1738,0
2005	50	Zaragoza		4360	9361,0	-9361,0
2004	22	Huesca		867	2443,0	-2443,0
2004	44	Teruel		513	1635,0	-1635,0
2004	50	Zaragoza		4506	9097,0	-9097,0
2003	22	Huesca		773	2539,0	-2539,0
2003	44	Teruel		584	1768,0	-1768,0
2003	50	Zaragoza		4365	9387,0	-9387,0
