Municipio código	Municipio nombre	Municipio montaña	Municipio zona desfavorecida	Municipio superficie, medida
22001	Abiego	No es zona montañosa	Zona desfavorecida	38,19
22002	Abizanda	Pirineos	No es zona desfavorecida	44,84
22003	Adahuesca	Pirineos	No es zona desfavorecida	52,47
22004	Agüero	Pirineos	No es zona desfavorecida	94,16
22006	Aísa	Pirineos	No es zona desfavorecida	80,97
22007	Albalate de Cinca	No es zona montañosa	No es zona desfavorecida	44,23
22008	Albalatillo	No es zona montañosa	No es zona desfavorecida	9,15
22009	Albelda	No es zona montañosa	No es zona desfavorecida	51,92
22011	Albero Alto	No es zona montañosa	No es zona desfavorecida	19,28
22012	Albero Bajo	No es zona montañosa	No es zona desfavorecida	22,22
22013	Alberuela de Tubo	No es zona montañosa	No es zona desfavorecida	20,79
22014	Alcalá de Gurrea	No es zona montañosa	No es zona desfavorecida	71,42
22015	Alcalá del Obispo	No es zona montañosa	No es zona desfavorecida	47,85
22016	Alcampell	No es zona montañosa	No es zona desfavorecida	58,0
22017	Alcolea de Cinca	No es zona montañosa	No es zona desfavorecida	83,24
22018	Alcubierre	No es zona montañosa	No es zona desfavorecida	115,32
22019	Alerre	No es zona montañosa	No es zona desfavorecida	8,94
22020	Alfántega	No es zona montañosa	No es zona desfavorecida	8,76
22021	Almudévar	No es zona montañosa	No es zona desfavorecida	201,49
22022	Almunia de San Juan	No es zona montañosa	No es zona desfavorecida	35,66
22023	Almuniente	No es zona montañosa	No es zona desfavorecida	37,56
22024	Alquézar	Pirineos	No es zona desfavorecida	32,36
22025	Altorricón	No es zona montañosa	No es zona desfavorecida	32,41
22027	Angüés	No es zona montañosa	No es zona desfavorecida	56,52
22028	Ansó	Pirineos	No es zona desfavorecida	201,47
22029	Antillón	No es zona montañosa	No es zona desfavorecida	22,41
22032	Aragüés del Puerto	Pirineos	No es zona desfavorecida	64,44
22035	Arén	Pirineos	No es zona desfavorecida	119,32
22036	Argavieso	No es zona montañosa	No es zona desfavorecida	9,71
22037	Arguis	Pirineos	No es zona desfavorecida	62,75
22039	Ayerbe	No es zona montañosa	No es zona desfavorecida	63,89
22040	Azanuy-Alins	No es zona montañosa	No es zona desfavorecida	51,17
