Comarca código	Comarca nombre	Espacios Naturales Protegidos	Superficie de Espacios Naturales Protegidos	Lugares de Importancia Comunitaria	Superficie Lugares de Importacia Comunitaria	Zonas de especial Protección para las Aves	Superficie Zonas de Especial Protección para las Aves
01	La Jacetania	4,0	38458,4801	18,0	95666,14074	7,0	53414,28533
02	Alto Gállego	4,0	1798,526776	19,0	30000,91867	4,0	24274,95075
03	Sobrarbe	7,0	33835,83904	22,0	102176,3824	7,0	89336,34756
04	La Ribagorza	4,0	25738,11344	14,0	59873,26789	4,0	64196,94466
05	Cinco Villas	0,0	0,0	9,0	21844,80905	4,0	21850,20005
06	Hoya de Huesca / Plana de Uesca	2,0	18505,8148	9,0	39846,87607	6,0	63565,7808
07	Somontano de Barbastro	1,0	17792,48	5,0	22724,96827	1,0	25169,5129
08	Cinca Medio	0,0	0,0	2,0	5156,486189	0,0	0,0
09	La Litera / La Llitera	0,0	0,0	1,0	7655,480058	0,0	0,0
10	Los Monegros	0,0	0,0	6,0	52773,76423	6,0	59141,63103
11	Bajo Cinca / Baix Cinca	0,0	0,0	6,0	18469,81372	6,0	38679,73781
12	Tarazona y el Moncayo	1,0	5881,44	2,0	6603,084585	1,0	7848,697327
13	Campo de Borja	1,0	975,83	6,0	7109,697113	1,0	393,2382507
14	Aranda	1,0	4300,6	5,0	7728,144388	2,0	10151,63829
15	Ribera Alta del Ebro	0,0	0,0	3,0	868,4278763	1,0	4471,729309
16	Valdejalón	0,0	0,0	8,0	9276,688564	1,0	7654,910583
17	D.C. Zaragoza	1,0	1536,664845	9,0	67939,88996	6,0	49728,46258
18	Ribera Baja del Ebro	0,0	0,0	8,0	32535,85414	4,0	43804,91679
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1,0	161,98	8,0	13629,79769	3,0	40435,75244
20	Comunidad de Calatayud	0,0	0,0	10,0	37116,61946	3,0	29420,82751
21	Campo de Cariñena	0,0	0,0	4,0	10293,10691	1,0	6447,270102
22	Campo de Belchite	0,0	0,0	3,0	17156,13184	2,0	17387,93378
23	Bajo Martín	0,0	0,0	6,0	9327,320162	1,0	9142,412201
24	Campo de Daroca	1,0	1268,95	10,0	29730,49731	3,0	14454,24285
25	Jiloca	1,0	654,61	7,0	20815,28949	4,0	6698,725854
26	Cuencas Mineras	0,0	0,0	3,0	18023,42463	2,0	31044,17001
27	Andorra-Sierra de Arcos	1,0	50,896592	5,0	8291,859947	2,0	14241,62686
28	Bajo Aragón	0,0	0,0	5,0	2632,35148	1,0	3260,617256
29	Comunidad de Teruel	0,0	0,0	10,0	26166,41795	4,0	20561,49984
30	Maestrazgo	4,0	625,180577	4,0	35195,05554	1,0	41483,58649
31	Sierra de Albarracín	1,0	6833,14	10,0	76642,90406	2,0	34360,36121
32	Gúdar-Javalambre	0,0	0,0	7,0	135112,7567	0,0	0,0
33	Matarraña / Matarranya	0,0	0,0	4,0	15605,55137	2,0	14772,78152
