Año	CCAA código	CCAA nombre	Contenedores de vidrio	Kg vidrio doméstico
2001	02	Aragón	2977	10618020
2002	02	Aragón	3329	12165700
2003	02	Aragón	3335	14120130
2004	02	Aragón	3858	15202200
2005	02	Aragón	4283	16555610
2006	02	Aragón	4740	18163730
2007	02	Aragón	5071	21060179
2008	02	Aragón	4947	22435340
2009	02	Aragón	4946	22637624
2010	02	Aragón	5223	23165460
2011	02	Aragón	5435	23231250
2012	02	Aragón	5587	23821770
2013	02	Aragón	5797	20469665
2014	02	Aragón	6287	16668158
2015	02	Aragón	6400	17676048
2016	02	Aragón	6590	17803970
2017	02	Aragón	6676	18197260
2018	02	Aragón	6742	18934750
