Año	Comarca código	Comarca nombre	Contenedores de vidrio	Kg vidrio doméstico
2019	01	La Jacetania		
2019	02	Alto Gállego		
2019	03	Sobrarbe		
2019	04	La Ribagorza		
2019	05	Cinco Villas		
2019	06	Hoya de Huesca / Plana de Uesca		
2019	07	Somontano de Barbastro		
2019	08	Cinca Medio		
2019	09	La Litera / La Llitera		
2019	10	Los Monegros		
2019	11	Bajo Cinca / Baix Cinca		
2019	12	Tarazona y el Moncayo		
2019	13	Campo de Borja		
2019	14	Aranda		
2019	15	Ribera Alta del Ebro		
2019	16	Valdejalón		
2019	17	Central		
2019	18	Ribera Baja del Ebro		
2019	19	Bajo Aragón-Caspe / Baix Aragó-Casp		
2019	20	Comunidad de Calatayud		
2019	21	Campo de Cariñena		
2019	22	Campo de Belchite		
2019	23	Bajo Martín		
2019	24	Campo de Daroca		
2019	25	Jiloca		
2019	26	Cuencas Mineras		
2019	27	Andorra-Sierra de Arcos		
2019	28	Bajo Aragón		
2019	29	Comunidad de Teruel		
2019	30	Maestrazgo		
2019	31	Sierra de Albarracín		
2019	32	Gúdar-Javalambre		
2019	33	Matarraña / Matarranya		
2018	01	La Jacetania	202	491680
2018	02	Alto Gállego	274	483750
2018	03	Sobrarbe	116	317140
2018	04	La Ribagorza	228	445820
2018	05	Cinco Villas	189	426080
2018	06	Hoya de Huesca / Plana de Uesca	592	1207980
2018	07	Somontano de Barbastro	200	500450
2018	08	Cinca Medio	119	365680
2018	09	La Litera / La Llitera	160	302060
2018	10	Los Monegros	151	259920
2018	11	Bajo Cinca / Baix Cinca	133	391200
2018	12	Tarazona y el Moncayo	88	227800
2018	13	Campo de Borja	0	261580
2018	14	Aranda	42	64140
2018	15	Ribera Alta del Ebro	145	339740
2018	16	Valdejalón	158	334300
2018	17	Central	2228	9095370
2018	18	Ribera Baja del Ebro	58	86900
2018	19	Bajo Aragón-Caspe / Baix Aragó-Casp	73	179020
2018	20	Comunidad de Calatayud	268	565720
2018	21	Campo de Cariñena	109	185140
2018	22	Campo de Belchite	45	63860
2018	23	Bajo Martín	33	85720
2018	24	Campo de Daroca	71	109640
2018	25	Jiloca	140	208580
2018	26	Cuencas Mineras	72	87180
2018	27	Andorra-Sierra de Arcos	77	128010
2018	28	Bajo Aragón	160	424650
2018	29	Comunidad de Teruel	302	649000
2018	30	Maestrazgo	54	90460
2018	31	Sierra de Albarracín	48	91720
2018	32	Gúdar-Javalambre	135	227460
2018	33	Matarraña / Matarranya	72	237000
2017	01	La Jacetania	207	527500
2017	02	Alto Gállego	272	445740
2017	03	Sobrarbe	112	312880
2017	04	La Ribagorza	222	438740
2017	05	Cinco Villas	192	422340
2017	06	Hoya de Huesca / Plana de Uesca	585	1230190
2017	07	Somontano de Barbastro	199	502140
2017	08	Cinca Medio	118	348420
2017	09	La Litera / La Llitera	158	323120
2017	10	Los Monegros	151	260780
2017	11	Bajo Cinca / Baix Cinca	133	382380
2017	12	Tarazona y el Moncayo	89	246140
