Año	Comarca código	Comarca nombre	Contenedores de papel y cartón	Kg recogidos papel y cartón
2007	01	La Jacetania	173	
2007	02	Alto Gállego	308	
2007	03	Sobrarbe	52	
2007	04	La Ribagorza	13	
2007	05	Cinco Villas	88	
2007	06	Hoya de Huesca / Plana de Uesca	510	
2007	07	Somontano de Barbastro	37	
2007	08	Cinca Medio	47	
2007	09	La Litera / La Llitera	78	
2007	10	Los Monegros	305	
2007	11	Bajo Cinca / Baix Cinca	53	
2007	12	Tarazona y el Moncayo	107	
2007	13	Campo de Borja	235	
2007	14	Aranda	15	
2007	15	Ribera Alta del Ebro	244	
2007	16	Valdejalón	65	
2007	17	Central	1587	
2007	18	Ribera Baja del Ebro	35	
2007	19	Bajo Aragón-Caspe / Baix Aragó-Casp	40	
2007	20	Comunidad de Calatayud	175	
2007	21	Campo de Cariñena	54	
2007	22	Campo de Belchite	28	
2007	23	Bajo Martín	82	
2007	24	Campo de Daroca	42	
2007	25	Jiloca	18	
2007	26	Cuencas Mineras	15	
2007	27	Andorra-Sierra de Arcos	29	
2007	28	Bajo Aragón	47	
2007	29	Comunidad de Teruel	179	
2007	30	Maestrazgo	1	
2007	31	Sierra de Albarracín	3	
2007	32	Gúdar-Javalambre	1	
2007	33	Matarraña / Matarranya	99	
2009	01	La Jacetania	199	679299
2009	02	Alto Gállego	323	643179
2009	03	Sobrarbe	58	221939
2009	04	La Ribagorza	17	58250
2009	05	Cinco Villas	96	326180
2009	06	Hoya de Huesca / Plana de Uesca	568	2696284
2009	07	Somontano de Barbastro	45	298030
2009	08	Cinca Medio	61	346090
2009	09	La Litera / La Llitera	78	335305
2009	10	Los Monegros	336	444041
2009	11	Bajo Cinca / Baix Cinca	85	362070
2009	12	Tarazona y el Moncayo	118	258211
2009	13	Campo de Borja	242	685365
2009	14	Aranda	11	38830
2009	15	Ribera Alta del Ebro	309	541388
2009	16	Valdejalón	101	152518
2009	17	Central	1919	20284594
2009	18	Ribera Baja del Ebro	35	119392
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	45	173283
2009	20	Comunidad de Calatayud	193	341440
2009	21	Campo de Cariñena	54	157760
2009	22	Campo de Belchite	34	40441
2009	23	Bajo Martín	114	139579
2009	24	Campo de Daroca	43	35593
2009	25	Jiloca	20	85200
2009	26	Cuencas Mineras	61	119574
2009	27	Andorra-Sierra de Arcos	98	109402
2009	28	Bajo Aragón	170	355938
2009	29	Comunidad de Teruel	197	625302
2009	30	Maestrazgo	51	48272
2009	31	Sierra de Albarracín	36	63877
2009	32	Gúdar-Javalambre	82	107879
2009	33	Matarraña / Matarranya	99	194439
2010	01	La Jacetania	199	661434
2010	02	Alto Gállego	323	661604
2010	03	Sobrarbe	63	207680
2010	04	La Ribagorza	328	272109
2010	05	Cinco Villas	99	315858
2010	06	Hoya de Huesca / Plana de Uesca	573	2528624
2010	07	Somontano de Barbastro	45	338860
2010	08	Cinca Medio	61	382807
2010	09	La Litera / La Llitera	78	405541
2010	10	Los Monegros	340	466519
2010	11	Bajo Cinca / Baix Cinca	90	361365
2010	12	Tarazona y el Moncayo	118	271319
2010	13	Campo de Borja	242	583944
2010	14	Aranda	14	43835
2010	15	Ribera Alta del Ebro	357	576600
2010	16	Valdejalón	102	226163
2010	17	Central	1996	19639079
2010	18	Ribera Baja del Ebro	50	134025
2010	19	Bajo Aragón-Caspe / Baix Aragó-Casp	45	174030
2010	20	Comunidad de Calatayud	193	404641
2010	21	Campo de Cariñena	54	162158
2010	22	Campo de Belchite	34	38959
2010	23	Bajo Martín	114	135039
2010	24	Campo de Daroca	44	69751
2010	25	Jiloca	20	70040
2010	26	Cuencas Mineras	65	128696
2010	27	Andorra-Sierra de Arcos	29	111370
2010	28	Bajo Aragón	178	539730
2010	29	Comunidad de Teruel	198	558388
2010	30	Maestrazgo	54	52484
2010	31	Sierra de Albarracín	41	68979
2010	32	Gúdar-Javalambre	96	118962
2010	33	Matarraña / Matarranya	99	203958
2011	01	La Jacetania	207	616822
2011	02	Alto Gállego	353	592852
2011	03	Sobrarbe	64	202817
2011	04	La Ribagorza	328	296970
2011	05	Cinco Villas	99	308359
2011	06	Hoya de Huesca / Plana de Uesca	586	2344862
2011	07	Somontano de Barbastro	47	319200
2011	08	Cinca Medio	61	379564
2011	09	La Litera / La Llitera	78	406082
2011	10	Los Monegros	356	468508
2011	11	Bajo Cinca / Baix Cinca	90	303760
2011	12	Tarazona y el Moncayo	120	277202
2011	13	Campo de Borja	242	507203
2011	14	Aranda	14	47265
2011	15	Ribera Alta del Ebro	337	573981
2011	16	Valdejalón	102	325262
2011	17	Central	2029	17728845
2011	18	Ribera Baja del Ebro	50	121180
