Año	Provincia código	Provincia nombre	Contenedores de papel y cartón	Kg recogidos papel y cartón
2007	22	Huesca	1503	
2007	44	Teruel	474	
2007	50	Zaragoza	2788	
2009	22	Huesca	1684	5917569
2009	44	Teruel	928	1849462
2009	50	Zaragoza	3286	23321913
2010	22	Huesca	2013	6119938
2010	44	Teruel	894	1987646
2010	50	Zaragoza	3435	22806967
2011	22	Huesca	2081	5771696
2011	44	Teruel	1006	1831981
2011	50	Zaragoza	3457	20888783
2012	22	Huesca	2153	4999303
2012	44	Teruel	1012	1753681
2012	50	Zaragoza	3484	18762565
2013	22	Huesca	2265	5212157
2013	44	Teruel	1043	1646010
2013	50	Zaragoza	3621	17288816
2014	22	Huesca	2434	5130302
2014	44	Teruel	1150	1648942
2014	50	Zaragoza	3841	15734868
2015	22	Huesca	2563	5305141
2015	44	Teruel	1169	1749093
2015	50	Zaragoza	4029	15390632
2016	22	Huesca	2677	5540749
2016	44	Teruel	1181	1836953
2016	50	Zaragoza	4175	15362804
2017	22	Huesca	2737	5490793
2017	44	Teruel	1180	1824384
2017	50	Zaragoza	4248	15341211
