Año	CCAA código	CCAA nombre	Incendios	Superficie forestal afectada
2001	02	Aragón	406	4570,32
2002	02	Aragón	424	1507,74
2003	02	Aragón	335	1486,09
2004	02	Aragón	421	1234,9
2005	02	Aragón	711	2116,39
2006	02	Aragón	413	2156,71
2007	02	Aragón	414	1851,45
2008	02	Aragón	351	2484,65
2009	02	Aragón	443	19615,22
2010	02	Aragón	342	1144,03
2011	02	Aragón	442	900,92
2013	02	Aragón	217	347,72
2014	02	Aragón	373	438,9
2015	02	Aragón	341	7855,87
2016	02	Aragón	306	908,36
2017	02	Aragón	459	805,19
2018	02	Aragón	228	212,62
2019	02	Aragón	377	1360,54
