Año	Comarca código	Comarca nombre	Incendios	Superficie forestal afectada
2001	01	La Jacetania	12	396,16
2001	02	Alto Gállego	3	101,62
2001	03	Sobrarbe	1	1,5
2001	04	La Ribagorza	5	3,08
2001	05	Cinco Villas	34	21,37
2001	06	Hoya de Huesca / Plana de Uesca	26	2984,31
2001	07	Somontano de Barbastro	5	1,27
2001	08	Cinca Medio	5	1,3
2001	09	La Litera / La Llitera	4	21,04
2001	10	Los Monegros	11	5,9
2001	11	Bajo Cinca / Baix Cinca	9	26,71
2001	12	Tarazona y el Moncayo	10	49,24
2001	13	Campo de Borja	3	3,7
2001	14	Aranda	8	11,71
2001	15	Ribera Alta del Ebro	5	6,4
2001	16	Valdejalón	8	348,97
2001	17	Central	23	268,6
2001	18	Ribera Baja del Ebro	8	21,74
2001	19	Bajo Aragón-Caspe / Baix Aragó-Casp	13	5,49
2001	20	Comunidad de Calatayud	33	137,3
2001	21	Campo de Cariñena	9	57,08
2001	22	Campo de Belchite	3	5
2001	23	Bajo Martín	9	6,71
2001	24	Campo de Daroca	14	5,64
2001	25	Jiloca	11	11,31
2001	26	Cuencas Mineras	22	32,19
2001	27	Andorra-Sierra de Arcos	13	1,95
2001	28	Bajo Aragón	17	2,2
2001	29	Comunidad de Teruel	11	12,15
2001	30	Maestrazgo	8	4,31
2001	31	Sierra de Albarracín	7	0,78
2001	32	Gúdar-Javalambre	32	5,2
2001	33	Matarraña / Matarranya	24	8,39
2002	01	La Jacetania	5	94,58
2002	02	Alto Gállego	4	56,51
2002	03	Sobrarbe	6	32,34
2002	04	La Ribagorza	12	17,43
2002	05	Cinco Villas	44	325,59
2002	06	Hoya de Huesca / Plana de Uesca	20	198,62
2002	07	Somontano de Barbastro	10	301,22
2002	08	Cinca Medio	9	120,46
2002	09	La Litera / La Llitera	4	50
2002	10	Los Monegros	10	48,5
2002	11	Bajo Cinca / Baix Cinca	11	49,5
2002	12	Tarazona y el Moncayo	14	3
2002	13	Campo de Borja	12	6,09
2002	14	Aranda	10	1,41
2002	15	Ribera Alta del Ebro	8	5,88
2002	16	Valdejalón	11	4,78
2002	17	Central	36	28,15
2002	18	Ribera Baja del Ebro	5	1,54
2002	19	Bajo Aragón-Caspe / Baix Aragó-Casp	11	2,51
2002	20	Comunidad de Calatayud	41	42,54
2002	21	Campo de Cariñena	9	5,75
2002	22	Campo de Belchite	6	4,58
2002	23	Bajo Martín	3	41,04
2002	24	Campo de Daroca	18	14,27
2002	25	Jiloca	11	1,94
2002	26	Cuencas Mineras	10	21,59
2002	27	Andorra-Sierra de Arcos	7	1,14
2002	28	Bajo Aragón	21	2,73
2002	29	Comunidad de Teruel	11	10,43
2002	30	Maestrazgo	9	2
2002	31	Sierra de Albarracín	3	0
2002	32	Gúdar-Javalambre	11	8,44
2002	33	Matarraña / Matarranya	22	3,18
2003	01	La Jacetania	3	0,33
2003	02	Alto Gállego	10	6,25
2003	03	Sobrarbe	5	4,66
2003	04	La Ribagorza	10	5,4
2003	05	Cinco Villas	21	116,41
2003	06	Hoya de Huesca / Plana de Uesca	22	279,86
