Año	Municipio código	Municipio nombre	Incendios	Superficie forestal afectada
2001	22001	Abiego	0	0
2001	22002	Abizanda	0	0
2001	22003	Adahuesca	0	0
2001	22004	Agüero	0	0
2001	22006	Aísa	1	0,03
2001	22007	Albalate de Cinca	1	0,4
2001	22008	Albalatillo	0	0
2001	22009	Albelda	0	0
2001	22011	Albero Alto	0	0
2001	22012	Albero Bajo	0	0
2001	22013	Alberuela de Tubo	0	0
2001	22014	Alcalá de Gurrea	1	7,5
2001	22015	Alcalá del Obispo	1	1
2001	22016	Alcampell	0	0
2001	22017	Alcolea de Cinca	1	0,6
2001	22018	Alcubierre	0	0
2001	22019	Alerre	0	0
2001	22020	Alfántega	0	0
2001	22021	Almudévar	1	0,2
2001	22022	Almunia de San Juan	0	0
2001	22023	Almuniente	1	0,06
2001	22024	Alquézar	0	0
2001	22025	Altorricón	0	0
2001	22027	Angüés	1	0,2
2001	22028	Ansó	1	0,2
2001	22029	Antillón	1	5
2001	22032	Aragüés del Puerto	0	0
2001	22035	Arén	0	0
2001	22036	Argavieso	0	0
2001	22037	Arguis	1	0,01
2001	22039	Ayerbe	0	0
2001	22040	Azanuy-Alins	0	0
2001	22041	Azara	1	0,12
2001	22042	Azlor	0	0
2001	22043	Baells	0	0
2001	22044	Bailo	0	0
2001	22045	Baldellou	0	0
2001	22046	Ballobar	0	0
2001	22047	Banastás	0	0
2001	22048	Barbastro	1	1
2001	22049	Barbués	0	0
2001	22050	Barbuñales	0	0
2001	22051	Bárcabo	0	0
2001	22052	Belver de Cinca	0	0
2001	22053	Benabarre	1	0,15
2001	22054	Benasque	0	0
2001	22055	Berbegal	0	0
2001	22057	Bielsa	0	0
2001	22058	Bierge	1	0,02
2001	22059	Biescas	1	0,12
2001	22060	Binaced	0	0
2001	22061	Binéfar	1	0,02
2001	22062	Bisaurri	0	0
2001	22063	Biscarrués	0	0
2001	22064	Blecua y Torres	0	0
2001	22066	Boltaña	0	0
2001	22067	Bonansa	0	0
2001	22068	Borau	0	0
2001	22069	Broto	0	0
2001	22072	Caldearenas	1	99
2001	22074	Campo	0	0
2001	22075	Camporrells	0	0
2001	22076	Canal de Berdún	0	0
2001	22077	Candasnos	2	6,5
2001	22078	Canfranc	1	0,01
2001	22079	Capdesaso	0	0
2001	22080	Capella	0	0
2001	22081	Casbas de Huesca	1	0,01
2001	22082	Castejón del Puente	0	0
2001	22083	Castejón de Monegros	0	0
2001	22084	Castejón de Sos	0	0
2001	22085	Castelflorite	0	0
2001	22086	Castiello de Jaca	0	0
2001	22087	Castigaleu	0	0
2001	22088	Castillazuelo	0	0
2001	22089	Castillonroy	0	0
2001	22090	Colungo	0	0
2001	22094	Chalamera	0	0
2001	22095	Chía	0	0
2001	22096	Chimillas	0	0
2001	22099	Esplús	0	0
2001	22102	Estada	0	0
2001	22103	Estadilla	0	0
2001	22105	Estopiñán del Castillo	1	0,4
2001	22106	Fago	0	0
2001	22107	Fanlo	0	0
2001	22109	Fiscal	0	0
2001	22110	Fonz	0	0
2001	22111	Foradada del Toscar	0	0
