Año	Provincia código	Provincia nombre	Incendios	Superficie forestal afectada
2001	22	Huesca	77	3541,86
2001	44	Teruel	154	85,19
2001	50	Zaragoza	175	943,27
2002	22	Huesca	90	969,1
2002	44	Teruel	108	92,49
2002	50	Zaragoza	226	446,15
2003	22	Huesca	83	326,55
2003	44	Teruel	118	76,1
2003	50	Zaragoza	134	1083,44
2004	22	Huesca	87	207,32
2004	44	Teruel	132	251,06
2004	50	Zaragoza	202	776,52
2005	22	Huesca	227	484,24
2005	44	Teruel	208	589,63
2005	50	Zaragoza	276	1042,52
2006	22	Huesca	120	1707,79
2006	44	Teruel	110	78,56
2006	50	Zaragoza	183	370,36
2007	22	Huesca	99	145,9
2007	44	Teruel	119	1530,95
2007	50	Zaragoza	196	174,6
2008	22	Huesca	85	87,45
2008	44	Teruel	82	62,01
2008	50	Zaragoza	184	2335,19
2009	22	Huesca	98	66,43
2009	44	Teruel	121	9700,53
2009	50	Zaragoza	224	9848,26
2010	22	Huesca	82	73,09
2010	44	Teruel	75	72,08
2010	50	Zaragoza	185	998,86
2011	22	Huesca	124	156,86
2011	44	Teruel	99	295,81
2011	50	Zaragoza	219	448,25
2013	22	Huesca	49	148,54
2013	44	Teruel	56	18,4
2013	50	Zaragoza	112	180,78
2014	22	Huesca	77	95,01
2014	44	Teruel	117	122,72
2014	50	Zaragoza	179	221,17
2015	22	Huesca	126	493,41
2015	44	Teruel	84	41,09
2015	50	Zaragoza	131	7321,37
2016	22	Huesca	86	408,43
2016	44	Teruel	95	225,85
2016	50	Zaragoza	125	274,08
2017	22	Huesca	111	353,34
2017	44	Teruel	121	177,1
2017	50	Zaragoza	227	274,75
2018	22	Huesca	71	73,01
2018	44	Teruel	57	36,74
2018	50	Zaragoza	100	102,87
2019	22	Huesca	118	271,68
2019	44	Teruel	70	37,39
2019	50	Zaragoza	189	1051,47
