Año	Comarca código	Comarca nombre	Superficie total agricultura ecológica	Superficie calificada agricultura ecológica	Superficie calificada en reconversión	Superficie calificada primer año prácticas	Superficie certificaciones privadas	Superficie sin clasificar
2011	01	La Jacetania	821,42	17,87	0	6,62	0	796,93
2011	02	Alto Gállego	199585,03	211,6	0,003	0	0	0
2011	03	Sobrarbe	636,25	229,84	8,23	396,8	0	1,38
2011	04	La Ribagorza	229,12	66,49	2,5	160,13	0	0
2011	05	Cinco Villas	8731088,4	5630928,74	38823,41	237893,29	5,76	19,57
2011	06	Hoya de Huesca / Plana de Uesca	566,69	289,52	221,25	55,92	0	0
2011	07	Somontano de Barbastro	4894031,01	2977924,41	184918,9	320924,26	3,9	0,58
2011	08	Cinca Medio	5072315,88	728386,43	1962186,61	137214,43	52,88	0
2011	09	La Litera / La Llitera	9100,31	39,98	4729,32	50,58	54,66	0
2011	10	Los Monegros	18770279,68	12307663,26	3158936,58	326,49	321,8	39857,9
2011	11	Bajo Cinca / Baix Cinca	2038651,45	810459,8	37,18	78,48	80,09	18,71
2011	12	Tarazona y el Moncayo	131,09	62,61	12,17	56,31	0	0
2011	13	Campo de Borja	6225587,68	5999350,73	10,9	191,17	0	209,76
2011	14	Aranda	80,07	76,88	0	0	0	3,19
2011	15	Ribera Alta del Ebro	778,3344	685,55	2,32	87,0544	0	3,41
2011	16	Valdejalón	47075053,4	43689897,48	205,77	89,88	1379519,41	41,41
2011	17	Central	156896,48	107511,01	156,18	386,22	1204,93	242,88
2011	18	Ribera Baja del Ebro	8017270,73	7571019,81	128,85	66,68	0	0
2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	28156252,17	22810589,58	1732113,62	725264,95	74,96	537351,91
2011	20	Comunidad de Calatayud	2213296,28	1036080,41	101,42	8	144709,7	0
2011	21	Campo de Cariñena	2709739,56	2595874,69	53,19	5,91	0	17,15
2011	22	Campo de Belchite	40919257,9	12314789,25	360,47	178863,21	0	57,89
2011	23	Bajo Martín	13758900,66	9049980,46	425,72	26,6324	0	54,43
2011	24	Campo de Daroca	683295,94	631676,6945	116,18	155,94	0	7,26
2011	25	Jiloca	1015,16	286,1	16,11	485,39	0	227,56
2011	26	Cuencas Mineras	656711,9	151,59	24351	248,61	0	23,9
2011	27	Andorra-Sierra de Arcos	2942308,32	2786867,48	11315,36	2,49	0	22199
2011	28	Bajo Aragón	8947900,13	13127368,66	250522,67	60,21	0	55943,33
2011	29	Comunidad de Teruel	338470,94	337915,52	435,94	0	0	119,48
2011	30	Maestrazgo	150,77	150,77	0	0	0	0
2011	31	Sierra de Albarracín	1024,41	220,26	804,15	0	0	0
2011	32	Gúdar-Javalambre	1400889,15	1302605	98092	112,7	0	79,45
2011	33	Matarraña / Matarranya	19691492,67	13428039,29	277417,1	205106,96	3,74	28567,0714
2012	01	La Jacetania	8125585	0	0	803,55	0	90085
2012	02	Alto Gállego	197436,03	180476,03	0	16,96	0	0
2012	03	Sobrarbe	699,43	513,53	156,66	29,24	0	0
2012	04	La Ribagorza	212,84	211,91	0,93	0	0	0
2012	05	Cinco Villas	1831080,74	6451162,05	341779,42	100,64	5,76	36,62
2012	06	Hoya de Huesca / Plana de Uesca	2455986,95	2193427,66	246316,93	16228,69	13,67	0
2012	07	Somontano de Barbastro	4316337,2	3197696,78	290287,41	52,44	3,9	418605,33
2012	08	Cinca Medio	712676,65	934519,34	175382,59	124558,81	52,88	7,78
2012	09	La Litera / La Llitera	95778,09	76668,72	16,98	39,63	54,66	0
2012	10	Los Monegros	38209337,9	14043064,12	441,6	20279,32	321,8	213830,2
2012	11	Bajo Cinca / Baix Cinca	1819593,64	613781,09	101,07	51,96	80,09	0
2012	12	Tarazona y el Moncayo	19642,51	15064,25	32,27	0	0	0,54
2012	13	Campo de Borja	3263118,38	2935458,65	222,6231	17389,17	0	2,13
2012	14	Aranda	80,26	77,46	0	2,8	0	0
2012	15	Ribera Alta del Ebro	103945,96	17157,91	14,26	57,3517	0	8,11
2012	16	Valdejalón	13473473,73	42698216,98	159,93	1201207,45	1367319,41	100,46
2012	17	Central	3750714,988	108735,368	283,22	655,37	1198,19	1787,06
2012	18	Ribera Baja del Ebro	2265,5	2082,69	21,17	138,52	21,97	1,15
2012	19	Bajo Aragón-Caspe / Baix Aragó-Casp	27500131,85	22777597,8	896675,755	92,5	74,96	29,02
2012	20	Comunidad de Calatayud	2263260,84	1053507,91	51,56	5,94	144901,8	0,12
2012	21	Campo de Cariñena	3400439,55	2123061,74	637037,42	640340,39	0	0
2012	22	Campo de Belchite	27608923,52	2245817,35	350957,91	23513,57	0	43,07
2012	23	Bajo Martín	11143297,89	10495785,74	47,4	84,47	0	46,37
2012	24	Campo de Daroca	653624,88	632581,03	98,93	146,03	0	0,97
2012	25	Jiloca	694,98	381,21	309,54	4,23	0	0
2012	26	Cuencas Mineras	655639,39	136,37	25951	14,98	0	0
2012	27	Andorra-Sierra de Arcos	2904708,98	2852569,5	2734,48	22199	0	0,26
2012	28	Bajo Aragón	16968721,31	13667289,99	109593,58	5059,97	0	37406,2256
2012	29	Comunidad de Teruel	325654,28	325416,13	102,05	124,1	0	12
2012	30	Maestrazgo	150,77	150,77	0	0	0	0
2012	31	Sierra de Albarracín	1026,66	219,2	803,89	3,57	0	0
2012	32	Gúdar-Javalambre	2252270,6823	1389919,8523	862284,36	66,47	0	0
2012	33	Matarraña / Matarranya	20887440,47	11878874,33	475871,1314	374812,57	3,74	114841,72
2013	01	La Jacetania	8125599	0	803,55	90099	0	0
2013	02	Alto Gállego	194175,96	176345,96	17,83	0	0	0
2013	03	Sobrarbe	697,35	672,7	24,65	0	0	0
2013	04	La Ribagorza	202,9	202,26	0	0,64	0	0
2013	05	Cinco Villas	2346196,62	3468196,59	334659,25	30,07	609,29	14435,42
2013	06	Hoya de Huesca / Plana de Uesca	2513161,8	543652,58	3,87	16288	312,66	0
2013	07	Somontano de Barbastro	4698093,41	3369680,43	587344,4024	4,5191	4,9	18,27
2013	08	Cinca Medio	1239511,99	1010997,12	65624,24	11,33	0	0
2013	09	La Litera / La Llitera	118223,13	95804,68	18,45	2,24	0	0
2013	10	Los Monegros	9354789,33	6961382	20159,9	79,5425	2112,32	35506
2013	11	Bajo Cinca / Baix Cinca	722829,85	585550,69	29,58	8,28	48,91	6,11
2013	12	Tarazona y el Moncayo	241817,32	54	1,89	51218	62,48	0
2013	13	Campo de Borja	3227738,28	223865,33	17556,33	236172	1218,08	1,46
2013	14	Aranda	388,7	39,12	0	1,96	40,53	307,09
2013	15	Ribera Alta del Ebro	732,41	57,86	33,47	12,15	613,75	15,18
2013	16	Valdejalón	45840027,83	23035815,91	57,14	141,47	15056339,96	48,19
2013	17	Central	16833890,23	122165,51	322158,68	4683,62	1989,7	135,39
2013	18	Ribera Baja del Ebro	762365,28	659036,21	47,09	115,54	497,9	1,31
2013	19	Bajo Aragón-Caspe / Baix Aragó-Casp	26192797,92	19266366,44	1428745,11	74,49	470,54	91,1
2013	20	Comunidad de Calatayud	2255842,46	1056382,41	6,74	0	1199453,07	0,24
2013	21	Campo de Cariñena	3544431,86	2732150,26	74,61	127820,92	151,79	2,71
2013	22	Campo de Belchite	47513552,89	21868806,7	12190,1	3380556,301	620,38	32,39
2013	23	Bajo Martín	11188682,3	9547910,78	38,01	155,21	10,9	3,48
2013	24	Campo de Daroca	645661,66	631006,48	153,8	0,04	2,21	0,58
2013	25	Jiloca	357737,12	275178,45	122,22	8,78	35,91	0
2013	26	Cuencas Mineras	653839,39	653839,39	0	0	0	0
2013	27	Andorra-Sierra de Arcos	2907307,59	2876508,59	30799	0	0	0
2013	28	Bajo Aragón	10322558,89	8605909,32	3779,41	12280,91	0,13	5,55
2013	29	Comunidad de Teruel	737766,03	228960,11	91414,58	16,94	460,96	50,9
2013	30	Maestrazgo	150,28	12,41	0	0	137,87	0
2013	31	Sierra de Albarracín	1027,54	1023,09	4,45	0	0	0
2013	32	Gúdar-Javalambre	2295853,7223	1389962,0623	507807,1	0	0	43,72
2013	33	Matarraña / Matarranya	21640773,33	18786147,98	756557,48	108063,87	40,73	147045,0969
2014	01	La Jacetania	5106303,27	506,69	32699	0	0	4,94
2014	02	Alto Gállego	177524,01	159616,01	17,01	0	0	0,898
2014	03	Sobrarbe	648,69	647,86	0,83	0	0	0
2014	04	La Ribagorza	192,8114	165,1	6,92	20,13	0	0,6614
2014	05	Cinco Villas	6064109,02	3518802,54	23,9066	13,37	384,39	173,31
2014	06	Hoya de Huesca / Plana de Uesca	2480449,16	538398,13	0	0	235,97	9,26
2014	07	Somontano de Barbastro	1029596,15	328376,73	78,5491	68,52	4,9	24,06
2014	08	Cinca Medio	353553,37	353473,52	43,67	9,84	6,38	19,96
2014	09	La Litera / La Llitera	77,61	40,91	2,74	0	0	33,96
2014	10	Los Monegros	14348445,48	12778806,29	70,4	299,53	1976,75	35545,7
2014	11	Bajo Cinca / Baix Cinca	223,81	161,42	7,63	0,56	15,08	39,12
2014	12	Tarazona y el Moncayo	243691,69	53,69	2,75	42398	57,37	0
2014	13	Campo de Borja	2958357,01	240629,83	179261,8	2,32	1203,74	13,07
2014	14	Aranda	388,2387	38,23	309,08	0,3987	40,53	0
2014	15	Ribera Alta del Ebro	19818,48	8889,31	10,4	0,65	528,52	0
2014	16	Valdejalón	42268923,09	21884827,71	44,91	155523,99	13831951,32	14,88
2014	17	Central	30952288,74	1099094,69	4036,114	59,82	2046,56	144873,7
2014	18	Ribera Baja del Ebro	7291134,17	514115,95	418152,13	58,52	499,42	86,7
2014	19	Bajo Aragón-Caspe / Baix Aragó-Casp	23739125,33	16955427,24	9464,35	57,34	378,64	344956,01
2014	20	Comunidad de Calatayud	1079,804	341,46	0,52	7,104	730,48	0,24
2014	21	Campo de Cariñena	5595180,32	3897288,99	89,13	13,25	143,05	15,68
2014	22	Campo de Belchite	40204146,39	6392,33	173,87	496,31	483,03	1490571,84
2014	23	Bajo Martín	16291362,38	14440204,78	27,72	188,46	11,2	15,33
2014	24	Campo de Daroca	134095,94	353,7	1,32	123816,72	0	25,19
2014	25	Jiloca	947,5	670,85	1,1	25,57	35,48	214,5
2014	26	Cuencas Mineras	247,38	149,22	0	96,03	0	2,13
2014	27	Andorra-Sierra de Arcos	1556795,89	1526557,19	0,98	2,7	0	20436
2014	28	Bajo Aragón	7193317,46	5777083,75	166,34	34,3	0	71737
2014	29	Comunidad de Teruel	720083,87	227783,93	91341,02	56,41	441,57	31,59
2014	30	Maestrazgo	1386526,17	12,17	0	0	1386514	0
2014	31	Sierra de Albarracín	1037,36	1000,3	10,08	26,98	0	0
2014	32	Gúdar-Javalambre	2294365,79	1389011,13	507944	43,72	0	126,02
2014	33	Matarraña / Matarranya	16873446,35	13861066,71	856944,87	471018,17	40,76	63,2881
2015	01	La Jacetania	17,44	9,69	0,27	4,88	0	2,6
2015	02	Alto Gállego	216734,01	195826,01	1588	15,79	0	3,53
