Año	Superficie certificaciones privadas	Superficie sin clasificar	Provincia código	Provincia nombre	Superficie total agricultura ecológica	Superficie calificada agricultura ecológica	Superficie calificada en reconversión	Superficie calificada primer año prácticas
2011	502,54	817,6	22	Huesca	12568850,75	5465867,99	2152083,283	458908,89
2011	3,74	107214,2214	44	Teruel	47738864,11	40033585,13	663380,05	206042,9924
2011	1525525,55	577812,33	50	Zaragoza	163306094,1244	113747964,6445	4931041,77	1143373,4344
2012	516,21	508700,31	22	Huesca	18633479,72	8575325,58	712232,79	141800,06
2012	3,74	152306,5756	44	Teruel	55139605,4123	40610743,0923	1477697,4314	402369,36
2012	1513532,88	215837,25	50	Zaragoza	121170866,718	93725554,788	2227805,8481	1903910,2717
2013	1902,29	35524,27	22	Huesca	19430323,22	7663802,08	653859,7524	106442,3116
2013	686,5	147148,7469	44	Teruel	50105696,1923	42365452,1823	1390522,25	120525,71
2013	16262646,18	15077,17	50	Zaragoza	156942404,96	78144429,16	2135850,93	3800877,801
2014	1701,22	35599,7394	22	Huesca	11339130,4214	3495427,64	32851,6191	122,24
2014	1387043,01	92625,8581	44	Teruel	46318130,15	37223540,03	1456436,11	471492,34
2014	13838984,91	1980809,44	50	Zaragoza	171630222,1627	58791020,69	611645,4106	322724,1327
2015	1696,72	464726,9361	22	Huesca	10424834,1914	3305867,22	80807,817	29943,04
2015	414158,42	3472855,07	44	Teruel	43847347,8	20913114,98	90262,11	3688973,1
2015	9872943,44	4924021,76	50	Zaragoza	118355221,29	18941684,81	448902,17	3033872,4505
2016	1599,51	0	22	Huesca	9186502,5871	3645048,31	32169,77	163976,8201
2016	1130,56	0	44	Teruel	39910190,69	18931862,64	2783473,01	829661,5235
2016	8439127,85	0	50	Zaragoza	101453312,0323	26324777,5723	5564422,79	1905342,2
2017	1680,78	0	22	Huesca	8198398,5509	3517103,6462	307675,2209	184583,62
2017	1807,34	0	44	Teruel	28853029,33	14181797,1174	1244012,11	1818752,29
2017	344701,64	0	50	Zaragoza	102961351,1996	30231473,43	9238988,47	1954990,2446
2018	177172,95	0	22	Huesca	7398467,3866	1927576,0728	443,7944	324536,6117
2018	1917,97	0	44	Teruel	38610351,58	9728618,32	181202,14	17101711,03
2018	294698,54	0	50	Zaragoza	106913708,4096	44890136,08	617071,855	2342933,5847
