Año	Kg recogidos envases	Comarca código	Comarca nombre	Contenedores de envases
2007		01	La Jacetania	
2007		02	Alto Gállego	
2007		03	Sobrarbe	
2007		04	La Ribagorza	
2007		05	Cinco Villas	
2007		06	Hoya de Huesca / Plana de Uesca	
2007		07	Somontano de Barbastro	
2007		08	Cinca Medio	
2007		09	La Litera / La Llitera	
2007		10	Los Monegros	
2007		11	Bajo Cinca / Baix Cinca	
2007		12	Tarazona y el Moncayo	
2007		13	Campo de Borja	
2007		14	Aranda	
2007		15	Ribera Alta del Ebro	
2007		16	Valdejalón	
2007		17	Central	
2007		18	Ribera Baja del Ebro	
2007		19	Bajo Aragón-Caspe / Baix Aragó-Casp	
2007		20	Comunidad de Calatayud	
2007		21	Campo de Cariñena	
2007		22	Campo de Belchite	
2007		23	Bajo Martín	
2007		24	Campo de Daroca	
2007		25	Jiloca	
2007		26	Cuencas Mineras	
2007		27	Andorra-Sierra de Arcos	
2007		28	Bajo Aragón	
2007		29	Comunidad de Teruel	
2007		30	Maestrazgo	
2007		31	Sierra de Albarracín	
2007		32	Gúdar-Javalambre	
2007		33	Matarraña / Matarranya	
2009	260236	01	La Jacetania	178
2009	81821	02	Alto Gállego	122
2009	52101	03	Sobrarbe	201
2009	35993	04	La Ribagorza	70
2009	583996	05	Cinco Villas	509
2009	1510226	06	Hoya de Huesca / Plana de Uesca	585
2009	303010	07	Somontano de Barbastro	257
2009	326932	08	Cinca Medio	309
2009	225486	09	La Litera / La Llitera	129
2009	139390	10	Los Monegros	248
2009	316461	11	Bajo Cinca / Baix Cinca	203
2009	188047	12	Tarazona y el Moncayo	148
2009	206068	13	Campo de Borja	184
2009	48100	14	Aranda	90
2009	193519	15	Ribera Alta del Ebro	213
2009	196076	16	Valdejalón	204
2009	9414382	17	Central	2324
2009	87534	18	Ribera Baja del Ebro	107
2009	135422	19	Bajo Aragón-Caspe / Baix Aragó-Casp	113
2009	455789	20	Comunidad de Calatayud	434
2009	76977	21	Campo de Cariñena	136
2009	96647	22	Campo de Belchite	106
2009	98534	23	Bajo Martín	166
2009	28979	24	Campo de Daroca	44
2009	119338	25	Jiloca	227
2009	107553	26	Cuencas Mineras	98
2009	40042	27	Andorra-Sierra de Arcos	152
2009	343399	28	Bajo Aragón	277
2009	394490	29	Comunidad de Teruel	262
2009	24346	30	Maestrazgo	30
2009	27444	31	Sierra de Albarracín	33
2009	64662	32	Gúdar-Javalambre	147
2009	91960	33	Matarraña / Matarranya	83
2010	298053	01	La Jacetania	206
2010	341611	02	Alto Gállego	352
2010	73679	03	Sobrarbe	222
2010	105602	04	La Ribagorza	276
2010	382759	05	Cinco Villas	389
2010	1555680	06	Hoya de Huesca / Plana de Uesca	620
2010	319260	07	Somontano de Barbastro	241
2010	334567	08	Cinca Medio	262
2010	262081	09	La Litera / La Llitera	143
2010	213691	10	Los Monegros	326
2010	355241	11	Bajo Cinca / Baix Cinca	211
2010	167657	12	Tarazona y el Moncayo	125
2010	261919	13	Campo de Borja	223
2010	60421	14	Aranda	90
2010	300200	15	Ribera Alta del Ebro	324
2010	246277	16	Valdejalón	259
2010	9426199	17	Central	2516
2010	95899	18	Ribera Baja del Ebro	125
2010	146220	19	Bajo Aragón-Caspe / Baix Aragó-Casp	136
2010	452189	20	Comunidad de Calatayud	403
2010	90079	21	Campo de Cariñena	112
2010	0	22	Campo de Belchite	0
2010	72001	23	Bajo Martín	114
2010	42602	24	Campo de Daroca	81
2010	105323	25	Jiloca	200
2010	58029	26	Cuencas Mineras	61
