Año	Municipio código	Municipio nombre	Contenedores de envases	Kg recogidos envases	Provincia codigo
2018	22001	Abiego	6	4019	22
2018	22002	Abizanda	5	2990	22
2018	22003	Adahuesca	6	2810	22
2018	22004	Agüero	4	3818	22
2018	22006	Aísa	16	9093	22
2018	22007	Albalate de Cinca	19	20950	22
2018	22008	Albalatillo	6	2976	22
2018	22009	Albelda	14	12588	22
2018	22011	Albero Alto	1	3132	22
2018	22012	Albero Bajo	3	2196	22
2018	22013	Alberuela de Tubo	10	4933	22
2018	22014	Alcalá de Gurrea	6	7335	22
2018	22015	Alcalá del Obispo	6	9120	22
2018	22016	Alcampell	16	11602	22
2018	22017	Alcolea de Cinca	17	20650	22
2018	22018	Alcubierre	10	5999	22
2018	22019	Alerre	3	5494	22
2018	22020	Alfántega	3	2525	22
2018	22021	Almudévar	33	67138	22
2018	22022	Almunia de San Juan	13	12439	22
2018	22023	Almuniente	16	7733	22
2018	22024	Alquézar	9	4966	22
2018	22025	Altorricón	23	24553	22
2018	22027	Angüés	7	9889	22
2018	22028	Ansó	7	11290	22
2018	22029	Antillón	1	4230	22
2018	22032	Aragüés del Puerto	2	3132	22
2018	22035	Arén	12	6487	22
2018	22036	Argavieso	1	2747	22
2018	22037	Arguis	3	3351	22
2018	22039	Ayerbe	16	29421	22
2018	22040	Azanuy-Alins	8	2991	22
2018	22041	Azara	4	2940	22
2018	22042	Azlor	3	2336	22
2018	22043	Baells	3	1781	22
2018	22044	Bailo	9	7802	22
2018	22045	Baldellou	2	1418	22
2018	22046	Ballobar	14	14515	22
2018	22047	Banastás	3	8104	22
2018	22048	Barbastro	174	276191	22
2018	22049	Barbués	3	1289	22
2018	22050	Barbuñales	3	1536	22
2018	22051	Bárcabo	0	0	22
2018	22052	Belver de Cinca	16	22401	22
2018	22053	Benabarre	22	22503	22
2018	22054	Benasque	52	42998	22
2018	22055	Berbegal	8	5832	22
2018	22057	Bielsa	16	9067	22
2018	22058	Bierge	14	3953	22
2018	22059	Biescas	57	40656	22
2018	22060	Binaced	22	28506	22
2018	22061	Binéfar	140	162376	22
2018	22062	Bisaurri	6	3649	22
2018	22063	Biscarrués	4	5274	22
2018	22064	Blecua y Torres	2	5000	22
2018	22066	Boltaña	44	18039	22
2018	22067	Bonansa	2	1602	22
2018	22068	Borau	2	2225	22
2018	22069	Broto	21	10582	22
2018	22072	Caldearenas	11	6263	22
2018	22074	Campo	8	6954	22
2018	22075	Camporrells	5	2317	22
2018	22076	Canal de Berdún	10	9422	22
2018	22077	Candasnos	8	5509	22
2018	22078	Canfranc	11	14889	22
2018	22079	Capdesaso	3	2594	22
2018	22080	Capella	10	7258	22
2018	22081	Casbas de Huesca	6	7664	22
2018	22082	Castejón del Puente	4	5326	22
2018	22083	Castejón de Monegros	12	8402	22
2018	22084	Castejón de Sos	18	14961	22
2018	22085	Castelflorite	3	1782	22
2018	22086	Castiello de Jaca	9	6703	22
2018	22087	Castigaleu	1	1764	22
2018	22088	Castillazuelo	4	2842	22
2018	22089	Castillonroy	7	5550	22
2018	22090	Colungo	2	1928	22
2018	22094	Chalamera	2	1941	22
2018	22095	Chía	2	1764	22
2018	22096	Chimillas	6	10686	22
2018	22099	Esplús	13	10046	22
2018	22102	Estada	3	3300	22
2018	22103	Estadilla	24	13297	22
2018	22105	Estopiñán del Castillo	6	2676	22
2018	22106	Fago	1	742	22
2018	22107	Fanlo	0	0	22
2018	22109	Fiscal	17	6192	22
2018	22110	Fonz	22	16872	22
2018	22111	Foradada del Toscar	5	3609	22
2018	22112	Fraga	136	207074	22
2018	22113	Fueva (La)	4	11655	22
2018	22114	Gistaín	3	2722	22
2018	22115	Grado (El)	19	6894	22
2018	22116	Grañén	45	27815	22
2018	22117	Graus	77	67589	22
2018	22119	Gurrea de Gállego	25	40739	22
2018	22122	Hoz de Jaca	4	2088	22
2018	22124	Huerto	6	3469	22
2018	22125	Huesca	457	1435007	22
2018	22126	Ibieca	2	2747	22
2018	22127	Igriés	6	18845	22
2018	22128	Ilche	4	3480	22
2018	22129	Isábena	10	5291	22
2018	22130	Jaca	70	214290	22
2018	22131	Jasa	4	2582	22
2018	22133	Labuerda	4	3010	22
2018	22135	Laluenga	5	3431	22
2018	22136	Lalueza	24	15006	22
2018	22137	Lanaja	34	18761	22
2018	22139	Laperdiguera	2	1487	22
2018	22141	Lascellas-Ponzano	4	2091	22
2018	22142	Lascuarre	2	2696	22
2018	22143	Laspaúles	8	4947	22
2018	22144	Laspuña	6	5387	22
2018	22149	Loarre	9	9120	22
2018	22150	Loporzano	6	14340	22
2018	22151	Loscorrales	1	2747	22
2018	22155	Monesma y Cajigar	1	1561	22
2018	22156	Monflorite-Lascasas	6	10411	22
2018	22157	Montanuy	31	4460	22
2018	22158	Monzón	220	322958	22
2018	22160	Naval	4	4411	22
2018	22162	Novales	2	4258	22
2018	22163	Nueno	13	14752	22
2018	22164	Olvena	2	784	22
2018	22165	Ontiñena	6	9391	22
2018	22167	Osso de Cinca	7	12084	22
2018	22168	Palo	2	498	22
2018	22170	Panticosa	37	21839	22
2018	22172	Peñalba	14	10534	22
2018	22173	Peñas de Riglos (Las)	9	7005	22
2018	22174	Peralta de Alcofea	16	9409	22
2018	22175	Peralta de Calasanz	6	3821	22
2018	22176	Peraltilla	3	3267	22
2018	22177	Perarrúa	3	2271	22
2018	22178	Pertusa	1	3132	22
2018	22181	Piracés	1	2857	22
2018	22182	Plan	8	5502	22
2018	22184	Poleñino	6	3262	22
2018	22186	Pozán de Vero	5	3496	22
2018	22187	Puebla de Castro (La)	6	7318	22
2018	22188	Puente de Montañana	5	1946	22
2018	22189	Puértolas	10	4026	22
2018	22190	Pueyo de Araguás (El)	0	0	22
2018	22193	Pueyo de Santa Cruz	6	6135	22
2018	22195	Quicena	5	7774	22
2018	22197	Robres	14	8927	22
2018	22199	Sabiñánigo	181	254213	22
2018	22200	Sahún	8	6183	22
2018	22201	Salas Altas	4	4950	22
2018	22202	Salas Bajas	3	2793	22
2018	22203	Salillas	1	2775	22
2018	22204	Sallent de Gállego	82	39667	22
2018	22205	San Esteban de Litera	11	8386	22
2018	22206	Sangarrén	7	3501	22
2018	22207	San Juan de Plan	5	2722	22
2018	22208	Santa Cilia	6	6291	22
2018	22209	Santa Cruz de la Serós	4	4862	22
2018	22212	Santaliestra y San Quílez	2	1764	22
2018	22213	Sariñena	96	66117	22
2018	22214	Secastilla	5	3041	22
2018	22215	Seira	7	2899	22
2018	22217	Sena	10	7654	22
2018	22218	Senés de Alcubierre	2	668	22
2018	22220	Sesa	2	4807	22
2018	22221	Sesué	5	2554	22
2018	22222	Siétamo	13	18707	22
2018	22223	Sopeira	5	1946	22
2018	22225	Tamarite de Litera	56	60638	22
2018	22226	Tardienta	29	15483	22
2018	22227	Tella-Sin	7	4428	22
