Año	Provincia código	Provincia nombre	Contenedores de envases	Kg recogidos envases
2007	22	Huesca		
2007	44	Teruel		
2007	50	Zaragoza		
2009	22	Huesca	2193	3118579
2009	44	Teruel	1475	1311768
2009	50	Zaragoza	4721	11844613
2010	22	Huesca	2747	3759029
2010	44	Teruel	1290	1301289
2010	50	Zaragoza	4895	11772857
2011	22	Huesca	2890	3851095
2011	44	Teruel	1308	1363758
2011	50	Zaragoza	5090	11849041
2012	22	Huesca	2920	3948961
2012	44	Teruel	1279	1273658
2012	50	Zaragoza	5115	11941700
2013	22	Huesca	3026	3796238
2013	44	Teruel	1313	1308387
2013	50	Zaragoza	5183	11602025
2014	22	Huesca	3170	3849741
2014	44	Teruel	1440	1368987
2014	50	Zaragoza	5572	11714883
2015	22	Huesca	3302	3825063
2015	44	Teruel	1450	1436970
2015	50	Zaragoza	5699	11944376
2016	22	Huesca	3351	3997726
2016	44	Teruel	1484	1486016
2016	50	Zaragoza	5839	12383273
2017	22	Huesca	3416	4136510
2017	44	Teruel	1501	1553815
2017	50	Zaragoza	5872	12793487
