Mes y año	Comarca nombre	Comarca código	Edad (Grupos Quinquenales 2010)	Sexo	Afiliaciones en alta
Septiembre 2021	Alto Gállego	02	16-19	Hombres	17
Septiembre 2021	Alto Gállego	02	16-19	Mujeres	9
Septiembre 2021	Alto Gállego	02	20-24	Hombres	89
Septiembre 2021	Alto Gállego	02	20-24	Mujeres	57
Septiembre 2021	Alto Gállego	02	25-29	Hombres	167
Septiembre 2021	Alto Gállego	02	25-29	Mujeres	89
Septiembre 2021	Alto Gállego	02	30-34	Hombres	194
Septiembre 2021	Alto Gállego	02	30-34	Mujeres	110
Septiembre 2021	Alto Gállego	02	35-39	Hombres	289
Septiembre 2021	Alto Gállego	02	35-39	Mujeres	175
Septiembre 2021	Alto Gállego	02	40-44	Hombres	350
Septiembre 2021	Alto Gállego	02	40-44	Mujeres	233
Septiembre 2021	Alto Gállego	02	45-49	Hombres	335
Septiembre 2021	Alto Gállego	02	45-49	Mujeres	230
Septiembre 2021	Alto Gállego	02	50-54	Hombres	308
Septiembre 2021	Alto Gállego	02	50-54	Mujeres	244
Septiembre 2021	Alto Gállego	02	55-59	Hombres	288
Septiembre 2021	Alto Gállego	02	55-59	Mujeres	193
Septiembre 2021	Alto Gállego	02	60-64	Hombres	157
Septiembre 2021	Alto Gállego	02	60-64	Mujeres	123
Septiembre 2021	Alto Gállego	02	65-69	Hombres	3
Septiembre 2021	Alto Gállego	02	65-69	Mujeres	10
Septiembre 2021	Andorra-Sierra de Arcos	27	16-19	Hombres	8
Septiembre 2021	Andorra-Sierra de Arcos	27	20-24	Hombres	38
Septiembre 2021	Andorra-Sierra de Arcos	27	20-24	Mujeres	33
Septiembre 2021	Andorra-Sierra de Arcos	27	25-29	Hombres	51
Septiembre 2021	Andorra-Sierra de Arcos	27	25-29	Mujeres	39
Septiembre 2021	Andorra-Sierra de Arcos	27	30-34	Hombres	84
Septiembre 2021	Andorra-Sierra de Arcos	27	30-34	Mujeres	70
Septiembre 2021	Andorra-Sierra de Arcos	27	35-39	Hombres	121
Septiembre 2021	Andorra-Sierra de Arcos	27	35-39	Mujeres	83
