Mes (código)	Mes y año	Sexo	Nacionalidad	Afiliaciones en alta
202101	January 2021	Hombres	No consta	72508
202101	January 2021	Mujeres	No consta	34999
201606	June 2016	Hombres	Españoles	256890
201606	June 2016	Mujeres	Españoles	211543
201606	June 2016	Hombres	No consta	25
201606	June 2016	Mujeres	No consta	26
201606	June 2016	Hombres	Extranjeros comunitarios (UE-28)	17568
201606	June 2016	Mujeres	Extranjeros comunitarios (UE-28)	17821
201606	June 2016	Hombres	Extranjeros no comunitarios	22140
201606	June 2016	Mujeres	Extranjeros no comunitarios	12698
201606	June 2016	Hombres	Extranjeros comunitarios (UE-28)	2907
201606	June 2016	Mujeres	Extranjeros comunitarios (UE-28)	2168
201606	June 2016	Hombres	Extranjeros comunitarios (UE-28)	238
201606	June 2016	Mujeres	Extranjeros comunitarios (UE-28)	147
201603	March 2016	Hombres	Españoles	251823
201603	March 2016	Mujeres	Españoles	213075
201603	March 2016	Hombres	No consta	19
201603	March 2016	Mujeres	No consta	27
201603	March 2016	Hombres	Extranjeros comunitarios (UE-28)	13109
201603	March 2016	Mujeres	Extranjeros comunitarios (UE-28)	13687
201603	March 2016	Hombres	Extranjeros no comunitarios	15309
201603	March 2016	Mujeres	Extranjeros no comunitarios	11831
201603	March 2016	Hombres	Extranjeros comunitarios (UE-28)	2643
201603	March 2016	Mujeres	Extranjeros comunitarios (UE-28)	1923
201603	March 2016	Hombres	Extranjeros comunitarios (UE-28)	276
201603	March 2016	Mujeres	Extranjeros comunitarios (UE-28)	181
201512	Diciembre 2015	Hombres	Españoles	249553
201512	Diciembre 2015	Mujeres	Españoles	213348
201512	Diciembre 2015	Hombres	No consta	22
201512	Diciembre 2015	Mujeres	No consta	24
201512	Diciembre 2015	Hombres	Extranjeros comunitarios (UE-28)	12784
201512	Diciembre 2015	Mujeres	Extranjeros comunitarios (UE-28)	13613
201512	Diciembre 2015	Hombres	Extranjeros no comunitarios	15497
201512	Diciembre 2015	Mujeres	Extranjeros no comunitarios	11896
201512	Diciembre 2015	Hombres	Extranjeros comunitarios (UE-28)	2536
201512	Diciembre 2015	Mujeres	Extranjeros comunitarios (UE-28)	1882
201512	Diciembre 2015	Hombres	Extranjeros comunitarios (UE-28)	247
201512	Diciembre 2015	Mujeres	Extranjeros comunitarios (UE-28)	174
201509	Septiembre 2015	Hombres	Españoles	250573
201509	Septiembre 2015	Mujeres	Españoles	208313
201509	Septiembre 2015	Hombres	No consta	25
201509	Septiembre 2015	Mujeres	No consta	29
201509	Septiembre 2015	Hombres	Extranjeros comunitarios (UE-28)	13757
201509	Septiembre 2015	Mujeres	Extranjeros comunitarios (UE-28)	14795
201509	Septiembre 2015	Hombres	Extranjeros no comunitarios	17171
201509	Septiembre 2015	Mujeres	Extranjeros no comunitarios	12035
201509	Septiembre 2015	Hombres	Extranjeros comunitarios (UE-28)	2604
201509	Septiembre 2015	Mujeres	Extranjeros comunitarios (UE-28)	1902
201509	Septiembre 2015	Hombres	Extranjeros comunitarios (UE-28)	220
201509	Septiembre 2015	Mujeres	Extranjeros comunitarios (UE-28)	142
201506	Junio 2015	Hombres	Españoles	251882
201506	Junio 2015	Mujeres	Españoles	206604
201506	Junio 2015	Hombres	No consta	30
