Mes (código)	Mes y año	Municipio nombre	Municipio código	Sexo	Nacionalidad	Afiliaciones en alta
202106	Junio 2021	Ababuj	44001	Hombres	Españoles	10
202106	Junio 2021	Ababuj	44001	Mujeres	Españoles	5
202106	Junio 2021	Ababuj	44001	Hombres	Extranjeros comunitarios (UE-28)	2
202106	Junio 2021	Abanto	50001	Hombres	Españoles	8
202106	Junio 2021	Abanto	50001	Mujeres	Españoles	5
202106	Junio 2021	Abanto	50001	Hombres	Extranjeros comunitarios (UE-28)	1
202106	Junio 2021	Abanto	50001	Hombres	Extranjeros no comunitarios	1
202106	Junio 2021	Abejuela	44002	Hombres	Españoles	4
202106	Junio 2021	Abejuela	44002	Mujeres	Españoles	3
202106	Junio 2021	Abiego	22001	Hombres	Españoles	51
202106	Junio 2021	Abiego	22001	Mujeres	Españoles	20
202106	Junio 2021	Abiego	22001	Hombres	Extranjeros comunitarios (UE-28)	1
202106	Junio 2021	Abiego	22001	Mujeres	Extranjeros comunitarios (UE-28)	2
202106	Junio 2021	Abiego	22001	Hombres	Extranjeros no comunitarios	2
202106	Junio 2021	Abiego	22001	Mujeres	Extranjeros no comunitarios	2
202106	Junio 2021	Abiego	22001	Hombres	Extranjeros comunitarios (UE-28)	2
202106	Junio 2021	Abiego	22001	Mujeres	Extranjeros comunitarios (UE-28)	1
202106	Junio 2021	Abizanda	22002	Hombres	Españoles	22
202106	Junio 2021	Abizanda	22002	Mujeres	Españoles	17
202106	Junio 2021	Abizanda	22002	Hombres	Extranjeros comunitarios (UE-28)	6
202106	Junio 2021	Abizanda	22002	Mujeres	Extranjeros comunitarios (UE-28)	2
202106	Junio 2021	Abizanda	22002	Hombres	Extranjeros no comunitarios	3
202106	Junio 2021	Abizanda	22002	Mujeres	Extranjeros no comunitarios	3
202106	Junio 2021	Abizanda	22002	Hombres	Extranjeros comunitarios (UE-28)	1
202106	Junio 2021	Abizanda	22002	Mujeres	Extranjeros comunitarios (UE-28)	2
202106	Junio 2021	Acered	50002	Hombres	Españoles	17
202106	Junio 2021	Acered	50002	Mujeres	Españoles	10
202106	Junio 2021	Acered	50002	Hombres	Extranjeros comunitarios (UE-28)	17
202106	Junio 2021	Acered	50002	Mujeres	Extranjeros comunitarios (UE-28)	15
202106	Junio 2021	Acered	50002	Mujeres	Extranjeros no comunitarios	2
202106	Junio 2021	Adahuesca	22003	Hombres	Españoles	28
202106	Junio 2021	Adahuesca	22003	Mujeres	Españoles	24
202106	Junio 2021	Adahuesca	22003	Hombres	Extranjeros comunitarios (UE-28)	3
202106	Junio 2021	Adahuesca	22003	Hombres	Extranjeros no comunitarios	10
202106	Junio 2021	Adahuesca	22003	Mujeres	Extranjeros no comunitarios	2
202106	Junio 2021	Aguarón	50004	Hombres	Españoles	85
202106	Junio 2021	Aguarón	50004	Mujeres	Españoles	39
202106	Junio 2021	Aguarón	50004	Hombres	Extranjeros comunitarios (UE-28)	22
202106	Junio 2021	Aguarón	50004	Mujeres	Extranjeros comunitarios (UE-28)	6
202106	Junio 2021	Aguarón	50004	Hombres	Extranjeros no comunitarios	18
202106	Junio 2021	Aguarón	50004	Mujeres	Extranjeros no comunitarios	6
202106	Junio 2021	Aguatón	44003	Hombres	Españoles	3
202106	Junio 2021	Aguatón	44003	Mujeres	Españoles	2
202106	Junio 2021	Aguaviva	44004	Hombres	Españoles	81
202106	Junio 2021	Aguaviva	44004	Mujeres	Españoles	50
202106	Junio 2021	Aguaviva	44004	Mujeres	No consta	1
202106	Junio 2021	Aguaviva	44004	Hombres	Extranjeros comunitarios (UE-28)	13
202106	Junio 2021	Aguaviva	44004	Mujeres	Extranjeros comunitarios (UE-28)	11
202106	Junio 2021	Aguaviva	44004	Hombres	Extranjeros no comunitarios	2
202106	Junio 2021	Aguaviva	44004	Mujeres	Extranjeros no comunitarios	4
202106	Junio 2021	Aguaviva	44004	Hombres	Extranjeros comunitarios (UE-28)	1
202106	Junio 2021	Aguaviva	44004	Mujeres	Extranjeros comunitarios (UE-28)	1
202106	Junio 2021	Aguilar del Alfambra	44005	Hombres	Españoles	10
202106	Junio 2021	Aguilar del Alfambra	44005	Mujeres	Españoles	4
202106	Junio 2021	Aguilar del Alfambra	44005	Hombres	Extranjeros no comunitarios	7
202106	Junio 2021	Aguilar del Alfambra	44005	Mujeres	Extranjeros no comunitarios	1
202106	Junio 2021	Aguilón	50005	Hombres	Españoles	12
202106	Junio 2021	Aguilón	50005	Mujeres	Españoles	6
202106	Junio 2021	Aguilón	50005	Hombres	Extranjeros comunitarios (UE-28)	2
202106	Junio 2021	Aguilón	50005	Mujeres	Extranjeros comunitarios (UE-28)	1
202106	Junio 2021	Aguilón	50005	Mujeres	Extranjeros no comunitarios	1
202106	Junio 2021	Agón	50003	Hombres	Españoles	21
202106	Junio 2021	Agón	50003	Mujeres	Españoles	13
202106	Junio 2021	Agón	50003	Hombres	Extranjeros comunitarios (UE-28)	1
202106	Junio 2021	Agón	50003	Mujeres	Extranjeros comunitarios (UE-28)	1
202106	Junio 2021	Agón	50003	Mujeres	Extranjeros no comunitarios	1
202106	Junio 2021	Agüero	22004	Hombres	Españoles	11
202106	Junio 2021	Agüero	22004	Mujeres	Españoles	9
202106	Junio 2021	Agüero	22004	Hombres	Extranjeros no comunitarios	1
202106	Junio 2021	Agüero	22004	Mujeres	Extranjeros no comunitarios	1
202106	Junio 2021	Agüero	22004	Hombres	Extranjeros comunitarios (UE-28)	1
202106	Junio 2021	Agüero	22004	Mujeres	Extranjeros comunitarios (UE-28)	1
202106	Junio 2021	Ainzón	50006	Hombres	Españoles	114
202106	Junio 2021	Ainzón	50006	Mujeres	Españoles	90
202106	Junio 2021	Ainzón	50006	Hombres	Extranjeros comunitarios (UE-28)	3
202106	Junio 2021	Ainzón	50006	Mujeres	Extranjeros comunitarios (UE-28)	4
202106	Junio 2021	Ainzón	50006	Hombres	Extranjeros no comunitarios	2
202106	Junio 2021	Ainzón	50006	Mujeres	Extranjeros no comunitarios	2
202106	Junio 2021	Ainzón	50006	Mujeres	Extranjeros comunitarios (UE-28)	2
202106	Junio 2021	Alacón	44006	Hombres	Españoles	36
202106	Junio 2021	Alacón	44006	Mujeres	Españoles	13
202106	Junio 2021	Alacón	44006	Mujeres	Extranjeros comunitarios (UE-28)	1
202106	Junio 2021	Alacón	44006	Hombres	Extranjeros no comunitarios	1
202106	Junio 2021	Alacón	44006	Mujeres	Extranjeros no comunitarios	1
202106	Junio 2021	Aladrén	50007	Hombres	Españoles	6
202106	Junio 2021	Aladrén	50007	Mujeres	Españoles	3
202106	Junio 2021	Alagón	50008	Hombres	Españoles	1403
202106	Junio 2021	Alagón	50008	Mujeres	Españoles	1018
202106	Junio 2021	Alagón	50008	Hombres	No consta	2
202106	Junio 2021	Alagón	50008	Hombres	Extranjeros comunitarios (UE-28)	116
202106	Junio 2021	Alagón	50008	Mujeres	Extranjeros comunitarios (UE-28)	83
202106	Junio 2021	Alagón	50008	Hombres	Extranjeros no comunitarios	269
202106	Junio 2021	Alagón	50008	Mujeres	Extranjeros no comunitarios	78
202106	Junio 2021	Alagón	50008	Hombres	Extranjeros comunitarios (UE-28)	10
202106	Junio 2021	Alagón	50008	Mujeres	Extranjeros comunitarios (UE-28)	18
202106	Junio 2021	Alagón	50008	Mujeres	Extranjeros comunitarios (UE-28)	1
202106	Junio 2021	Alarba	50009	Hombres	Españoles	17
202106	Junio 2021	Alarba	50009	Mujeres	Españoles	10
202106	Junio 2021	Alarba	50009	Hombres	Extranjeros comunitarios (UE-28)	33
202106	Junio 2021	Alarba	50009	Mujeres	Extranjeros comunitarios (UE-28)	81
202106	Junio 2021	Alarba	50009	Mujeres	Extranjeros no comunitarios	1
202106	Junio 2021	Alba	44007	Hombres	Españoles	34
202106	Junio 2021	Alba	44007	Mujeres	Españoles	7
202106	Junio 2021	Alba	44007	Hombres	Extranjeros no comunitarios	3
202106	Junio 2021	Alba	44007	Mujeres	Extranjeros no comunitarios	1
202106	Junio 2021	Albalate de Cinca	22007	Hombres	Españoles	233
202106	Junio 2021	Albalate de Cinca	22007	Mujeres	Españoles	131
202106	Junio 2021	Albalate de Cinca	22007	Hombres	Extranjeros comunitarios (UE-28)	35
202106	Junio 2021	Albalate de Cinca	22007	Mujeres	Extranjeros comunitarios (UE-28)	39
202106	Junio 2021	Albalate de Cinca	22007	Hombres	Extranjeros no comunitarios	72
202106	Junio 2021	Albalate de Cinca	22007	Mujeres	Extranjeros no comunitarios	18
