Mes (código)	Mes y año	Provincia código	Provincia nombre	Sexo	Nacionalidad	Afiliaciones en alta
202101	January 2021	22	Huesca	Hombres	No consta	16328
202101	January 2021	22	Huesca	Mujeres	No consta	7249
202101	January 2021	44	Teruel	Hombres	No consta	9619
202101	January 2021	44	Teruel	Mujeres	No consta	4762
202101	January 2021	50	Zaragoza	Hombres	No consta	46491
202101	January 2021	50	Zaragoza	Mujeres	No consta	22956
202101	January 2021	99	No consta	Hombres	No consta	70
202101	January 2021	99	No consta	Mujeres	No consta	32
201606	June 2016	22	Huesca	Hombres	Españoles	44379
201606	June 2016	22	Huesca	Mujeres	Españoles	35041
201606	June 2016	22	Huesca	Hombres	No consta	1
201606	June 2016	22	Huesca	Mujeres	No consta	7
201606	June 2016	22	Huesca	Hombres	Extranjeros comunitarios (UE-28)	4103
201606	June 2016	22	Huesca	Mujeres	Extranjeros comunitarios (UE-28)	3644
201606	June 2016	22	Huesca	Hombres	Extranjeros no comunitarios	5610
201606	June 2016	22	Huesca	Mujeres	Extranjeros no comunitarios	1735
201606	June 2016	22	Huesca	Hombres	Extranjeros comunitarios (UE-28)	611
201606	June 2016	22	Huesca	Mujeres	Extranjeros comunitarios (UE-28)	556
201606	June 2016	22	Huesca	Hombres	Extranjeros comunitarios (UE-28)	23
201606	June 2016	22	Huesca	Mujeres	Extranjeros comunitarios (UE-28)	27
201606	June 2016	44	Teruel	Hombres	Españoles	26071
201606	June 2016	44	Teruel	Mujeres	Españoles	20225
201606	June 2016	44	Teruel	Hombres	No consta	1
201606	June 2016	44	Teruel	Hombres	Extranjeros comunitarios (UE-28)	1763
201606	June 2016	44	Teruel	Mujeres	Extranjeros comunitarios (UE-28)	1591
201606	June 2016	44	Teruel	Hombres	Extranjeros no comunitarios	1851
201606	June 2016	44	Teruel	Mujeres	Extranjeros no comunitarios	637
201606	June 2016	44	Teruel	Hombres	Extranjeros comunitarios (UE-28)	318
201606	June 2016	44	Teruel	Mujeres	Extranjeros comunitarios (UE-28)	159
201606	June 2016	44	Teruel	Hombres	Extranjeros comunitarios (UE-28)	13
201606	June 2016	44	Teruel	Mujeres	Extranjeros comunitarios (UE-28)	9
201606	June 2016	50	Zaragoza	Hombres	Españoles	186440
201606	June 2016	50	Zaragoza	Mujeres	Españoles	156277
201606	June 2016	50	Zaragoza	Hombres	No consta	23
201606	June 2016	50	Zaragoza	Mujeres	No consta	19
201606	June 2016	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	11702
201606	June 2016	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	12586
201606	June 2016	50	Zaragoza	Hombres	Extranjeros no comunitarios	14679
201606	June 2016	50	Zaragoza	Mujeres	Extranjeros no comunitarios	10326
201606	June 2016	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	1978
201606	June 2016	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	1453
201606	June 2016	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	202
201606	June 2016	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	111
201603	March 2016	22	Huesca	Hombres	Españoles	43691
201603	March 2016	22	Huesca	Mujeres	Españoles	35053
201603	March 2016	22	Huesca	Hombres	No consta	1
201603	March 2016	22	Huesca	Mujeres	No consta	6
201603	March 2016	22	Huesca	Hombres	Extranjeros comunitarios (UE-28)	2674
201603	March 2016	22	Huesca	Mujeres	Extranjeros comunitarios (UE-28)	2094
201603	March 2016	22	Huesca	Hombres	Extranjeros no comunitarios	3075
201603	March 2016	22	Huesca	Mujeres	Extranjeros no comunitarios	1428
