Mes y año	Comarca código	Comarca nombre	División (2 dígitos) código	División (2 dígitos) descripción	Afiliaciones en alta
Julio 2021	01	La Jacetania	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	373
Julio 2021	01	La Jacetania	02	Silvicultura y explotación forestal	10
Julio 2021	01	La Jacetania	03	Pesca y acuicultura	9
Julio 2021	01	La Jacetania	08	Otras industrias extractivas	22
Julio 2021	01	La Jacetania	10	Industria de la alimentación	69
Julio 2021	01	La Jacetania	11	Fabricación de bebidas	3
Julio 2021	01	La Jacetania	13	Industria textil	2
Julio 2021	01	La Jacetania	14	Confección de prendas de vestir	5
Julio 2021	01	La Jacetania	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	21
Julio 2021	01	La Jacetania	18	Artes gráficas y reproducción de soportes grabados	5
Julio 2021	01	La Jacetania	23	Fabricación de otros productos minerales no metálicos	19
Julio 2021	01	La Jacetania	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	1
Julio 2021	01	La Jacetania	25	Fabricación de productos metálicos, excepto maquinaria y equipo	28
Julio 2021	01	La Jacetania	27	Fabricación de material y equipo eléctrico	1
Julio 2021	01	La Jacetania	28	Fabricación de maquinaria y equipo n.c.o.p.	19
Julio 2021	01	La Jacetania	30	Fabricación de otro material de transporte	2
Julio 2021	01	La Jacetania	31	Fabricación de muebles	4
Julio 2021	01	La Jacetania	32	Otras industrias manufactureras	5
Julio 2021	01	La Jacetania	33	Reparación e instalación de maquinaria y equipo	14
Julio 2021	01	La Jacetania	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	29
Julio 2021	01	La Jacetania	41	Construcción de edificios	221
Julio 2021	01	La Jacetania	42	Ingeniería civil	70
Julio 2021	01	La Jacetania	43	Actividades de construcción especializada	285
Julio 2021	01	La Jacetania	45	Venta y reparación de vehículos de motor y motocicletas	80
Julio 2021	01	La Jacetania	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	162
Julio 2021	01	La Jacetania	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	691
Julio 2021	01	La Jacetania	49	Transporte terrestre y por tubería	140
Julio 2021	01	La Jacetania	50	Transporte marítimo y por vías navegables interiores	1
Julio 2021	01	La Jacetania	51	Transporte aéreo	1
Julio 2021	01	La Jacetania	52	Almacenamiento y actividades anexas al transporte	2
Julio 2021	01	La Jacetania	53	Actividades postales y de correos	2
Julio 2021	01	La Jacetania	55	Servicios de alojamiento	534
Julio 2021	01	La Jacetania	56	Servicios de comidas y bebidas	1011
Julio 2021	01	La Jacetania	58	Edición	4
Julio 2021	01	La Jacetania	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	1
Julio 2021	01	La Jacetania	60	Actividades de programación y emisión de radio y televisión	5
Julio 2021	01	La Jacetania	61	Telecomunicaciones	1
Julio 2021	01	La Jacetania	62	Programación, consultoría y otras actividades relacionadas con la informática	15
Julio 2021	01	La Jacetania	63	Servicios de información	7
Julio 2021	01	La Jacetania	64	Servicios financieros, excepto seguros y fondos de pensiones	1
Julio 2021	01	La Jacetania	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	1
Julio 2021	01	La Jacetania	66	Actividades auxiliares a los servicios financieros y a los seguros	21
Julio 2021	01	La Jacetania	68	Actividades inmobiliarias	71
Julio 2021	01	La Jacetania	69	Actividades jurídicas y de contabilidad	110
Julio 2021	01	La Jacetania	70	Actividades de las sedes centrales; actividades de consultoría de gestión empresarial	8
Julio 2021	01	La Jacetania	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	39
Julio 2021	01	La Jacetania	72	Investigación y desarrollo	30
Julio 2021	01	La Jacetania	73	Publicidad y estudios de mercado	11
Julio 2021	01	La Jacetania	74	Otras actividades profesionales, científicas y técnicas	26
Julio 2021	01	La Jacetania	75	Actividades veterinarias	20
Julio 2021	01	La Jacetania	77	Actividades de alquiler	33
Julio 2021	01	La Jacetania	78	Actividades relacionadas con el empleo	3
Julio 2021	01	La Jacetania	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	72
Julio 2021	01	La Jacetania	80	Actividades de seguridad e investigación	29
Julio 2021	01	La Jacetania	81	Servicios a edificios y actividades de jardinería	180
Julio 2021	01	La Jacetania	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	57
Julio 2021	01	La Jacetania	84	Administración Pública y defensa; Seguridad Social obligatoria	474
Julio 2021	01	La Jacetania	85	Educación	156
Julio 2021	01	La Jacetania	86	Actividades sanitarias	140
Julio 2021	01	La Jacetania	87	Asistencia en establecimientos residenciales	112
Julio 2021	01	La Jacetania	88	Actividades de servicios sociales sin alojamiento	4
Julio 2021	01	La Jacetania	90	Actividades de creación, artísticas y espectáculos	12
Julio 2021	01	La Jacetania	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	1
Julio 2021	01	La Jacetania	92	Actividades de juegos de azar y apuestas	14
Julio 2021	01	La Jacetania	93	Actividades deportivas, recreativas y de entretenimiento	176
Julio 2021	01	La Jacetania	94	Actividades asociativas	83
Julio 2021	01	La Jacetania	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	21
Julio 2021	01	La Jacetania	96	Otros servicios personales	147
Julio 2021	01	La Jacetania	97	Actividades de los hogares como empleadores de personal doméstico	207
Julio 2021	02	Alto Gállego	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	152
Julio 2021	02	Alto Gállego	02	Silvicultura y explotación forestal	13
Julio 2021	02	Alto Gállego	03	Pesca y acuicultura	8
Julio 2021	02	Alto Gállego	08	Otras industrias extractivas	19
Julio 2021	02	Alto Gállego	10	Industria de la alimentación	47
Julio 2021	02	Alto Gállego	11	Fabricación de bebidas	5
Julio 2021	02	Alto Gállego	14	Confección de prendas de vestir	2
Julio 2021	02	Alto Gállego	15	Industria del cuero y del calzado	2
Julio 2021	02	Alto Gállego	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	32
Julio 2021	02	Alto Gállego	18	Artes gráficas y reproducción de soportes grabados	8
Julio 2021	02	Alto Gállego	20	Industria química	371
Julio 2021	02	Alto Gállego	21	Fabricación de productos farmacéuticos	389
Julio 2021	02	Alto Gállego	22	Fabricación de productos de caucho y plásticos	12
Julio 2021	02	Alto Gállego	23	Fabricación de otros productos minerales no metálicos	18
Julio 2021	02	Alto Gállego	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	115
Julio 2021	02	Alto Gállego	25	Fabricación de productos metálicos, excepto maquinaria y equipo	42
Julio 2021	02	Alto Gállego	28	Fabricación de maquinaria y equipo n.c.o.p.	3
Julio 2021	02	Alto Gállego	31	Fabricación de muebles	7
Julio 2021	02	Alto Gállego	32	Otras industrias manufactureras	5
Julio 2021	02	Alto Gállego	33	Reparación e instalación de maquinaria y equipo	18
Julio 2021	02	Alto Gállego	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	38
Julio 2021	02	Alto Gállego	37	Recogida y tratamiento de aguas residuales	10
Julio 2021	02	Alto Gállego	41	Construcción de edificios	185
Julio 2021	02	Alto Gállego	42	Ingeniería civil	41
Julio 2021	02	Alto Gállego	43	Actividades de construcción especializada	373
Julio 2021	02	Alto Gállego	45	Venta y reparación de vehículos de motor y motocicletas	80
Julio 2021	02	Alto Gállego	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	139
Julio 2021	02	Alto Gállego	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	432
Julio 2021	02	Alto Gállego	49	Transporte terrestre y por tubería	206
Julio 2021	02	Alto Gállego	52	Almacenamiento y actividades anexas al transporte	20
Julio 2021	02	Alto Gállego	55	Servicios de alojamiento	657
Julio 2021	02	Alto Gállego	56	Servicios de comidas y bebidas	778
Julio 2021	02	Alto Gállego	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	1
Julio 2021	02	Alto Gállego	61	Telecomunicaciones	1
Julio 2021	02	Alto Gállego	62	Programación, consultoría y otras actividades relacionadas con la informática	9
Julio 2021	02	Alto Gállego	63	Servicios de información	1
Julio 2021	02	Alto Gállego	64	Servicios financieros, excepto seguros y fondos de pensiones	1
Julio 2021	02	Alto Gállego	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	2
Julio 2021	02	Alto Gállego	66	Actividades auxiliares a los servicios financieros y a los seguros	15
Julio 2021	02	Alto Gállego	68	Actividades inmobiliarias	44
Julio 2021	02	Alto Gállego	69	Actividades jurídicas y de contabilidad	59
Julio 2021	02	Alto Gállego	70	Actividades de las sedes centrales; actividades de consultoría de gestión empresarial	4
Julio 2021	02	Alto Gállego	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	70
Julio 2021	02	Alto Gállego	73	Publicidad y estudios de mercado	6
Julio 2021	02	Alto Gállego	74	Otras actividades profesionales, científicas y técnicas	12
Julio 2021	02	Alto Gállego	75	Actividades veterinarias	8
Julio 2021	02	Alto Gállego	77	Actividades de alquiler	25
Julio 2021	02	Alto Gállego	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	29
Julio 2021	02	Alto Gállego	81	Servicios a edificios y actividades de jardinería	109
Julio 2021	02	Alto Gállego	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	35
Julio 2021	02	Alto Gállego	84	Administración Pública y defensa; Seguridad Social obligatoria	281
Julio 2021	02	Alto Gállego	85	Educación	56
Julio 2021	02	Alto Gállego	86	Actividades sanitarias	35
Julio 2021	02	Alto Gállego	87	Asistencia en establecimientos residenciales	77
Julio 2021	02	Alto Gállego	88	Actividades de servicios sociales sin alojamiento	70
Julio 2021	02	Alto Gállego	90	Actividades de creación, artísticas y espectáculos	9
Julio 2021	02	Alto Gállego	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	28
Julio 2021	02	Alto Gállego	92	Actividades de juegos de azar y apuestas	1
Julio 2021	02	Alto Gállego	93	Actividades deportivas, recreativas y de entretenimiento	193
Julio 2021	02	Alto Gállego	94	Actividades asociativas	12
Julio 2021	02	Alto Gállego	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	10
Julio 2021	02	Alto Gállego	96	Otros servicios personales	96
Julio 2021	02	Alto Gállego	97	Actividades de los hogares como empleadores de personal doméstico	84
Julio 2021	03	Sobrarbe	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	352
