Mes y año	Comarca código	Comarca nombre	Nivel formativo grupo IAEST código	Nivel formativo grupo IAEST descripción	Sexo	Nº parados
Octubre 2021	01	La Jacetania	10	Educación Primaria o inferior	Hombres	31
Octubre 2021	01	La Jacetania	10	Educación Primaria o inferior	Mujeres	45
Octubre 2021	01	La Jacetania	20	Primera etapa de educación secundaria	Hombres	139
Octubre 2021	01	La Jacetania	20	Primera etapa de educación secundaria	Mujeres	180
Octubre 2021	01	La Jacetania	31	Bachillerato	Hombres	28
Octubre 2021	01	La Jacetania	31	Bachillerato	Mujeres	44
Octubre 2021	01	La Jacetania	32	Enseñanza media de formación profesional	Hombres	23
Octubre 2021	01	La Jacetania	32	Enseñanza media de formación profesional	Mujeres	42
Octubre 2021	01	La Jacetania	41	Enseñanza superior de formación profesional	Hombres	17
Octubre 2021	01	La Jacetania	41	Enseñanza superior de formación profesional	Mujeres	27
Octubre 2021	01	La Jacetania	42	Enseñanza superior universitaria	Hombres	34
Octubre 2021	01	La Jacetania	42	Enseñanza superior universitaria	Mujeres	96
Octubre 2021	02	Alto Gállego	10	Educación Primaria o inferior	Hombres	59
Octubre 2021	02	Alto Gállego	10	Educación Primaria o inferior	Mujeres	90
Octubre 2021	02	Alto Gállego	20	Primera etapa de educación secundaria	Hombres	84
Octubre 2021	02	Alto Gállego	20	Primera etapa de educación secundaria	Mujeres	96
Octubre 2021	02	Alto Gállego	31	Bachillerato	Hombres	32
Octubre 2021	02	Alto Gállego	31	Bachillerato	Mujeres	42
Octubre 2021	02	Alto Gállego	32	Enseñanza media de formación profesional	Hombres	23
Octubre 2021	02	Alto Gállego	32	Enseñanza media de formación profesional	Mujeres	24
Octubre 2021	02	Alto Gállego	41	Enseñanza superior de formación profesional	Hombres	12
Octubre 2021	02	Alto Gállego	41	Enseñanza superior de formación profesional	Mujeres	32
Octubre 2021	02	Alto Gállego	42	Enseñanza superior universitaria	Hombres	32
Octubre 2021	02	Alto Gállego	42	Enseñanza superior universitaria	Mujeres	51
Octubre 2021	03	Sobrarbe	10	Educación Primaria o inferior	Hombres	19
Octubre 2021	03	Sobrarbe	10	Educación Primaria o inferior	Mujeres	19
Octubre 2021	03	Sobrarbe	20	Primera etapa de educación secundaria	Hombres	36
Octubre 2021	03	Sobrarbe	20	Primera etapa de educación secundaria	Mujeres	34
Octubre 2021	03	Sobrarbe	31	Bachillerato	Hombres	17
Octubre 2021	03	Sobrarbe	31	Bachillerato	Mujeres	13
Octubre 2021	03	Sobrarbe	32	Enseñanza media de formación profesional	Hombres	9
Octubre 2021	03	Sobrarbe	32	Enseñanza media de formación profesional	Mujeres	2
Octubre 2021	03	Sobrarbe	41	Enseñanza superior de formación profesional	Hombres	6
Octubre 2021	03	Sobrarbe	41	Enseñanza superior de formación profesional	Mujeres	10
Octubre 2021	03	Sobrarbe	42	Enseñanza superior universitaria	Hombres	15
Octubre 2021	03	Sobrarbe	42	Enseñanza superior universitaria	Mujeres	29
Octubre 2021	04	La Ribagorza	10	Educación Primaria o inferior	Hombres	26
Octubre 2021	04	La Ribagorza	10	Educación Primaria o inferior	Mujeres	51
Octubre 2021	04	La Ribagorza	20	Primera etapa de educación secundaria	Hombres	73
Octubre 2021	04	La Ribagorza	20	Primera etapa de educación secundaria	Mujeres	81
Octubre 2021	04	La Ribagorza	31	Bachillerato	Hombres	8
Octubre 2021	04	La Ribagorza	31	Bachillerato	Mujeres	30
Octubre 2021	04	La Ribagorza	32	Enseñanza media de formación profesional	Hombres	13
Octubre 2021	04	La Ribagorza	32	Enseñanza media de formación profesional	Mujeres	13
Octubre 2021	04	La Ribagorza	41	Enseñanza superior de formación profesional	Hombres	9
Octubre 2021	04	La Ribagorza	41	Enseñanza superior de formación profesional	Mujeres	15
Octubre 2021	04	La Ribagorza	42	Enseñanza superior universitaria	Hombres	12
Octubre 2021	04	La Ribagorza	42	Enseñanza superior universitaria	Mujeres	23
Octubre 2021	05	Cinco Villas	10	Educación Primaria o inferior	Hombres	167
Octubre 2021	05	Cinco Villas	10	Educación Primaria o inferior	Mujeres	220
Octubre 2021	05	Cinco Villas	20	Primera etapa de educación secundaria	Hombres	239
Octubre 2021	05	Cinco Villas	20	Primera etapa de educación secundaria	Mujeres	369
Octubre 2021	05	Cinco Villas	31	Bachillerato	Hombres	14
Octubre 2021	05	Cinco Villas	31	Bachillerato	Mujeres	31
Octubre 2021	05	Cinco Villas	32	Enseñanza media de formación profesional	Hombres	34
Octubre 2021	05	Cinco Villas	32	Enseñanza media de formación profesional	Mujeres	83
Octubre 2021	05	Cinco Villas	41	Enseñanza superior de formación profesional	Hombres	9
Octubre 2021	05	Cinco Villas	41	Enseñanza superior de formación profesional	Mujeres	43
