Mes y año	'Aragón'	UE25-UE27-UE28	UE25	UE27	UE28	Sexo	Nº parados
Octubre 2021	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	20135
Octubre 2021	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	1924
Octubre 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	279
Octubre 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	15
Octubre 2021	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	2814
Octubre 2021	Aragón	No consta	No consta		No consta	Hombres	6
Octubre 2021	Aragón	No consta	No consta	No consta	No consta	Hombres	5
Octubre 2021	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	30930
Octubre 2021	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	2971
Octubre 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	367
Octubre 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	8
Octubre 2021	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	4329
Octubre 2021	Aragón	No consta	No consta		No consta	Mujeres	8
Septiembre 2021	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Hombres	20226
Septiembre 2021	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	1895
Septiembre 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	274
Septiembre 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	17
Septiembre 2021	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	2659
Septiembre 2021	Aragón	No consta	No consta		No consta	Hombres	6
Septiembre 2021	Aragón	No consta	No consta	No consta	No consta	Hombres	4
Septiembre 2021	Aragón	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	30735
Septiembre 2021	Aragón	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	2855
Septiembre 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	377
Septiembre 2021	Aragón	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	10
Septiembre 2021	Aragón	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	4086
Septiembre 2021	Aragón	No consta	No consta		No consta	Mujeres	5
