Mes y año	Comarca código	Comarca nombre	UE25-UE27-UE28	UE25	UE27	UE28	Sexo	Nº parados
Julio 2021	01	La Jacetania	Españoles	ESPAÑA	Españoles	Españoles	Hombres	258
Julio 2021	01	La Jacetania	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	11
Julio 2021	01	La Jacetania	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	5
Julio 2021	01	La Jacetania	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	12
Julio 2021	01	La Jacetania	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	385
Julio 2021	01	La Jacetania	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	22
Julio 2021	01	La Jacetania	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	7
Julio 2021	01	La Jacetania	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	1
Julio 2021	01	La Jacetania	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	29
Julio 2021	02	Alto Gállego	Españoles	ESPAÑA	Españoles	Españoles	Hombres	208
Julio 2021	02	Alto Gállego	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	18
Julio 2021	02	Alto Gállego	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	9
Julio 2021	02	Alto Gállego	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	18
Julio 2021	02	Alto Gállego	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	272
Julio 2021	02	Alto Gállego	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	26
Julio 2021	02	Alto Gállego	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	9
Julio 2021	02	Alto Gállego	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	54
Julio 2021	03	Sobrarbe	Españoles	ESPAÑA	Españoles	Españoles	Hombres	83
Julio 2021	03	Sobrarbe	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	5
Julio 2021	03	Sobrarbe	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	3
Julio 2021	03	Sobrarbe	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	1
Julio 2021	03	Sobrarbe	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	1
Julio 2021	03	Sobrarbe	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	80
Julio 2021	03	Sobrarbe	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	13
Julio 2021	03	Sobrarbe	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	4
Julio 2021	03	Sobrarbe	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	3
Julio 2021	04	La Ribagorza	Españoles	ESPAÑA	Españoles	Españoles	Hombres	103
Julio 2021	04	La Ribagorza	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	21
Julio 2021	04	La Ribagorza	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	4
Julio 2021	04	La Ribagorza	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	3
Julio 2021	04	La Ribagorza	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	5
Julio 2021	04	La Ribagorza	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	159
Julio 2021	04	La Ribagorza	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	30
Julio 2021	04	La Ribagorza	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	11
Julio 2021	04	La Ribagorza	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	14
Julio 2021	05	Cinco Villas	Españoles	ESPAÑA	Españoles	Españoles	Hombres	419
Julio 2021	05	Cinco Villas	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	98
Julio 2021	05	Cinco Villas	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	4
Julio 2021	05	Cinco Villas	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	63
Julio 2021	05	Cinco Villas	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	669
Julio 2021	05	Cinco Villas	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	142
Julio 2021	05	Cinco Villas	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	11
Julio 2021	05	Cinco Villas	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	86
Julio 2021	06	Hoya de Huesca / Plana de Uesca	Españoles	ESPAÑA	Españoles	Españoles	Hombres	1139
Julio 2021	06	Hoya de Huesca / Plana de Uesca	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	51
Julio 2021	06	Hoya de Huesca / Plana de Uesca	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	21
Julio 2021	06	Hoya de Huesca / Plana de Uesca	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	162
Julio 2021	06	Hoya de Huesca / Plana de Uesca	No consta	No consta	No consta	No consta	Hombres	1
Julio 2021	06	Hoya de Huesca / Plana de Uesca	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	1479
Julio 2021	06	Hoya de Huesca / Plana de Uesca	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	93
Julio 2021	06	Hoya de Huesca / Plana de Uesca	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	28
Julio 2021	06	Hoya de Huesca / Plana de Uesca	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	2
Julio 2021	06	Hoya de Huesca / Plana de Uesca	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	248
Julio 2021	06	Hoya de Huesca / Plana de Uesca	No consta	No consta		No consta	Mujeres	1
Julio 2021	07	Somontano de Barbastro	Españoles	ESPAÑA	Españoles	Españoles	Hombres	332
Julio 2021	07	Somontano de Barbastro	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	17
Julio 2021	07	Somontano de Barbastro	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	6
Julio 2021	07	Somontano de Barbastro	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	68
Julio 2021	07	Somontano de Barbastro	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	541
Julio 2021	07	Somontano de Barbastro	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	41
Julio 2021	07	Somontano de Barbastro	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	9
Julio 2021	07	Somontano de Barbastro	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	70
Julio 2021	08	Cinca Medio	Españoles	ESPAÑA	Españoles	Españoles	Hombres	376
Julio 2021	08	Cinca Medio	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	38
Julio 2021	08	Cinca Medio	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	5
Julio 2021	08	Cinca Medio	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	75
Julio 2021	08	Cinca Medio	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	515
Julio 2021	08	Cinca Medio	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	55
Julio 2021	08	Cinca Medio	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	10
Julio 2021	08	Cinca Medio	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	1
Julio 2021	08	Cinca Medio	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	97
Julio 2021	09	La Litera / La Llitera	Españoles	ESPAÑA	Españoles	Españoles	Hombres	216
Julio 2021	09	La Litera / La Llitera	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	33
Julio 2021	09	La Litera / La Llitera	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	4
Julio 2021	09	La Litera / La Llitera	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	63
Julio 2021	09	La Litera / La Llitera	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	279
Julio 2021	09	La Litera / La Llitera	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	38
Julio 2021	09	La Litera / La Llitera	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3
Julio 2021	09	La Litera / La Llitera	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Mujeres	51
Julio 2021	09	La Litera / La Llitera	No consta	No consta	No consta	No consta	Mujeres	1
Julio 2021	10	Los Monegros	Españoles	ESPAÑA	Españoles	Españoles	Hombres	144
Julio 2021	10	Los Monegros	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	32
Julio 2021	10	Los Monegros	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	3
