Mes y año	Comarca código	Comarca nombre	Edad (grupos quinquenales)	Sexo	Nº parados
Septiembre 2021	01	La Jacetania	16-19	Mujeres	3
Septiembre 2021	01	La Jacetania	20-24	Hombres	3
Septiembre 2021	01	La Jacetania	20-24	Mujeres	9
Septiembre 2021	01	La Jacetania	25-29	Hombres	7
Septiembre 2021	01	La Jacetania	25-29	Mujeres	13
Septiembre 2021	01	La Jacetania	30-34	Hombres	4
Septiembre 2021	01	La Jacetania	30-34	Mujeres	12
Septiembre 2021	01	La Jacetania	35-39	Hombres	5
Septiembre 2021	01	La Jacetania	35-39	Mujeres	17
Septiembre 2021	01	La Jacetania	40-44	Hombres	6
Septiembre 2021	01	La Jacetania	40-44	Mujeres	18
Septiembre 2021	01	La Jacetania	45-49	Hombres	10
Septiembre 2021	01	La Jacetania	45-49	Mujeres	15
Septiembre 2021	01	La Jacetania	50-54	Hombres	14
Septiembre 2021	01	La Jacetania	50-54	Mujeres	18
Septiembre 2021	01	La Jacetania	55-59	Hombres	20
Septiembre 2021	01	La Jacetania	55-59	Mujeres	37
Septiembre 2021	01	La Jacetania	60-64	Hombres	18
Septiembre 2021	01	La Jacetania	60-64	Mujeres	34
Septiembre 2021	02	Alto Gállego	20-24	Hombres	3
Septiembre 2021	02	Alto Gállego	20-24	Mujeres	2
Septiembre 2021	02	Alto Gállego	25-29	Hombres	6
Septiembre 2021	02	Alto Gállego	25-29	Mujeres	5
Septiembre 2021	02	Alto Gállego	30-34	Hombres	7
Septiembre 2021	02	Alto Gállego	30-34	Mujeres	11
Septiembre 2021	02	Alto Gállego	35-39	Hombres	11
Septiembre 2021	02	Alto Gállego	35-39	Mujeres	13
Septiembre 2021	02	Alto Gállego	40-44	Hombres	8
Septiembre 2021	02	Alto Gállego	40-44	Mujeres	16
Septiembre 2021	02	Alto Gállego	45-49	Hombres	6
Septiembre 2021	02	Alto Gállego	45-49	Mujeres	16
Septiembre 2021	02	Alto Gállego	50-54	Hombres	11
Septiembre 2021	02	Alto Gállego	50-54	Mujeres	12
Septiembre 2021	02	Alto Gállego	55-59	Hombres	22
Septiembre 2021	02	Alto Gállego	55-59	Mujeres	26
Septiembre 2021	02	Alto Gállego	60-64	Hombres	18
Septiembre 2021	02	Alto Gállego	60-64	Mujeres	40
Septiembre 2021	03	Sobrarbe	20-24	Hombres	1
Septiembre 2021	03	Sobrarbe	20-24	Mujeres	1
Septiembre 2021	03	Sobrarbe	30-34	Hombres	2
Septiembre 2021	03	Sobrarbe	30-34	Mujeres	4
Septiembre 2021	03	Sobrarbe	35-39	Hombres	4
Septiembre 2021	03	Sobrarbe	35-39	Mujeres	5
Septiembre 2021	03	Sobrarbe	40-44	Hombres	1
Septiembre 2021	03	Sobrarbe	40-44	Mujeres	4
Septiembre 2021	03	Sobrarbe	45-49	Hombres	4
Septiembre 2021	03	Sobrarbe	45-49	Mujeres	1
Septiembre 2021	03	Sobrarbe	50-54	Hombres	4
Septiembre 2021	03	Sobrarbe	50-54	Mujeres	6
Septiembre 2021	03	Sobrarbe	55-59	Hombres	10
Septiembre 2021	03	Sobrarbe	55-59	Mujeres	5
Septiembre 2021	03	Sobrarbe	60-64	Hombres	8
Septiembre 2021	03	Sobrarbe	60-64	Mujeres	7
Septiembre 2021	04	La Ribagorza	25-29	Hombres	3
Septiembre 2021	04	La Ribagorza	25-29	Mujeres	2
Septiembre 2021	04	La Ribagorza	30-34	Hombres	2
Septiembre 2021	04	La Ribagorza	30-34	Mujeres	6
Septiembre 2021	04	La Ribagorza	35-39	Hombres	4
Septiembre 2021	04	La Ribagorza	35-39	Mujeres	11
Septiembre 2021	04	La Ribagorza	40-44	Hombres	4
Septiembre 2021	04	La Ribagorza	40-44	Mujeres	8
Septiembre 2021	04	La Ribagorza	45-49	Hombres	4
Septiembre 2021	04	La Ribagorza	45-49	Mujeres	7
Septiembre 2021	04	La Ribagorza	50-54	Hombres	7
Septiembre 2021	04	La Ribagorza	50-54	Mujeres	12
Septiembre 2021	04	La Ribagorza	55-59	Hombres	7
Septiembre 2021	04	La Ribagorza	55-59	Mujeres	21
Septiembre 2021	04	La Ribagorza	60-64	Hombres	15
Septiembre 2021	04	La Ribagorza	60-64	Mujeres	35
Septiembre 2021	05	Cinco Villas	16-19	Hombres	1
Septiembre 2021	05	Cinco Villas	16-19	Mujeres	1
Septiembre 2021	05	Cinco Villas	20-24	Hombres	5
Septiembre 2021	05	Cinco Villas	20-24	Mujeres	6
Septiembre 2021	05	Cinco Villas	25-29	Hombres	10
Septiembre 2021	05	Cinco Villas	25-29	Mujeres	17
Septiembre 2021	05	Cinco Villas	30-34	Hombres	10
Septiembre 2021	05	Cinco Villas	30-34	Mujeres	20
Septiembre 2021	05	Cinco Villas	35-39	Hombres	8
Septiembre 2021	05	Cinco Villas	35-39	Mujeres	36
Septiembre 2021	05	Cinco Villas	40-44	Hombres	12
Septiembre 2021	05	Cinco Villas	40-44	Mujeres	39
Septiembre 2021	05	Cinco Villas	45-49	Hombres	22
Septiembre 2021	05	Cinco Villas	45-49	Mujeres	48
Septiembre 2021	05	Cinco Villas	50-54	Hombres	29
Septiembre 2021	05	Cinco Villas	50-54	Mujeres	51
Septiembre 2021	05	Cinco Villas	55-59	Hombres	35
Septiembre 2021	05	Cinco Villas	55-59	Mujeres	78
Septiembre 2021	05	Cinco Villas	60-64	Hombres	43
Septiembre 2021	05	Cinco Villas	60-64	Mujeres	101
Septiembre 2021	06	Hoya de Huesca / Plana de Uesca	16-19	Hombres	8
Septiembre 2021	06	Hoya de Huesca / Plana de Uesca	16-19	Mujeres	6
Septiembre 2021	06	Hoya de Huesca / Plana de Uesca	20-24	Hombres	16
Septiembre 2021	06	Hoya de Huesca / Plana de Uesca	20-24	Mujeres	24
Septiembre 2021	06	Hoya de Huesca / Plana de Uesca	25-29	Hombres	26
Septiembre 2021	06	Hoya de Huesca / Plana de Uesca	25-29	Mujeres	41
Septiembre 2021	06	Hoya de Huesca / Plana de Uesca	30-34	Hombres	16
Septiembre 2021	06	Hoya de Huesca / Plana de Uesca	30-34	Mujeres	49
Septiembre 2021	06	Hoya de Huesca / Plana de Uesca	35-39	Hombres	32
Septiembre 2021	06	Hoya de Huesca / Plana de Uesca	35-39	Mujeres	76
Septiembre 2021	06	Hoya de Huesca / Plana de Uesca	40-44	Hombres	44
Septiembre 2021	06	Hoya de Huesca / Plana de Uesca	40-44	Mujeres	90
Septiembre 2021	06	Hoya de Huesca / Plana de Uesca	45-49	Hombres	59
Septiembre 2021	06	Hoya de Huesca / Plana de Uesca	45-49	Mujeres	114
Septiembre 2021	06	Hoya de Huesca / Plana de Uesca	50-54	Hombres	59
Septiembre 2021	06	Hoya de Huesca / Plana de Uesca	50-54	Mujeres	78
Septiembre 2021	06	Hoya de Huesca / Plana de Uesca	55-59	Hombres	89
Septiembre 2021	06	Hoya de Huesca / Plana de Uesca	55-59	Mujeres	107
Septiembre 2021	06	Hoya de Huesca / Plana de Uesca	60-64	Hombres	91
Septiembre 2021	06	Hoya de Huesca / Plana de Uesca	60-64	Mujeres	161
