Mes y año	Mes (código)	Comarca código	Comarca nombre	Sexo	Edad (grupos quinquenales)	Número de contratos
Junio 2021	202106	01	La Jacetania	Hombres	16-19	32
Junio 2021	202106	01	La Jacetania	Mujeres	16-19	23
Junio 2021	202106	01	La Jacetania	Hombres	20-24	67
Junio 2021	202106	01	La Jacetania	Mujeres	20-24	79
Junio 2021	202106	01	La Jacetania	Hombres	25-29	41
Junio 2021	202106	01	La Jacetania	Mujeres	25-29	42
Junio 2021	202106	01	La Jacetania	Hombres	30-34	38
Junio 2021	202106	01	La Jacetania	Mujeres	30-34	32
Junio 2021	202106	01	La Jacetania	Hombres	35-39	27
Junio 2021	202106	01	La Jacetania	Mujeres	35-39	34
Junio 2021	202106	01	La Jacetania	Hombres	40-44	37
Junio 2021	202106	01	La Jacetania	Mujeres	40-44	53
Junio 2021	202106	01	La Jacetania	Hombres	45-49	25
Junio 2021	202106	01	La Jacetania	Mujeres	45-49	33
Junio 2021	202106	01	La Jacetania	Hombres	50-54	21
Junio 2021	202106	01	La Jacetania	Mujeres	50-54	27
Junio 2021	202106	01	La Jacetania	Hombres	55-59	19
Junio 2021	202106	01	La Jacetania	Mujeres	55-59	16
Junio 2021	202106	01	La Jacetania	Hombres	60-64	8
Junio 2021	202106	01	La Jacetania	Mujeres	60-64	9
Junio 2021	202106	01	La Jacetania	Hombres	Más de 64	2
Junio 2021	202106	01	La Jacetania	Mujeres	Más de 64	1
Junio 2021	202106	02	Alto Gállego	Hombres	16-19	22
Junio 2021	202106	02	Alto Gállego	Mujeres	16-19	13
Junio 2021	202106	02	Alto Gállego	Hombres	20-24	36
Junio 2021	202106	02	Alto Gállego	Mujeres	20-24	38
Junio 2021	202106	02	Alto Gállego	Hombres	25-29	37
Junio 2021	202106	02	Alto Gállego	Mujeres	25-29	24
Junio 2021	202106	02	Alto Gállego	Hombres	30-34	37
Junio 2021	202106	02	Alto Gállego	Mujeres	30-34	27
Junio 2021	202106	02	Alto Gállego	Hombres	35-39	35
Junio 2021	202106	02	Alto Gállego	Mujeres	35-39	37
Junio 2021	202106	02	Alto Gállego	Hombres	40-44	31
Junio 2021	202106	02	Alto Gállego	Mujeres	40-44	33
Junio 2021	202106	02	Alto Gállego	Hombres	45-49	25
Junio 2021	202106	02	Alto Gállego	Mujeres	45-49	20
Junio 2021	202106	02	Alto Gállego	Hombres	50-54	12
Junio 2021	202106	02	Alto Gállego	Mujeres	50-54	16
Junio 2021	202106	02	Alto Gállego	Hombres	55-59	12
Junio 2021	202106	02	Alto Gállego	Mujeres	55-59	17
Junio 2021	202106	02	Alto Gállego	Hombres	60-64	7
Junio 2021	202106	02	Alto Gállego	Mujeres	60-64	6
Junio 2021	202106	02	Alto Gállego	Mujeres	Más de 64	1
Junio 2021	202106	03	Sobrarbe	Hombres	16-19	21
Junio 2021	202106	03	Sobrarbe	Mujeres	16-19	30
Junio 2021	202106	03	Sobrarbe	Hombres	20-24	78
Junio 2021	202106	03	Sobrarbe	Mujeres	20-24	54
Junio 2021	202106	03	Sobrarbe	Hombres	25-29	35
Junio 2021	202106	03	Sobrarbe	Mujeres	25-29	62
Junio 2021	202106	03	Sobrarbe	Hombres	30-34	48
Junio 2021	202106	03	Sobrarbe	Mujeres	30-34	38
Junio 2021	202106	03	Sobrarbe	Hombres	35-39	22
Junio 2021	202106	03	Sobrarbe	Mujeres	35-39	24
Junio 2021	202106	03	Sobrarbe	Hombres	40-44	36
Junio 2021	202106	03	Sobrarbe	Mujeres	40-44	28
Junio 2021	202106	03	Sobrarbe	Hombres	45-49	31
Junio 2021	202106	03	Sobrarbe	Mujeres	45-49	32
Junio 2021	202106	03	Sobrarbe	Hombres	50-54	18
Junio 2021	202106	03	Sobrarbe	Mujeres	50-54	27
Junio 2021	202106	03	Sobrarbe	Hombres	55-59	16
Junio 2021	202106	03	Sobrarbe	Mujeres	55-59	18
Junio 2021	202106	03	Sobrarbe	Hombres	60-64	4
Junio 2021	202106	03	Sobrarbe	Mujeres	60-64	4
Junio 2021	202106	03	Sobrarbe	Hombres	Más de 64	3
Junio 2021	202106	04	La Ribagorza	Hombres	16-19	17
Junio 2021	202106	04	La Ribagorza	Mujeres	16-19	13
Junio 2021	202106	04	La Ribagorza	Hombres	20-24	36
Junio 2021	202106	04	La Ribagorza	Mujeres	20-24	43
Junio 2021	202106	04	La Ribagorza	Hombres	25-29	48
Junio 2021	202106	04	La Ribagorza	Mujeres	25-29	37
Junio 2021	202106	04	La Ribagorza	Hombres	30-34	39
Junio 2021	202106	04	La Ribagorza	Mujeres	30-34	33
Junio 2021	202106	04	La Ribagorza	Hombres	35-39	42
Junio 2021	202106	04	La Ribagorza	Mujeres	35-39	29
Junio 2021	202106	04	La Ribagorza	Hombres	40-44	39
Junio 2021	202106	04	La Ribagorza	Mujeres	40-44	39
Junio 2021	202106	04	La Ribagorza	Hombres	45-49	34
Junio 2021	202106	04	La Ribagorza	Mujeres	45-49	34
Junio 2021	202106	04	La Ribagorza	Hombres	50-54	17
Junio 2021	202106	04	La Ribagorza	Mujeres	50-54	27
Junio 2021	202106	04	La Ribagorza	Hombres	55-59	7
Junio 2021	202106	04	La Ribagorza	Mujeres	55-59	16
Junio 2021	202106	04	La Ribagorza	Hombres	60-64	8
Junio 2021	202106	04	La Ribagorza	Mujeres	60-64	9
Junio 2021	202106	04	La Ribagorza	Hombres	Más de 64	1
Junio 2021	202106	04	La Ribagorza	Mujeres	Más de 64	1
Junio 2021	202106	05	Cinco Villas	Hombres	16-19	65
Junio 2021	202106	05	Cinco Villas	Mujeres	16-19	29
Junio 2021	202106	05	Cinco Villas	Hombres	20-24	116
Junio 2021	202106	05	Cinco Villas	Mujeres	20-24	69
