Mes y año	Mes (código)	Mes nombre	Comarca código	Comarca nombre	Sección (1 letra) código	Sección (1 letra) descripción	Clasificación	Sexo	Número de contratos
Agosto 2021	202108	Agosto	01	La Jacetania	A	Agricultura, ganadería, silvicultura y pesca	CNAE - 2009	Hombres	4
Agosto 2021	202108	Agosto	01	La Jacetania	C	Industria manufacturera	CNAE - 2009	Hombres	1
Agosto 2021	202108	Agosto	01	La Jacetania	E	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación	CNAE - 2009	Hombres	2
Agosto 2021	202108	Agosto	01	La Jacetania	F	Construcción	CNAE - 2009	Hombres	9
Agosto 2021	202108	Agosto	01	La Jacetania	G	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas	CNAE - 2009	Hombres	15
Agosto 2021	202108	Agosto	01	La Jacetania	G	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas	CNAE - 2009	Mujeres	29
Agosto 2021	202108	Agosto	01	La Jacetania	H	Transporte y almacenamiento	CNAE - 2009	Hombres	3
Agosto 2021	202108	Agosto	01	La Jacetania	H	Transporte y almacenamiento	CNAE - 2009	Mujeres	12
Agosto 2021	202108	Agosto	01	La Jacetania	I	Hostelería	CNAE - 2009	Hombres	94
Agosto 2021	202108	Agosto	01	La Jacetania	I	Hostelería	CNAE - 2009	Mujeres	128
Agosto 2021	202108	Agosto	01	La Jacetania	K	Actividades financieras y de seguros	CNAE - 2009	Mujeres	1
Agosto 2021	202108	Agosto	01	La Jacetania	M	Actividades profesionales, científicas y técnicas	CNAE - 2009	Mujeres	2
Agosto 2021	202108	Agosto	01	La Jacetania	N	Actividades administrativas y servicios auxiliares	CNAE - 2009	Hombres	31
Agosto 2021	202108	Agosto	01	La Jacetania	N	Actividades administrativas y servicios auxiliares	CNAE - 2009	Mujeres	29
Agosto 2021	202108	Agosto	01	La Jacetania	O	Administración Pública y defensa; Seguridad Social obligatoria	CNAE - 2009	Hombres	12
Agosto 2021	202108	Agosto	01	La Jacetania	O	Administración Pública y defensa; Seguridad Social obligatoria	CNAE - 2009	Mujeres	23
Agosto 2021	202108	Agosto	01	La Jacetania	P	Educación	CNAE - 2009	Hombres	7
Agosto 2021	202108	Agosto	01	La Jacetania	P	Educación	CNAE - 2009	Mujeres	9
Agosto 2021	202108	Agosto	01	La Jacetania	Q	Actividades sanitarias y de servicios sociales	CNAE - 2009	Hombres	3
Agosto 2021	202108	Agosto	01	La Jacetania	Q	Actividades sanitarias y de servicios sociales	CNAE - 2009	Mujeres	5
