Año	Mes y año	Mes (código)	Mes nombre	AÑO-CNO	Comarca código	Comarca nombre	 CASE  WHEN Ocupación (1 dígito) código = '0' THEN '99' ELSE Ocupación (1 dígito) código END	Ocupación (1 dígito) descripción	Sexo	Número de contratos
2021	Octubre 2021	202110	Octubre	CNO - 2011	01	La Jacetania	1	Directores y gerentes	Hombres	1
2021	Octubre 2021	202110	Octubre	CNO - 2011	01	La Jacetania	1	Directores y gerentes	Mujeres	1
2021	Octubre 2021	202110	Octubre	CNO - 2011	01	La Jacetania	2	Técnicos y profesionales científicos e intelectuales	Hombres	5
2021	Octubre 2021	202110	Octubre	CNO - 2011	01	La Jacetania	2	Técnicos y profesionales científicos e intelectuales	Mujeres	11
2021	Octubre 2021	202110	Octubre	CNO - 2011	01	La Jacetania	3	Técnicos; profesionales de apoyo	Hombres	34
2021	Octubre 2021	202110	Octubre	CNO - 2011	01	La Jacetania	3	Técnicos; profesionales de apoyo	Mujeres	23
2021	Octubre 2021	202110	Octubre	CNO - 2011	01	La Jacetania	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	10
2021	Octubre 2021	202110	Octubre	CNO - 2011	01	La Jacetania	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	23
2021	Octubre 2021	202110	Octubre	CNO - 2011	01	La Jacetania	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	87
2021	Octubre 2021	202110	Octubre	CNO - 2011	01	La Jacetania	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	144
2021	Octubre 2021	202110	Octubre	CNO - 2011	01	La Jacetania	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	1
2021	Octubre 2021	202110	Octubre	CNO - 2011	01	La Jacetania	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	25
2021	Octubre 2021	202110	Octubre	CNO - 2011	01	La Jacetania	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	10
2021	Octubre 2021	202110	Octubre	CNO - 2011	01	La Jacetania	9	Ocupaciones elementales	Hombres	91
2021	Octubre 2021	202110	Octubre	CNO - 2011	01	La Jacetania	9	Ocupaciones elementales	Mujeres	87
2021	Octubre 2021	202110	Octubre	CNO - 2011	02	Alto Gállego	2	Técnicos y profesionales científicos e intelectuales	Hombres	3
2021	Octubre 2021	202110	Octubre	CNO - 2011	02	Alto Gállego	2	Técnicos y profesionales científicos e intelectuales	Mujeres	8
2021	Octubre 2021	202110	Octubre	CNO - 2011	02	Alto Gállego	3	Técnicos; profesionales de apoyo	Hombres	22
2021	Octubre 2021	202110	Octubre	CNO - 2011	02	Alto Gállego	3	Técnicos; profesionales de apoyo	Mujeres	16
2021	Octubre 2021	202110	Octubre	CNO - 2011	02	Alto Gállego	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	6
2021	Octubre 2021	202110	Octubre	CNO - 2011	02	Alto Gállego	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	8
2021	Octubre 2021	202110	Octubre	CNO - 2011	02	Alto Gállego	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	65
2021	Octubre 2021	202110	Octubre	CNO - 2011	02	Alto Gállego	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	97
2021	Octubre 2021	202110	Octubre	CNO - 2011	02	Alto Gállego	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	34
2021	Octubre 2021	202110	Octubre	CNO - 2011	02	Alto Gállego	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	21
2021	Octubre 2021	202110	Octubre	CNO - 2011	02	Alto Gállego	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	1
2021	Octubre 2021	202110	Octubre	CNO - 2011	02	Alto Gállego	9	Ocupaciones elementales	Hombres	47
2021	Octubre 2021	202110	Octubre	CNO - 2011	02	Alto Gállego	9	Ocupaciones elementales	Mujeres	41
2021	Octubre 2021	202110	Octubre	CNO - 2011	03	Sobrarbe	2	Técnicos y profesionales científicos e intelectuales	Hombres	12
2021	Octubre 2021	202110	Octubre	CNO - 2011	03	Sobrarbe	2	Técnicos y profesionales científicos e intelectuales	Mujeres	10
2021	Octubre 2021	202110	Octubre	CNO - 2011	03	Sobrarbe	3	Técnicos; profesionales de apoyo	Hombres	17
2021	Octubre 2021	202110	Octubre	CNO - 2011	03	Sobrarbe	3	Técnicos; profesionales de apoyo	Mujeres	3
