Mes y año	Mes (código)	Mes nombre	Año	Comarca código	Comarca nombre	Sexo	Número de contratos	Número trabajadores (CC)
Septiembre 2021	202109	Septiembre	2021	01	La Jacetania	Hombres	119	01 De 1 a 9 trabajadores
Septiembre 2021	202109	Septiembre	2021	01	La Jacetania	Mujeres	109	01 De 1 a 9 trabajadores
Septiembre 2021	202109	Septiembre	2021	01	La Jacetania	Hombres	53	02 De 10 a 19 trabajadores
Septiembre 2021	202109	Septiembre	2021	01	La Jacetania	Mujeres	23	02 De 10 a 19 trabajadores
Septiembre 2021	202109	Septiembre	2021	01	La Jacetania	Hombres	13	03 De 20 a 49 trabajadores
Septiembre 2021	202109	Septiembre	2021	01	La Jacetania	Mujeres	30	03 De 20 a 49 trabajadores
Septiembre 2021	202109	Septiembre	2021	01	La Jacetania	Hombres	25	04 De 50 a 99 trabajadores
Septiembre 2021	202109	Septiembre	2021	01	La Jacetania	Mujeres	50	04 De 50 a 99 trabajadores
Septiembre 2021	202109	Septiembre	2021	01	La Jacetania	Hombres	2	05 De 100 a 199 trabajadores
Septiembre 2021	202109	Septiembre	2021	01	La Jacetania	Mujeres	26	05 De 100 a 199 trabajadores
Septiembre 2021	202109	Septiembre	2021	01	La Jacetania	Hombres	2	06 De 200 a 499 trabajadores
Septiembre 2021	202109	Septiembre	2021	01	La Jacetania	Mujeres	2	06 De 200 a 499 trabajadores
Septiembre 2021	202109	Septiembre	2021	01	La Jacetania	Hombres	2	07 De 500 a 999 trabajadores
Septiembre 2021	202109	Septiembre	2021	01	La Jacetania	Mujeres	1	07 De 500 a 999 trabajadores
Septiembre 2021	202109	Septiembre	2021	01	La Jacetania	Hombres	2	99 No consta
Septiembre 2021	202109	Septiembre	2021	01	La Jacetania	Mujeres	2	99 No consta
Septiembre 2021	202109	Septiembre	2021	02	Alto Gállego	Hombres	97	01 De 1 a 9 trabajadores
Septiembre 2021	202109	Septiembre	2021	02	Alto Gállego	Mujeres	81	01 De 1 a 9 trabajadores
Septiembre 2021	202109	Septiembre	2021	02	Alto Gállego	Hombres	17	02 De 10 a 19 trabajadores
Septiembre 2021	202109	Septiembre	2021	02	Alto Gállego	Mujeres	23	02 De 10 a 19 trabajadores
Septiembre 2021	202109	Septiembre	2021	02	Alto Gállego	Hombres	16	03 De 20 a 49 trabajadores
Septiembre 2021	202109	Septiembre	2021	02	Alto Gállego	Mujeres	19	03 De 20 a 49 trabajadores
Septiembre 2021	202109	Septiembre	2021	02	Alto Gállego	Hombres	2	04 De 50 a 99 trabajadores
Septiembre 2021	202109	Septiembre	2021	02	Alto Gállego	Mujeres	4	04 De 50 a 99 trabajadores
Septiembre 2021	202109	Septiembre	2021	02	Alto Gállego	Hombres	11	05 De 100 a 199 trabajadores
Septiembre 2021	202109	Septiembre	2021	02	Alto Gállego	Mujeres	13	05 De 100 a 199 trabajadores
Septiembre 2021	202109	Septiembre	2021	02	Alto Gállego	Hombres	6	06 De 200 a 499 trabajadores
