Año	Mes (código)	Mes nombre	Mes y año	Sexo	Comarca código	Comarca nombre	Temporalidad	Modalidad	Grupo de tipo de contrato	Número de contratos
2021	202110	Octubre	Octubre 2021	Hombres	01	La Jacetania	Indefinido	Indefinido	Indef. Fomento	22
2021	202110	Octubre	Octubre 2021	Hombres	01	La Jacetania	Indefinido	Indefinido	Indef. Ordinario	7
2021	202110	Octubre	Octubre 2021	Mujeres	01	La Jacetania	Indefinido	Indefinido	Indef. Fomento	16
2021	202110	Octubre	Octubre 2021	Mujeres	01	La Jacetania	Indefinido	Indefinido	Indef. Ordinario	11
2021	202110	Octubre	Octubre 2021	Hombres	01	La Jacetania	Indefinido	Discapacitados	Minusválidos	1
2021	202110	Octubre	Octubre 2021	Hombres	01	La Jacetania	Temporal	Obra o servicio	Obra o servicio	85
2021	202110	Octubre	Octubre 2021	Mujeres	01	La Jacetania	Temporal	Obra o servicio	Obra o servicio	81
2021	202110	Octubre	Octubre 2021	Hombres	01	La Jacetania	Temporal	Eventual por circunstancias de la producción	Eventual producción	98
2021	202110	Octubre	Octubre 2021	Mujeres	01	La Jacetania	Temporal	Eventual por circunstancias de la producción	Eventual producción	130
2021	202110	Octubre	Octubre 2021	Hombres	01	La Jacetania	Temporal	Interinidad	Interinidad	8
2021	202110	Octubre	Octubre 2021	Mujeres	01	La Jacetania	Temporal	Interinidad	Interinidad	33
2021	202110	Octubre	Octubre 2021	Hombres	01	La Jacetania	Temporal	Ligados a la jubilación	Jubilación parcial	2
2021	202110	Octubre	Octubre 2021	Hombres	01	La Jacetania	Temporal	Ligados a la jubilación	Relevo	1
2021	202110	Octubre	Octubre 2021	Hombres	01	La Jacetania	Temporal	Ligados a la formación	Formación	39
2021	202110	Octubre	Octubre 2021	Hombres	01	La Jacetania	Temporal	Ligados a la formación	Prácticas	1
2021	202110	Octubre	Octubre 2021	Mujeres	01	La Jacetania	Temporal	Ligados a la formación	Formación	15
2021	202110	Octubre	Octubre 2021	Mujeres	01	La Jacetania	Temporal	Ligados a la formación	Prácticas	3
2021	202110	Octubre	Octubre 2021	Hombres	02	Alto Gállego	Indefinido	Indefinido	Indef. Fomento	21
2021	202110	Octubre	Octubre 2021	Hombres	02	Alto Gállego	Indefinido	Indefinido	Indef. Ordinario	14
2021	202110	Octubre	Octubre 2021	Mujeres	02	Alto Gállego	Indefinido	Indefinido	Indef. Fomento	7
2021	202110	Octubre	Octubre 2021	Mujeres	02	Alto Gállego	Indefinido	Indefinido	Indef. Ordinario	6
2021	202110	Octubre	Octubre 2021	Hombres	02	Alto Gállego	Temporal	Obra o servicio	Obra o servicio	51
2021	202110	Octubre	Octubre 2021	Mujeres	02	Alto Gállego	Temporal	Obra o servicio	Obra o servicio	42
2021	202110	Octubre	Octubre 2021	Hombres	02	Alto Gállego	Temporal	Eventual por circunstancias de la producción	Eventual producción	100
2021	202110	Octubre	Octubre 2021	Mujeres	02	Alto Gállego	Temporal	Eventual por circunstancias de la producción	Eventual producción	103
2021	202110	Octubre	Octubre 2021	Hombres	02	Alto Gállego	Temporal	Interinidad	Interinidad	2
2021	202110	Octubre	Octubre 2021	Mujeres	02	Alto Gállego	Temporal	Interinidad	Interinidad	7
2021	202110	Octubre	Octubre 2021	Hombres	02	Alto Gállego	Temporal	Ligados a la jubilación	Jubilación parcial	4
2021	202110	Octubre	Octubre 2021	Mujeres	02	Alto Gállego	Temporal	Ligados a la jubilación	Jubilación parcial	1
2021	202110	Octubre	Octubre 2021	Mujeres	02	Alto Gállego	Temporal	Ligados a la jubilación	Relevo	1
2021	202110	Octubre	Octubre 2021	Hombres	02	Alto Gállego	Temporal	Ligados a la formación	Formación	6
2021	202110	Octubre	Octubre 2021	Mujeres	02	Alto Gállego	Temporal	Ligados a la formación	Formación	4
2021	202110	Octubre	Octubre 2021	Hombres	03	Sobrarbe	Indefinido	Indefinido	Indef. Fomento	8
