Mes y año	Mes (código)	Mes nombre	Año	Comarca código	Comarca nombre	Sexo	Temporalidad	Modalidad	orden_modalidad	Grupo de tipo de contrato	Grupo de tipo de contrato	Días duración contrato	Número de contratos	Duración contrato	Duración contrato * 1.00 / Número de contratos
Septiembre 2021	202109	Septiembre	2021	01	La Jacetania	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	76	0	0
Septiembre 2021	202109	Septiembre	2021	01	La Jacetania	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	12	2301	191,75
Septiembre 2021	202109	Septiembre	2021	01	La Jacetania	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	73	0	0
Septiembre 2021	202109	Septiembre	2021	01	La Jacetania	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	11	1398	127,090909090909090909090909090909090909
Septiembre 2021	202109	Septiembre	2021	01	La Jacetania	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	89	4403	49,47191011235955056179775280898876404494
Septiembre 2021	202109	Septiembre	2021	01	La Jacetania	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	0	1	0	0
Septiembre 2021	202109	Septiembre	2021	01	La Jacetania	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	79	2582	32,68354430379746835443037974683544303797
Septiembre 2021	202109	Septiembre	2021	01	La Jacetania	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	0	10	0	0
Septiembre 2021	202109	Septiembre	2021	01	La Jacetania	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	1	2	108	54
Septiembre 2021	202109	Septiembre	2021	01	La Jacetania	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	0	20	0	0
Septiembre 2021	202109	Septiembre	2021	01	La Jacetania	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	1	21	969	46,14285714285714285714285714285714285714
Septiembre 2021	202109	Septiembre	2021	01	La Jacetania	Mujeres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	2	1935	967,5
Septiembre 2021	202109	Septiembre	2021	01	La Jacetania	Mujeres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	1	928	928
Septiembre 2021	202109	Septiembre	2021	01	La Jacetania	Hombres	Temporal	Ligados a la formación	7	Formación	Formación	1	6	2160	360
Septiembre 2021	202109	Septiembre	2021	01	La Jacetania	Hombres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	1	180	180
Septiembre 2021	202109	Septiembre	2021	01	La Jacetania	Mujeres	Temporal	Ligados a la formación	7	Formación	Formación	1	4	1440	360
Septiembre 2021	202109	Septiembre	2021	01	La Jacetania	Mujeres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	2	360	180
Septiembre 2021	202109	Septiembre	2021	02	Alto Gállego	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	44	0	0
Septiembre 2021	202109	Septiembre	2021	02	Alto Gállego	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	9	2575	286,111111111111111111111111111111111111
Septiembre 2021	202109	Septiembre	2021	02	Alto Gállego	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	35	0	0
Septiembre 2021	202109	Septiembre	2021	02	Alto Gállego	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	5	538	107,6
Septiembre 2021	202109	Septiembre	2021	02	Alto Gállego	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	0	1	0	0
