Mes y año	Mes (código)	Año	Mes nombre	Comarca código	Comarca nombre	Sexo	Temporalidad	Días duración contrato	Sector código	Sector descripción	Número de contratos	Duración contrato	Duración contrato * 1.00 / Número de contratos
Julio 2021	202107	2021	Julio	01	La Jacetania	Hombres	Temporal	0	1	Agricultura, ganadería y pesca	3	0	0
Julio 2021	202107	2021	Julio	01	La Jacetania	Hombres	Temporal	1	1	Agricultura, ganadería y pesca	2	293	146,5
Julio 2021	202107	2021	Julio	01	La Jacetania	Hombres	Temporal	0	2	Industria y energía	5	0	0
Julio 2021	202107	2021	Julio	01	La Jacetania	Hombres	Temporal	1	2	Industria y energía	6	290	48,33333333333333333333333333333333333333
Julio 2021	202107	2021	Julio	01	La Jacetania	Mujeres	Temporal	0	2	Industria y energía	1	0	0
Julio 2021	202107	2021	Julio	01	La Jacetania	Mujeres	Temporal	1	2	Industria y energía	6	385	64,16666666666666666666666666666666666667
Julio 2021	202107	2021	Julio	01	La Jacetania	Hombres	Temporal	0	3	Construcción	21	0	0
Julio 2021	202107	2021	Julio	01	La Jacetania	Hombres	Temporal	1	3	Construcción	4	298	74,5
Julio 2021	202107	2021	Julio	01	La Jacetania	Hombres	Temporal	0	4	Servicios	143	0	0
Julio 2021	202107	2021	Julio	01	La Jacetania	Hombres	Temporal	1	4	Servicios	186	11397	61,27419354838709677419354838709677419355
Julio 2021	202107	2021	Julio	01	La Jacetania	Mujeres	Temporal	0	4	Servicios	171	0	0
Julio 2021	202107	2021	Julio	01	La Jacetania	Mujeres	Temporal	1	4	Servicios	249	12237	49,14457831325301204819277108433734939759
Julio 2021	202107	2021	Julio	02	Alto Gállego	Hombres	Temporal	0	2	Industria y energía	11	0	0
Julio 2021	202107	2021	Julio	02	Alto Gállego	Hombres	Temporal	1	2	Industria y energía	8	658	82,25
Julio 2021	202107	2021	Julio	02	Alto Gállego	Mujeres	Temporal	0	2	Industria y energía	2	0	0
Julio 2021	202107	2021	Julio	02	Alto Gállego	Mujeres	Temporal	1	2	Industria y energía	5	174	34,8
Julio 2021	202107	2021	Julio	02	Alto Gállego	Hombres	Temporal	0	3	Construcción	16	0	0
Julio 2021	202107	2021	Julio	02	Alto Gállego	Hombres	Temporal	1	3	Construcción	12	1012	84,33333333333333333333333333333333333333
Julio 2021	202107	2021	Julio	02	Alto Gállego	Hombres	Temporal	0	4	Servicios	129	0	0
Julio 2021	202107	2021	Julio	02	Alto Gállego	Hombres	Temporal	1	4	Servicios	161	7100	44,09937888198757763975155279503105590062
Julio 2021	202107	2021	Julio	02	Alto Gállego	Mujeres	Temporal	0	4	Servicios	133	0	0
Julio 2021	202107	2021	Julio	02	Alto Gállego	Mujeres	Temporal	1	4	Servicios	171	8456	49,45029239766081871345029239766081871345
Julio 2021	202107	2021	Julio	03	Sobrarbe	Hombres	Temporal	0	1	Agricultura, ganadería y pesca	3	0	0
Julio 2021	202107	2021	Julio	03	Sobrarbe	Hombres	Temporal	1	1	Agricultura, ganadería y pesca	8	981	122,625
Julio 2021	202107	2021	Julio	03	Sobrarbe	Mujeres	Temporal	1	1	Agricultura, ganadería y pesca	1	180	180
