Año	Sexo	Comarca Código	Comarca Nombre	Nº Accidentes	Grupo Grado Código	Grupo Grado Código
2019,0	Hombres	01	La Jacetania	129	Leves	1
2019,0	Hombres	02	Alto Gállego	136	Leves	1
2019,0	Hombres	03	Sobrarbe	40	Leves	1
2019,0	Hombres	04	La Ribagorza	122	Leves	1
2019,0	Hombres	05	Cinco Villas	415	Leves	1
2019,0	Hombres	06	Hoya de Huesca / Plana de Uesca	788	Leves	1
2019,0	Hombres	07	Somontano de Barbastro	197	Leves	1
2019,0	Hombres	08	Cinca Medio	388	Leves	1
2019,0	Hombres	09	La Litera / La Llitera	370	Leves	1
2019,0	Hombres	10	Los Monegros	181	Leves	1
2019,0	Hombres	11	Bajo Cinca / Baix Cinca	373	Leves	1
2019,0	Hombres	12	Tarazona y el Moncayo	127	Leves	1
2019,0	Hombres	13	Campo de Borja	136	Leves	1
2019,0	Hombres	14	Aranda	27	Leves	1
2019,0	Hombres	15	Ribera Alta del Ebro	618	Leves	1
2019,0	Hombres	16	Valdejalón	528	Leves	1
2019,0	Hombres	17	D.C. Zaragoza	6225	Leves	1
2019,0	Hombres	18	Ribera Baja del Ebro	108	Leves	1
2019,0	Hombres	19	Bajo Aragón-Caspe / Baix Aragó-Casp	145	Leves	1
2019,0	Hombres	20	Comunidad de Calatayud	235	Leves	1
2019,0	Hombres	21	Campo de Cariñena	125	Leves	1
2019,0	Hombres	22	Campo de Belchite	18	Leves	1
2019,0	Hombres	23	Bajo Martín	96	Leves	1
2019,0	Hombres	24	Campo de Daroca	41	Leves	1
2019,0	Hombres	25	Jiloca	92	Leves	1
2019,0	Hombres	26	Cuencas Mineras	71	Leves	1
2019,0	Hombres	27	Andorra-Sierra de Arcos	48	Leves	1
2019,0	Hombres	28	Bajo Aragón	206	Leves	1
2019,0	Hombres	29	Comunidad de Teruel	479	Leves	1
2019,0	Hombres	30	Maestrazgo	13	Leves	1
2019,0	Hombres	31	Sierra de Albarracín	16	Leves	1
2019,0	Hombres	32	Gúdar-Javalambre	81	Leves	1
2019,0	Hombres	33	Matarraña / Matarranya	60	Leves	1
2019,0	Hombres	NC	Municipio del centro de trabajo fuera de Aragón	169	Leves	1
2019,0	Mujeres	01	La Jacetania	82	Leves	1
2019,0	Mujeres	02	Alto Gállego	63	Leves	1
2019,0	Mujeres	03	Sobrarbe	26	Leves	1
2019,0	Mujeres	04	La Ribagorza	46	Leves	1
2019,0	Mujeres	05	Cinco Villas	114	Leves	1
2019,0	Mujeres	06	Hoya de Huesca / Plana de Uesca	300	Leves	1
2019,0	Mujeres	07	Somontano de Barbastro	80	Leves	1
2019,0	Mujeres	08	Cinca Medio	82	Leves	1
2019,0	Mujeres	09	La Litera / La Llitera	88	Leves	1
2019,0	Mujeres	10	Los Monegros	56	Leves	1
2019,0	Mujeres	11	Bajo Cinca / Baix Cinca	126	Leves	1
2019,0	Mujeres	12	Tarazona y el Moncayo	46	Leves	1
