Año	Nº Accidentes	Temporalidad	Ord_Temporalidad	Sector Código	Sector Descripción	CCAA
2003,0	392	Indefinido	1	1	Agricultura, ganadería y pesca	Aragón
2003,0	4465	Indefinido	1	2	Industria y energía	Aragón
2003,0	988	Indefinido	1	3	Construcción	Aragón
2003,0	4488	Indefinido	1	4	Servicios	Aragón
2004,0	366	Indefinido	1	1	Agricultura, ganadería y pesca	Aragón
2004,0	4533	Indefinido	1	2	Industria y energía	Aragón
2004,0	1079	Indefinido	1	3	Construcción	Aragón
2004,0	4555	Indefinido	1	4	Servicios	Aragón
2005,0	372	Indefinido	1	1	Agricultura, ganadería y pesca	Aragón
2005,0	4512	Indefinido	1	2	Industria y energía	Aragón
2005,0	1253	Indefinido	1	3	Construcción	Aragón
2005,0	4952	Indefinido	1	4	Servicios	Aragón
2006,0	349	Indefinido	1	1	Agricultura, ganadería y pesca	Aragón
2006,0	4853	Indefinido	1	2	Industria y energía	Aragón
2006,0	1423	Indefinido	1	3	Construcción	Aragón
2006,0	5011	Indefinido	1	4	Servicios	Aragón
2007,0	323	Indefinido	1	1	Agricultura, ganadería y pesca	Aragón
2007,0	5135	Indefinido	1	2	Industria y energía	Aragón
2007,0	1643	Indefinido	1	3	Construcción	Aragón
2007,0	5648	Indefinido	1	4	Servicios	Aragón
2008,0	273	Indefinido	1	1	Agricultura, ganadería y pesca	Aragón
2008,0	4863	Indefinido	1	2	Industria y energía	Aragón
2008,0	1721	Indefinido	1	3	Construcción	Aragón
2008,0	5780	Indefinido	1	4	Servicios	Aragón
2009,0	284	Indefinido	1	1	Agricultura, ganadería y pesca	Aragón
2009,0	3618	Indefinido	1	2	Industria y energía	Aragón
2009,0	1273	Indefinido	1	3	Construcción	Aragón
2009,0	5025	Indefinido	1	4	Servicios	Aragón
2010,0	255	Indefinido	1	1	Agricultura, ganadería y pesca	Aragón
2010,0	3492	Indefinido	1	2	Industria y energía	Aragón
2010,0	1146	Indefinido	1	3	Construcción	Aragón
2010,0	4939	Indefinido	1	4	Servicios	Aragón
2011,0	251	Indefinido	1	1	Agricultura, ganadería y pesca	Aragón
2011,0	3049	Indefinido	1	2	Industria y energía	Aragón
2011,0	987	Indefinido	1	3	Construcción	Aragón
2011,0	4592	Indefinido	1	4	Servicios	Aragón
2012,0	262	Indefinido	1	1	Agricultura, ganadería y pesca	Aragón
2012,0	2435	Indefinido	1	2	Industria y energía	Aragón
2012,0	708	Indefinido	1	3	Construcción	Aragón
2012,0	3983	Indefinido	1	4	Servicios	Aragón
2013,0	313	Indefinido	1	1	Agricultura, ganadería y pesca	Aragón
2013,0	2267	Indefinido	1	2	Industria y energía	Aragón
2013,0	606	Indefinido	1	3	Construcción	Aragón
2013,0	4291	Indefinido	1	4	Servicios	Aragón
2014,0	296	Indefinido	1	1	Agricultura, ganadería y pesca	Aragón
2014,0	2302	Indefinido	1	2	Industria y energía	Aragón
2014,0	528	Indefinido	1	3	Construcción	Aragón
2014,0	4147	Indefinido	1	4	Servicios	Aragón
2015,0	399	Indefinido	1	1	Agricultura, ganadería y pesca	Aragón
2015,0	2392	Indefinido	1	2	Industria y energía	Aragón
2015,0	548	Indefinido	1	3	Construcción	Aragón
2015,0	4507	Indefinido	1	4	Servicios	Aragón
2019,0	612	Indefinido	1	1	Agricultura, ganadería y pesca	Aragón
2019,0	3215	Indefinido	1	2	Industria y energía	Aragón
2019,0	775	Indefinido	1	3	Construcción	Aragón
2019,0	4700	Indefinido	1	4	Servicios	Aragón
2003,0	303	Temporal	2	1	Agricultura, ganadería y pesca	Aragón
2003,0	3012	Temporal	2	2	Industria y energía	Aragón
2003,0	3685	Temporal	2	3	Construcción	Aragón
2003,0	3401	Temporal	2	4	Servicios	Aragón
2004,0	274	Temporal	2	1	Agricultura, ganadería y pesca	Aragón
2004,0	3041	Temporal	2	2	Industria y energía	Aragón
2004,0	3482	Temporal	2	3	Construcción	Aragón
2004,0	3467	Temporal	2	4	Servicios	Aragón
2005,0	399	Temporal	2	1	Agricultura, ganadería y pesca	Aragón
2005,0	2943	Temporal	2	2	Industria y energía	Aragón
2005,0	3823	Temporal	2	3	Construcción	Aragón
