Año	Nº Accidentes	Código	Municipio	Ord_Temporalidad	Temporalidad	Sector Código	Sector Descripción
2019,0	5	22048	Barbastro	1	Indefinido	1	Agricultura, ganadería y pesca
2019,0	3	22048	Barbastro	2	Temporal	1	Agricultura, ganadería y pesca
2019,0	1	22048	Barbastro	3	Sin clasificar	1	Agricultura, ganadería y pesca
2019,0	26	22048	Barbastro	1	Indefinido	2	Industria y energía
2019,0	28	22048	Barbastro	2	Temporal	2	Industria y energía
2019,0	1	22048	Barbastro	3	Sin clasificar	2	Industria y energía
2019,0	9	22048	Barbastro	1	Indefinido	3	Construcción
2019,0	10	22048	Barbastro	2	Temporal	3	Construcción
2019,0	2	22048	Barbastro	3	Sin clasificar	3	Construcción
2019,0	48	22048	Barbastro	1	Indefinido	4	Servicios
2019,0	46	22048	Barbastro	2	Temporal	4	Servicios
2019,0	7	22048	Barbastro	3	Sin clasificar	4	Servicios
2019,0	6	22061	Binéfar	1	Indefinido	1	Agricultura, ganadería y pesca
2019,0	2	22061	Binéfar	2	Temporal	1	Agricultura, ganadería y pesca
2019,0	2	22061	Binéfar	3	Sin clasificar	1	Agricultura, ganadería y pesca
2019,0	63	22061	Binéfar	1	Indefinido	2	Industria y energía
2019,0	126	22061	Binéfar	2	Temporal	2	Industria y energía
2019,0	24	22061	Binéfar	1	Indefinido	3	Construcción
2019,0	13	22061	Binéfar	2	Temporal	3	Construcción
2019,0	4	22061	Binéfar	3	Sin clasificar	3	Construcción
2019,0	38	22061	Binéfar	1	Indefinido	4	Servicios
2019,0	16	22061	Binéfar	2	Temporal	4	Servicios
2019,0	2	22061	Binéfar	3	Sin clasificar	4	Servicios
2019,0	26	22112	Fraga	1	Indefinido	1	Agricultura, ganadería y pesca
2019,0	47	22112	Fraga	2	Temporal	1	Agricultura, ganadería y pesca
2019,0	3	22112	Fraga	3	Sin clasificar	1	Agricultura, ganadería y pesca
2019,0	64	22112	Fraga	1	Indefinido	2	Industria y energía
2019,0	28	22112	Fraga	2	Temporal	2	Industria y energía
2019,0	1	22112	Fraga	3	Sin clasificar	2	Industria y energía
2019,0	16	22112	Fraga	1	Indefinido	3	Construcción
2019,0	13	22112	Fraga	2	Temporal	3	Construcción
2019,0	5	22112	Fraga	3	Sin clasificar	3	Construcción
2019,0	52	22112	Fraga	1	Indefinido	4	Servicios
2019,0	32	22112	Fraga	2	Temporal	4	Servicios
2019,0	9	22112	Fraga	3	Sin clasificar	4	Servicios
2019,0	56	22125	Huesca	1	Indefinido	1	Agricultura, ganadería y pesca
2019,0	18	22125	Huesca	2	Temporal	1	Agricultura, ganadería y pesca
2019,0	6	22125	Huesca	3	Sin clasificar	1	Agricultura, ganadería y pesca
2019,0	64	22125	Huesca	1	Indefinido	2	Industria y energía
2019,0	40	22125	Huesca	2	Temporal	2	Industria y energía
2019,0	6	22125	Huesca	3	Sin clasificar	2	Industria y energía
2019,0	70	22125	Huesca	1	Indefinido	3	Construcción
2019,0	74	22125	Huesca	2	Temporal	3	Construcción
2019,0	9	22125	Huesca	3	Sin clasificar	3	Construcción
2019,0	244	22125	Huesca	1	Indefinido	4	Servicios
2019,0	184	22125	Huesca	2	Temporal	4	Servicios
2019,0	14	22125	Huesca	3	Sin clasificar	4	Servicios
2019,0	4	22130	Jaca	3	Sin clasificar	1	Agricultura, ganadería y pesca
2019,0	2	22130	Jaca	1	Indefinido	2	Industria y energía
2019,0	1	22130	Jaca	2	Temporal	2	Industria y energía
2019,0	8	22130	Jaca	1	Indefinido	3	Construcción
2019,0	11	22130	Jaca	2	Temporal	3	Construcción
2019,0	3	22130	Jaca	3	Sin clasificar	3	Construcción
2019,0	68	22130	Jaca	1	Indefinido	4	Servicios
2019,0	33	22130	Jaca	2	Temporal	4	Servicios
2019,0	11	22130	Jaca	3	Sin clasificar	4	Servicios
2019,0	6	22158	Monzón	1	Indefinido	1	Agricultura, ganadería y pesca
2019,0	4	22158	Monzón	2	Temporal	1	Agricultura, ganadería y pesca
2019,0	2	22158	Monzón	3	Sin clasificar	1	Agricultura, ganadería y pesca
2019,0	94	22158	Monzón	1	Indefinido	2	Industria y energía
