Año	División (2 dígitos) Descripción	Nº Accidentes	División (2 dígitos) Código	CCAA
2019,0	Actividades de construcción especializada	1165	43	Aragón
2019,0	Agricultura, ganadería, caza y servicios relacionados con las mismas	1033	01	Aragón
2019,0	Transporte terrestre y por tubería	895	49	Aragón
2019,0	Fabricación de productos metálicos, excepto maquinaria y equipo	794	25	Aragón
2019,0	Industria de la alimentación	741	10	Aragón
2019,0	Construcción de edificios	699	41	Aragón
2019,0	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	651	46	Aragón
2019,0	Fabricación de vehículos de motor, remolques y semirremolques	546	29	Aragón
2019,0	Administración Pública y defensa; Seguridad Social obligatoria	401	84	Aragón
2019,0	Comercio al por menor, excepto de vehículos de motor y motocicletas	399	47	Aragón
2015,0	Agricultura, ganadería, caza y servicios relacionados con las mismas	768	01	Aragón
2015,0	Transporte terrestre y por tubería	725	49	Aragón
2015,0	Actividades de construcción especializada	652	43	Aragón
2015,0	Fabricación de productos metálicos, excepto maquinaria y equipo	572	25	Aragón
2015,0	Administración Pública y defensa; Seguridad Social obligatoria	502	84	Aragón
2015,0	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	484	46	Aragón
2015,0	Construcción de edificios	422	41	Aragón
2015,0	Fabricación de vehículos de motor, remolques y semirremolques	365	29	Aragón
2015,0	Industria de la alimentación	349	10	Aragón
2015,0	Comercio al por menor, excepto de vehículos de motor y motocicletas	342	47	Aragón
2014,0	Agricultura, ganadería, caza y servicios relacionados con las mismas	654	01	Aragón
2014,0	Transporte terrestre y por tubería	615	49	Aragón
2014,0	Actividades de construcción especializada	582	43	Aragón
2014,0	Administración Pública y defensa; Seguridad Social obligatoria	528	84	Aragón
2014,0	Fabricación de productos metálicos, excepto maquinaria y equipo	491	25	Aragón
2014,0	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	414	46	Aragón
2014,0	Construcción de edificios	405	41	Aragón
2014,0	Industria de la alimentación	338	10	Aragón
2014,0	Comercio al por menor, excepto de vehículos de motor y motocicletas	315	47	Aragón
2014,0	Fabricación de vehículos de motor, remolques y semirremolques	305	29	Aragón
2013,0	Actividades de construcción especializada	662	43	Aragón
2013,0	Agricultura, ganadería, caza y servicios relacionados con las mismas	622	01	Aragón
2013,0	Administración Pública y defensa; Seguridad Social obligatoria	612	84	Aragón
2013,0	Transporte terrestre y por tubería	542	49	Aragón
2013,0	Fabricación de productos metálicos, excepto maquinaria y equipo	496	25	Aragón
2013,0	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	419	46	Aragón
2013,0	Construcción de edificios	375	41	Aragón
2013,0	Industria de la alimentación	322	10	Aragón
2013,0	Fabricación de maquinaria y equipo n.c.o.p.	275	28	Aragón
2013,0	Fabricación de vehículos de motor, remolques y semirremolques	261	29	Aragón
2012,0	Actividades de construcción especializada	768	43	Aragón
2012,0	Transporte terrestre y por tubería	637	49	Aragón
2012,0	Construcción de edificios	585	41	Aragón
2012,0	Agricultura, ganadería, caza y servicios relacionados con las mismas	576	01	Aragón
2012,0	Fabricación de productos metálicos, excepto maquinaria y equipo	555	25	Aragón
2012,0	Administración Pública y defensa; Seguridad Social obligatoria	470	84	Aragón
2012,0	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	444	46	Aragón
2012,0	Fabricación de maquinaria y equipo n.c.o.p.	309	28	Aragón
2012,0	Industria de la alimentación	297	10	Aragón
2012,0	Comercio al por menor, excepto de vehículos de motor y motocicletas	295	47	Aragón
