Año	Nº Accidentes	División (2 dígitos) Código	División (2 dígitos) Descripción	Comarca Código	Comarca Nombre
2008,0	2661	45	Construcción	17	D.C. Zaragoza
2008,0	731	28	Fabricación de productos metálicos, excepto maquinaria y equipo	17	D.C. Zaragoza
2008,0	633	29	Industria de la construción de maquinaria y equipo mecánico	17	D.C. Zaragoza
2008,0	621	60	Transporte terrestre; transporte por tuberías	17	D.C. Zaragoza
2008,0	471	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	17	D.C. Zaragoza
2008,0	319	34	Fabricación de vehículos de motor, remolques y semirremolques	15	Ribera Alta del Ebro
2008,0	309	45	Construcción	06	Hoya de Huesca / Plana de Uesca
2008,0	176	10	Extracción y aglomeración de antracita, hulla, lignito y turba	27	Andorra-Sierra de Arcos
2008,0	173	45	Construcción	05	Cinco Villas
2008,0	144	45	Construcción	15	Ribera Alta del Ebro
2008,0	137	45	Construcción	20	Comunidad de Calatayud
2008,0	135	45	Construcción	NC	Municipio del centro de trabajo fuera de Aragón
2008,0	130	45	Construcción	29	Comunidad de Teruel
2008,0	125	45	Construcción	08	Cinca Medio
2008,0	115	45	Construcción	28	Bajo Aragón
2008,0	112	34	Fabricación de vehículos de motor, remolques y semirremolques	26	Cuencas Mineras
2008,0	104	45	Construcción	07	Somontano de Barbastro
2008,0	99	45	Construcción	01	La Jacetania
2008,0	94	45	Construcción	09	La Litera / La Llitera
2008,0	94	45	Construcción	16	Valdejalón
2008,0	92	45	Construcción	11	Bajo Cinca / Baix Cinca
2008,0	84	45	Construcción	02	Alto Gállego
2008,0	82	28	Fabricación de productos metálicos, excepto maquinaria y equipo	16	Valdejalón
2008,0	80	45	Construcción	10	Los Monegros
2008,0	68	45	Construcción	12	Tarazona y el Moncayo
2008,0	67	45	Construcción	13	Campo de Borja
2008,0	66	28	Fabricación de productos metálicos, excepto maquinaria y equipo	15	Ribera Alta del Ebro
2008,0	63	45	Construcción	04	La Ribagorza
2008,0	63	28	Fabricación de productos metálicos, excepto maquinaria y equipo	06	Hoya de Huesca / Plana de Uesca
2008,0	62	29	Industria de la construción de maquinaria y equipo mecánico	16	Valdejalón
2008,0	61	45	Construcción	27	Andorra-Sierra de Arcos
2008,0	59	15	Industria de productos alimenticios y bebidas	09	La Litera / La Llitera
2008,0	58	60	Transporte terrestre; transporte por tuberías	15	Ribera Alta del Ebro
2008,0	57	63	Actividades anexas a los transportes; actividades de agencias de viajes	15	Ribera Alta del Ebro
2008,0	54	34	Fabricación de vehículos de motor, remolques y semirremolques	16	Valdejalón
2008,0	51	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	05	Cinco Villas
2008,0	49	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	11	Bajo Cinca / Baix Cinca
2008,0	49	26	Fabricación de otros productos minerales no metálicos	28	Bajo Aragón
2008,0	48	26	Fabricación de otros productos minerales no metálicos	05	Cinco Villas
2008,0	46	45	Construcción	03	Sobrarbe
2008,0	46	29	Industria de la construción de maquinaria y equipo mecánico	08	Cinca Medio
2008,0	46	45	Construcción	25	Jiloca
2008,0	46	34	Fabricación de vehículos de motor, remolques y semirremolques	29	Comunidad de Teruel
2008,0	44	29	Industria de la construción de maquinaria y equipo mecánico	06	Hoya de Huesca / Plana de Uesca
2008,0	43	75	Administración pública, defensa y seguridad social obligatoria	06	Hoya de Huesca / Plana de Uesca
2008,0	38	15	Industria de productos alimenticios y bebidas	25	Jiloca
2008,0	37	26	Fabricación de otros productos minerales no metálicos	23	Bajo Martín
2008,0	36	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	29	Comunidad de Teruel
2008,0	35	26	Fabricación de otros productos minerales no metálicos	06	Hoya de Huesca / Plana de Uesca
2008,0	35	28	Fabricación de productos metálicos, excepto maquinaria y equipo	08	Cinca Medio
2008,0	35	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	16	Valdejalón
2008,0	35	45	Construcción	18	Ribera Baja del Ebro
2008,0	35	45	Construcción	19	Bajo Aragón-Caspe / Baix Aragó-Casp
