Año	Nº Accidentes	Grupo	Descripción Ocupación	Sexo	CCAA
2019,0	115	1	Directores y gerentes	Hombres	Aragón
2019,0	47	1	Directores y gerentes	Mujeres	Aragón
2015,0	32	1	Directores y gerentes	Hombres	Aragón
2015,0	7	1	Directores y gerentes	Mujeres	Aragón
2014,0	38	1	Directores y gerentes	Hombres	Aragón
2014,0	7	1	Directores y gerentes	Mujeres	Aragón
2013,0	30	1	Directores y gerentes	Hombres	Aragón
2013,0	14	1	Directores y gerentes	Mujeres	Aragón
2012,0	37	1	Directores y gerentes	Hombres	Aragón
2012,0	14	1	Directores y gerentes	Mujeres	Aragón
2011,0	52	1	Directores y gerentes	Hombres	Aragón
2011,0	9	1	Directores y gerentes	Mujeres	Aragón
2019,0	218	2	Técnicos y profesionales científicos e intelectuales	Hombres	Aragón
2019,0	295	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Aragón
2015,0	133	2	Técnicos y profesionales científicos e intelectuales	Hombres	Aragón
2015,0	253	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Aragón
2014,0	106	2	Técnicos y profesionales científicos e intelectuales	Hombres	Aragón
2014,0	228	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Aragón
2013,0	110	2	Técnicos y profesionales científicos e intelectuales	Hombres	Aragón
2013,0	239	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Aragón
2012,0	100	2	Técnicos y profesionales científicos e intelectuales	Hombres	Aragón
2012,0	191	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Aragón
2011,0	135	2	Técnicos y profesionales científicos e intelectuales	Hombres	Aragón
2011,0	213	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Aragón
2019,0	407	3	Técnicos; profesionales de apoyo	Hombres	Aragón
2019,0	129	3	Técnicos; profesionales de apoyo	Mujeres	Aragón
2015,0	286	3	Técnicos; profesionales de apoyo	Hombres	Aragón
2015,0	104	3	Técnicos; profesionales de apoyo	Mujeres	Aragón
2014,0	283	3	Técnicos; profesionales de apoyo	Hombres	Aragón
2014,0	114	3	Técnicos; profesionales de apoyo	Mujeres	Aragón
2013,0	265	3	Técnicos; profesionales de apoyo	Hombres	Aragón
2013,0	106	3	Técnicos; profesionales de apoyo	Mujeres	Aragón
2012,0	287	3	Técnicos; profesionales de apoyo	Hombres	Aragón
2012,0	74	3	Técnicos; profesionales de apoyo	Mujeres	Aragón
2011,0	320	3	Técnicos; profesionales de apoyo	Hombres	Aragón
2011,0	120	3	Técnicos; profesionales de apoyo	Mujeres	Aragón
2019,0	132	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Aragón
2019,0	205	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Aragón
2015,0	88	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Aragón
2015,0	206	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Aragón
2014,0	86	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Aragón
2014,0	180	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Aragón
2013,0	101	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Aragón
2013,0	182	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Aragón
2012,0	100	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Aragón
2012,0	207	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Aragón
2011,0	100	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Aragón
2011,0	202	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Aragón
2019,0	835	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Aragón
2019,0	1894	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Aragón
2015,0	722	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Aragón
2015,0	1611	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Aragón
2014,0	741	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Aragón
2014,0	1494	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Aragón
2013,0	743	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Aragón
2013,0	1471	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Aragón
2012,0	665	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Aragón
2012,0	1311	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Aragón
2011,0	763	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Aragón
2011,0	1650	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Aragón
2019,0	491	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Aragón
2019,0	58	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Aragón
2015,0	375	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Aragón
2015,0	38	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Aragón
2014,0	323	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Aragón
2014,0	31	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Aragón
2013,0	361	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Aragón
2013,0	31	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Aragón
2012,0	324	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Aragón
2012,0	27	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Aragón
2011,0	354	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Aragón
2011,0	35	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Aragón
2019,0	4069	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Aragón
2019,0	282	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Aragón
2015,0	2660	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Aragón
2015,0	164	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Aragón
2014,0	2521	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Aragón
2014,0	161	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Aragón
2013,0	2431	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Aragón
2013,0	155	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Aragón
2012,0	2861	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Aragón
2012,0	126	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Aragón
2011,0	3572	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Aragón
2011,0	177	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Aragón
2019,0	2507	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Aragón
2019,0	182	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Aragón
2015,0	2062	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Aragón
2015,0	160	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Aragón
2014,0	1810	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Aragón
2014,0	153	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Aragón
2013,0	1737	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Aragón
2013,0	164	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Aragón
2012,0	1952	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Aragón
2012,0	136	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Aragón
2011,0	2292	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Aragón
2011,0	191	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Aragón
2019,0	3260	9	Ocupaciones elementales	Hombres	Aragón
2019,0	1428	9	Ocupaciones elementales	Mujeres	Aragón
2015,0	2447	9	Ocupaciones elementales	Hombres	Aragón
2015,0	1136	9	Ocupaciones elementales	Mujeres	Aragón
2014,0	2010	9	Ocupaciones elementales	Hombres	Aragón
2014,0	1039	9	Ocupaciones elementales	Mujeres	Aragón
2013,0	1856	9	Ocupaciones elementales	Hombres	Aragón
2013,0	937	9	Ocupaciones elementales	Mujeres	Aragón
2012,0	1911	9	Ocupaciones elementales	Hombres	Aragón
2012,0	840	9	Ocupaciones elementales	Mujeres	Aragón
2011,0	2423	9	Ocupaciones elementales	Hombres	Aragón
2011,0	1125	9	Ocupaciones elementales	Mujeres	Aragón
2013,0	1	NC	No consta	Hombres	Aragón
2013,0	1	NC	No consta	Mujeres	Aragón
