Año	Nº Accidentes	Grupo	Descripción Ocupación	Sexo	Comarca Código	Comarca Nombre
2019,0	2	1	Directores y gerentes	Hombres	01	La Jacetania
2019,0	1	1	Directores y gerentes	Mujeres	01	La Jacetania
2019,0	1	1	Directores y gerentes	Hombres	02	Alto Gállego
2019,0	4	1	Directores y gerentes	Hombres	04	La Ribagorza
2019,0	1	1	Directores y gerentes	Hombres	05	Cinco Villas
2019,0	1	1	Directores y gerentes	Hombres	06	Hoya de Huesca / Plana de Uesca
2019,0	3	1	Directores y gerentes	Mujeres	06	Hoya de Huesca / Plana de Uesca
2019,0	1	1	Directores y gerentes	Hombres	07	Somontano de Barbastro
2019,0	1	1	Directores y gerentes	Hombres	08	Cinca Medio
2019,0	4	1	Directores y gerentes	Hombres	09	La Litera / La Llitera
2019,0	7	1	Directores y gerentes	Hombres	11	Bajo Cinca / Baix Cinca
2019,0	1	1	Directores y gerentes	Mujeres	11	Bajo Cinca / Baix Cinca
2019,0	2	1	Directores y gerentes	Hombres	12	Tarazona y el Moncayo
2019,0	2	1	Directores y gerentes	Hombres	13	Campo de Borja
2019,0	1	1	Directores y gerentes	Mujeres	13	Campo de Borja
2019,0	4	1	Directores y gerentes	Hombres	15	Ribera Alta del Ebro
2019,0	1	1	Directores y gerentes	Mujeres	15	Ribera Alta del Ebro
2019,0	3	1	Directores y gerentes	Hombres	16	Valdejalón
2019,0	73	1	Directores y gerentes	Hombres	17	D.C. Zaragoza
2019,0	35	1	Directores y gerentes	Mujeres	17	D.C. Zaragoza
2019,0	2	1	Directores y gerentes	Hombres	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2019,0	1	1	Directores y gerentes	Mujeres	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2019,0	1	1	Directores y gerentes	Hombres	20	Comunidad de Calatayud
2019,0	1	1	Directores y gerentes	Hombres	21	Campo de Cariñena
2019,0	1	1	Directores y gerentes	Hombres	25	Jiloca
2019,0	1	1	Directores y gerentes	Hombres	26	Cuencas Mineras
2019,0	1	1	Directores y gerentes	Mujeres	26	Cuencas Mineras
2019,0	1	1	Directores y gerentes	Mujeres	28	Bajo Aragón
2019,0	2	1	Directores y gerentes	Hombres	29	Comunidad de Teruel
2019,0	1	1	Directores y gerentes	Mujeres	29	Comunidad de Teruel
2019,0	1	1	Directores y gerentes	Mujeres	30	Maestrazgo
2019,0	1	1	Directores y gerentes	Hombres	NC	Municipio del centro de trabajo fuera de Aragón
2019,0	4	2	Técnicos y profesionales científicos e intelectuales	Hombres	01	La Jacetania
2019,0	6	2	Técnicos y profesionales científicos e intelectuales	Mujeres	01	La Jacetania
2019,0	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	02	Alto Gállego
2019,0	3	2	Técnicos y profesionales científicos e intelectuales	Mujeres	02	Alto Gállego
2019,0	3	2	Técnicos y profesionales científicos e intelectuales	Hombres	03	Sobrarbe
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	04	La Ribagorza
2019,0	3	2	Técnicos y profesionales científicos e intelectuales	Mujeres	04	La Ribagorza
2019,0	3	2	Técnicos y profesionales científicos e intelectuales	Hombres	05	Cinco Villas
2019,0	2	2	Técnicos y profesionales científicos e intelectuales	Mujeres	05	Cinco Villas
2019,0	15	2	Técnicos y profesionales científicos e intelectuales	Hombres	06	Hoya de Huesca / Plana de Uesca
2019,0	17	2	Técnicos y profesionales científicos e intelectuales	Mujeres	06	Hoya de Huesca / Plana de Uesca
2019,0	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	07	Somontano de Barbastro
2019,0	4	2	Técnicos y profesionales científicos e intelectuales	Mujeres	07	Somontano de Barbastro
2019,0	3	2	Técnicos y profesionales científicos e intelectuales	Hombres	08	Cinca Medio
2019,0	7	2	Técnicos y profesionales científicos e intelectuales	Mujeres	08	Cinca Medio
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	09	La Litera / La Llitera
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	09	La Litera / La Llitera
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	10	Los Monegros
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	11	Bajo Cinca / Baix Cinca
2019,0	2	2	Técnicos y profesionales científicos e intelectuales	Mujeres	11	Bajo Cinca / Baix Cinca
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	12	Tarazona y el Moncayo
2019,0	2	2	Técnicos y profesionales científicos e intelectuales	Mujeres	12	Tarazona y el Moncayo
2019,0	3	2	Técnicos y profesionales científicos e intelectuales	Mujeres	13	Campo de Borja
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	14	Aranda
2019,0	13	2	Técnicos y profesionales científicos e intelectuales	Hombres	15	Ribera Alta del Ebro
2019,0	2	2	Técnicos y profesionales científicos e intelectuales	Mujeres	15	Ribera Alta del Ebro
2019,0	3	2	Técnicos y profesionales científicos e intelectuales	Hombres	16	Valdejalón
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	16	Valdejalón
2019,0	137	2	Técnicos y profesionales científicos e intelectuales	Hombres	17	D.C. Zaragoza
2019,0	205	2	Técnicos y profesionales científicos e intelectuales	Mujeres	17	D.C. Zaragoza
2019,0	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	18	Ribera Baja del Ebro
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	18	Ribera Baja del Ebro
2019,0	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2019,0	3	2	Técnicos y profesionales científicos e intelectuales	Mujeres	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2019,0	5	2	Técnicos y profesionales científicos e intelectuales	Hombres	20	Comunidad de Calatayud
2019,0	5	2	Técnicos y profesionales científicos e intelectuales	Mujeres	20	Comunidad de Calatayud
2019,0	3	2	Técnicos y profesionales científicos e intelectuales	Hombres	21	Campo de Cariñena
2019,0	2	2	Técnicos y profesionales científicos e intelectuales	Mujeres	21	Campo de Cariñena
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	24	Campo de Daroca
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	25	Jiloca
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	25	Jiloca
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	27	Andorra-Sierra de Arcos
2019,0	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	28	Bajo Aragón
2019,0	8	2	Técnicos y profesionales científicos e intelectuales	Mujeres	28	Bajo Aragón
2019,0	12	2	Técnicos y profesionales científicos e intelectuales	Hombres	29	Comunidad de Teruel
2019,0	12	2	Técnicos y profesionales científicos e intelectuales	Mujeres	29	Comunidad de Teruel
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	32	Gúdar-Javalambre
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	NC	Municipio del centro de trabajo fuera de Aragón
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	NC	Municipio del centro de trabajo fuera de Aragón
2019,0	3	3	Técnicos; profesionales de apoyo	Hombres	01	La Jacetania
2019,0	3	3	Técnicos; profesionales de apoyo	Mujeres	01	La Jacetania
2019,0	9	3	Técnicos; profesionales de apoyo	Hombres	02	Alto Gállego
2019,0	4	3	Técnicos; profesionales de apoyo	Mujeres	02	Alto Gállego
2019,0	4	3	Técnicos; profesionales de apoyo	Hombres	03	Sobrarbe
2019,0	1	3	Técnicos; profesionales de apoyo	Mujeres	03	Sobrarbe
2019,0	5	3	Técnicos; profesionales de apoyo	Hombres	04	La Ribagorza
2019,0	4	3	Técnicos; profesionales de apoyo	Mujeres	04	La Ribagorza
2019,0	2	3	Técnicos; profesionales de apoyo	Hombres	05	Cinco Villas
2019,0	1	3	Técnicos; profesionales de apoyo	Mujeres	05	Cinco Villas
2019,0	36	3	Técnicos; profesionales de apoyo	Hombres	06	Hoya de Huesca / Plana de Uesca
2019,0	2	3	Técnicos; profesionales de apoyo	Mujeres	06	Hoya de Huesca / Plana de Uesca
2019,0	7	3	Técnicos; profesionales de apoyo	Hombres	07	Somontano de Barbastro
