Año	Nº Accidentes	Grupo	Descripción Ocupación	Sexo	Código	Municipio
2019,0	1	1	Directores y gerentes	Hombres	22048	Barbastro
2019,0	3	1	Directores y gerentes	Hombres	22061	Binéfar
2019,0	3	1	Directores y gerentes	Hombres	22112	Fraga
2019,0	2	1	Directores y gerentes	Hombres	22130	Jaca
2019,0	1	1	Directores y gerentes	Hombres	22199	Sabiñánigo
2019,0	1	1	Directores y gerentes	Hombres	44216	Teruel
2019,0	2	1	Directores y gerentes	Hombres	50074	Caspe
2019,0	1	1	Directores y gerentes	Hombres	50089	Cuarte de Huerva
2019,0	1	1	Directores y gerentes	Hombres	50095	Ejea de los Caballeros
2019,0	1	1	Directores y gerentes	Hombres	50182	Muela (La)
2019,0	2	1	Directores y gerentes	Hombres	50219	Puebla de Alfindén (La)
2019,0	1	1	Directores y gerentes	Hombres	50251	Tarazona
2019,0	66	1	Directores y gerentes	Hombres	50297	Zaragoza
2019,0	1	1	Directores y gerentes	Hombres	50298	Zuera
2019,0	1	1	Directores y gerentes	Mujeres	22112	Fraga
2019,0	3	1	Directores y gerentes	Mujeres	22125	Huesca
2019,0	1	1	Directores y gerentes	Mujeres	22130	Jaca
2019,0	1	1	Directores y gerentes	Mujeres	44013	Alcañiz
2019,0	1	1	Directores y gerentes	Mujeres	50074	Caspe
2019,0	35	1	Directores y gerentes	Mujeres	50297	Zaragoza
2019,0	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	22048	Barbastro
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	22061	Binéfar
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	22112	Fraga
2019,0	13	2	Técnicos y profesionales científicos e intelectuales	Hombres	22125	Huesca
2019,0	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	22130	Jaca
2019,0	3	2	Técnicos y profesionales científicos e intelectuales	Hombres	22158	Monzón
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	22199	Sabiñánigo
2019,0	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	44013	Alcañiz
2019,0	12	2	Técnicos y profesionales científicos e intelectuales	Hombres	44216	Teruel
2019,0	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	50067	Calatayud
2019,0	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	50074	Caspe
2019,0	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	50089	Cuarte de Huerva
2019,0	3	2	Técnicos y profesionales científicos e intelectuales	Hombres	50095	Ejea de los Caballeros
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	50182	Muela (La)
2019,0	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	50219	Puebla de Alfindén (La)
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	50251	Tarazona
2019,0	127	2	Técnicos y profesionales científicos e intelectuales	Hombres	50297	Zaragoza
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	50298	Zuera
2019,0	3	2	Técnicos y profesionales científicos e intelectuales	Mujeres	22048	Barbastro
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	22061	Binéfar
2019,0	2	2	Técnicos y profesionales científicos e intelectuales	Mujeres	22112	Fraga
2019,0	15	2	Técnicos y profesionales científicos e intelectuales	Mujeres	22125	Huesca
2019,0	4	2	Técnicos y profesionales científicos e intelectuales	Mujeres	22130	Jaca
2019,0	7	2	Técnicos y profesionales científicos e intelectuales	Mujeres	22158	Monzón
2019,0	2	2	Técnicos y profesionales científicos e intelectuales	Mujeres	22199	Sabiñánigo
2019,0	8	2	Técnicos y profesionales científicos e intelectuales	Mujeres	44013	Alcañiz
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	44025	Andorra
