Año	Nº Accidentes	Grupo	Descripción Ocupación	Sexo	CCAA
2008,0	43	0	Fuerzas armadas	Hombres	Aragón
2008,0	19	0	Fuerzas armadas	Mujeres	Aragón
2007,0	35	0	Fuerzas armadas	Hombres	Aragón
2007,0	23	0	Fuerzas armadas	Mujeres	Aragón
2006,0	30	0	Fuerzas armadas	Hombres	Aragón
2006,0	18	0	Fuerzas armadas	Mujeres	Aragón
2005,0	25	0	Fuerzas armadas	Hombres	Aragón
2005,0	10	0	Fuerzas armadas	Mujeres	Aragón
2004,0	20	0	Fuerzas armadas	Hombres	Aragón
2004,0	5	0	Fuerzas armadas	Mujeres	Aragón
2010,0	43	1	Dirección de las empresas y de las administraciones públicas	Hombres	Aragón
2010,0	13	1	Dirección de las empresas y de las administraciones públicas	Mujeres	Aragón
2009,0	43	1	Dirección de las empresas y de las administraciones públicas	Hombres	Aragón
2009,0	12	1	Dirección de las empresas y de las administraciones públicas	Mujeres	Aragón
2008,0	33	1	Dirección de las empresas y de las administraciones públicas	Hombres	Aragón
2008,0	15	1	Dirección de las empresas y de las administraciones públicas	Mujeres	Aragón
2007,0	43	1	Dirección de las empresas y de las administraciones públicas	Hombres	Aragón
2007,0	15	1	Dirección de las empresas y de las administraciones públicas	Mujeres	Aragón
2006,0	36	1	Dirección de las empresas y de las administraciones públicas	Hombres	Aragón
2006,0	7	1	Dirección de las empresas y de las administraciones públicas	Mujeres	Aragón
2005,0	39	1	Dirección de las empresas y de las administraciones públicas	Hombres	Aragón
2005,0	23	1	Dirección de las empresas y de las administraciones públicas	Mujeres	Aragón
2004,0	36	1	Dirección de las empresas y de las administraciones públicas	Hombres	Aragón
2004,0	19	1	Dirección de las empresas y de las administraciones públicas	Mujeres	Aragón
2003,0	31	1	Dirección de las empresas y de las administraciones públicas	Hombres	Aragón
2003,0	5	1	Dirección de las empresas y de las administraciones públicas	Mujeres	Aragón
2010,0	87	2	Técnicos y profesionales científicos e intelectuales	Hombres	Aragón
2010,0	165	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Aragón
2009,0	106	2	Técnicos y profesionales científicos e intelectuales	Hombres	Aragón
2009,0	170	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Aragón
2008,0	132	2	Técnicos y profesionales científicos e intelectuales	Hombres	Aragón
2008,0	165	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Aragón
2007,0	129	2	Técnicos y profesionales científicos e intelectuales	Hombres	Aragón
2007,0	177	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Aragón
2006,0	127	2	Técnicos y profesionales científicos e intelectuales	Hombres	Aragón
2006,0	158	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Aragón
2005,0	115	2	Técnicos y profesionales científicos e intelectuales	Hombres	Aragón
2005,0	121	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Aragón
2004,0	131	2	Técnicos y profesionales científicos e intelectuales	Hombres	Aragón
2004,0	106	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Aragón
2003,0	152	2	Técnicos y profesionales científicos e intelectuales	Hombres	Aragón
2003,0	105	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Aragón
2010,0	246	3	Técnicos y profesionales de apoyo	Hombres	Aragón
2010,0	220	3	Técnicos y profesionales de apoyo	Mujeres	Aragón
2009,0	280	3	Técnicos y profesionales de apoyo	Hombres	Aragón
2009,0	223	3	Técnicos y profesionales de apoyo	Mujeres	Aragón
2008,0	330	3	Técnicos y profesionales de apoyo	Hombres	Aragón
2008,0	231	3	Técnicos y profesionales de apoyo	Mujeres	Aragón
2007,0	293	3	Técnicos y profesionales de apoyo	Hombres	Aragón
2007,0	212	3	Técnicos y profesionales de apoyo	Mujeres	Aragón
2006,0	284	3	Técnicos y profesionales de apoyo	Hombres	Aragón
2006,0	231	3	Técnicos y profesionales de apoyo	Mujeres	Aragón
2005,0	306	3	Técnicos y profesionales de apoyo	Hombres	Aragón
2005,0	250	3	Técnicos y profesionales de apoyo	Mujeres	Aragón
2004,0	310	3	Técnicos y profesionales de apoyo	Hombres	Aragón
2004,0	195	3	Técnicos y profesionales de apoyo	Mujeres	Aragón
2003,0	359	3	Técnicos y profesionales de apoyo	Hombres	Aragón
2003,0	176	3	Técnicos y profesionales de apoyo	Mujeres	Aragón
2010,0	118	4	Empleados de tipo administrativo	Hombres	Aragón
2010,0	288	4	Empleados de tipo administrativo	Mujeres	Aragón
2009,0	117	4	Empleados de tipo administrativo	Hombres	Aragón
2009,0	258	4	Empleados de tipo administrativo	Mujeres	Aragón
2008,0	160	4	Empleados de tipo administrativo	Hombres	Aragón
2008,0	344	4	Empleados de tipo administrativo	Mujeres	Aragón
2007,0	164	4	Empleados de tipo administrativo	Hombres	Aragón
2007,0	359	4	Empleados de tipo administrativo	Mujeres	Aragón
2006,0	158	4	Empleados de tipo administrativo	Hombres	Aragón
2006,0	311	4	Empleados de tipo administrativo	Mujeres	Aragón
2005,0	157	4	Empleados de tipo administrativo	Hombres	Aragón
2005,0	328	4	Empleados de tipo administrativo	Mujeres	Aragón
2004,0	161	4	Empleados de tipo administrativo	Hombres	Aragón
2004,0	264	4	Empleados de tipo administrativo	Mujeres	Aragón
2003,0	162	4	Empleados de tipo administrativo	Hombres	Aragón
2003,0	198	4	Empleados de tipo administrativo	Mujeres	Aragón
2010,0	597	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	Aragón
2010,0	1588	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	Aragón
2009,0	652	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	Aragón
2009,0	1580	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	Aragón
2008,0	741	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	Aragón
2008,0	1943	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	Aragón
2007,0	698	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	Aragón
2007,0	1744	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	Aragón
2006,0	679	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	Aragón
2006,0	1618	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	Aragón
2005,0	746	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	Aragón
2005,0	1621	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	Aragón
2004,0	622	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	Aragón
2004,0	1396	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	Aragón
2003,0	748	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	Aragón
2003,0	1623	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	Aragón
2010,0	355	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	Aragón
2010,0	36	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	Aragón
2009,0	375	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	Aragón
2009,0	46	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	Aragón
2008,0	370	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	Aragón
2008,0	36	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	Aragón
2007,0	355	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	Aragón
2007,0	46	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	Aragón
2006,0	345	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	Aragón
2006,0	36	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	Aragón
2005,0	391	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	Aragón
2005,0	40	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	Aragón
2004,0	356	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	Aragón
2004,0	28	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	Aragón
2003,0	318	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	Aragón
2003,0	23	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	Aragón
2010,0	3990	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	Aragón
2010,0	169	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	Aragón
2009,0	4355	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	Aragón
2009,0	177	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	Aragón
2008,0	6901	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	Aragón
2008,0	364	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	Aragón
2007,0	7839	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	Aragón
2007,0	369	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	Aragón
2006,0	7280	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	Aragón
2006,0	317	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	Aragón
2005,0	6861	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	Aragón
2005,0	324	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	Aragón
2004,0	6364	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	Aragón
2004,0	275	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	Aragón
2003,0	7186	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	Aragón
2003,0	404	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	Aragón
2010,0	2698	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Aragón
2010,0	235	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Aragón
2009,0	2842	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Aragón
