Año	Nº Accidentes	Grupo	Descripción Ocupación	Sexo	Comarca Código	Comarca Nombre
2010,0	1	1	Dirección de las empresas y de las administraciones públicas	Hombres	02	Alto Gállego
2010,0	1	1	Dirección de las empresas y de las administraciones públicas	Hombres	04	La Ribagorza
2010,0	3	1	Dirección de las empresas y de las administraciones públicas	Hombres	06	Hoya de Huesca / Plana de Uesca
2010,0	3	1	Dirección de las empresas y de las administraciones públicas	Mujeres	06	Hoya de Huesca / Plana de Uesca
2010,0	4	1	Dirección de las empresas y de las administraciones públicas	Hombres	07	Somontano de Barbastro
2010,0	1	1	Dirección de las empresas y de las administraciones públicas	Mujeres	08	Cinca Medio
2010,0	1	1	Dirección de las empresas y de las administraciones públicas	Mujeres	11	Bajo Cinca / Baix Cinca
2010,0	2	1	Dirección de las empresas y de las administraciones públicas	Hombres	13	Campo de Borja
2010,0	1	1	Dirección de las empresas y de las administraciones públicas	Mujeres	13	Campo de Borja
2010,0	2	1	Dirección de las empresas y de las administraciones públicas	Hombres	16	Valdejalón
2010,0	25	1	Dirección de las empresas y de las administraciones públicas	Hombres	17	D.C. Zaragoza
2010,0	6	1	Dirección de las empresas y de las administraciones públicas	Mujeres	17	D.C. Zaragoza
2010,0	1	1	Dirección de las empresas y de las administraciones públicas	Hombres	20	Comunidad de Calatayud
2010,0	1	1	Dirección de las empresas y de las administraciones públicas	Hombres	21	Campo de Cariñena
2010,0	2	1	Dirección de las empresas y de las administraciones públicas	Hombres	29	Comunidad de Teruel
2010,0	1	1	Dirección de las empresas y de las administraciones públicas	Mujeres	29	Comunidad de Teruel
2010,0	1	1	Dirección de las empresas y de las administraciones públicas	Hombres	NC	Municipio del centro de trabajo fuera de Aragón
2010,0	4	2	Técnicos y profesionales científicos e intelectuales	Hombres	01	La Jacetania
2010,0	7	2	Técnicos y profesionales científicos e intelectuales	Hombres	02	Alto Gállego
2010,0	4	2	Técnicos y profesionales científicos e intelectuales	Mujeres	02	Alto Gállego
2010,0	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	03	Sobrarbe
2010,0	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	03	Sobrarbe
2010,0	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	04	La Ribagorza
2010,0	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	04	La Ribagorza
2010,0	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	05	Cinco Villas
