Año	Nº Accidentes	Grupo	Descripción ocupación	Sexo	Código	Municipio
2010,0	3	1	Dirección de las empresas y de las administraciones públicas	Hombres	22048	Barbastro
2010,0	3	1	Dirección de las empresas y de las administraciones públicas	Hombres	22125	Huesca
2010,0	1	1	Dirección de las empresas y de las administraciones públicas	Hombres	22199	Sabiñánigo
2010,0	1	1	Dirección de las empresas y de las administraciones públicas	Hombres	44216	Teruel
2010,0	1	1	Dirección de las empresas y de las administraciones públicas	Hombres	50067	Calatayud
2010,0	2	1	Dirección de las empresas y de las administraciones públicas	Hombres	50182	Muela (La)
2010,0	1	1	Dirección de las empresas y de las administraciones públicas	Hombres	50219	Puebla de Alfindén (La)
2010,0	21	1	Dirección de las empresas y de las administraciones públicas	Hombres	50297	Zaragoza
2010,0	3	1	Dirección de las empresas y de las administraciones públicas	Mujeres	22125	Huesca
2010,0	1	1	Dirección de las empresas y de las administraciones públicas	Mujeres	22158	Monzón
2010,0	1	1	Dirección de las empresas y de las administraciones públicas	Mujeres	44216	Teruel
2010,0	1	1	Dirección de las empresas y de las administraciones públicas	Mujeres	50272	Utebo
2010,0	5	1	Dirección de las empresas y de las administraciones públicas	Mujeres	50297	Zaragoza
2010,0	3	2	Técnicos y profesionales científicos e intelectuales	Hombres	22125	Huesca
2010,0	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	22130	Jaca
2010,0	3	2	Técnicos y profesionales científicos e intelectuales	Hombres	22158	Monzón
2010,0	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	22199	Sabiñánigo
2010,0	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	44013	Alcañiz
2010,0	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	44216	Teruel
2010,0	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	50025	Almunia de Doña Godina (La)
2010,0	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	50067	Calatayud
2010,0	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	50089	Cuarte de Huerva
2010,0	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	50095	Ejea de los Caballeros
2010,0	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	50182	Muela (La)
2010,0	46	2	Técnicos y profesionales científicos e intelectuales	Hombres	50297	Zaragoza
2010,0	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	50298	Zuera
2010,0	5	2	Técnicos y profesionales científicos e intelectuales	Mujeres	22048	Barbastro
2010,0	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	22112	Fraga
2010,0	13	2	Técnicos y profesionales científicos e intelectuales	Mujeres	22125	Huesca
2010,0	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	44013	Alcañiz
2010,0	12	2	Técnicos y profesionales científicos e intelectuales	Mujeres	44216	Teruel
2010,0	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	50008	Alagón
2010,0	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	50089	Cuarte de Huerva
2010,0	2	2	Técnicos y profesionales científicos e intelectuales	Mujeres	50095	Ejea de los Caballeros
2010,0	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	50182	Muela (La)
2010,0	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	50219	Puebla de Alfindén (La)
2010,0	2	2	Técnicos y profesionales científicos e intelectuales	Mujeres	50251	Tarazona
2010,0	112	2	Técnicos y profesionales científicos e intelectuales	Mujeres	50297	Zaragoza
2010,0	1	3	Técnicos y profesionales de apoyo	Hombres	22048	Barbastro
2010,0	1	3	Técnicos y profesionales de apoyo	Hombres	22061	Binéfar
2010,0	12	3	Técnicos y profesionales de apoyo	Hombres	22125	Huesca
2010,0	1	3	Técnicos y profesionales de apoyo	Hombres	22130	Jaca
2010,0	1	3	Técnicos y profesionales de apoyo	Hombres	22199	Sabiñánigo
2010,0	1	3	Técnicos y profesionales de apoyo	Hombres	44013	Alcañiz
2010,0	3	3	Técnicos y profesionales de apoyo	Hombres	44025	Andorra
2010,0	11	3	Técnicos y profesionales de apoyo	Hombres	44216	Teruel
2010,0	2	3	Técnicos y profesionales de apoyo	Hombres	50025	Almunia de Doña Godina (La)
2010,0	2	3	Técnicos y profesionales de apoyo	Hombres	50067	Calatayud
2010,0	1	3	Técnicos y profesionales de apoyo	Hombres	50074	Caspe
2010,0	4	3	Técnicos y profesionales de apoyo	Hombres	50089	Cuarte de Huerva
2010,0	1	3	Técnicos y profesionales de apoyo	Hombres	50095	Ejea de los Caballeros
2010,0	3	3	Técnicos y profesionales de apoyo	Hombres	50163	María de Huerva
2010,0	3	3	Técnicos y profesionales de apoyo	Hombres	50182	Muela (La)
2010,0	5	3	Técnicos y profesionales de apoyo	Hombres	50219	Puebla de Alfindén (La)
2010,0	1	3	Técnicos y profesionales de apoyo	Hombres	50251	Tarazona
2010,0	3	3	Técnicos y profesionales de apoyo	Hombres	50252	Tauste
2010,0	2	3	Técnicos y profesionales de apoyo	Hombres	50272	Utebo
2010,0	149	3	Técnicos y profesionales de apoyo	Hombres	50297	Zaragoza
2010,0	1	3	Técnicos y profesionales de apoyo	Hombres	50298	Zuera
