Año	Nº Accidentes	Tamaño Centro	Grupo Grado Código	Grupo Grado Código	CCAA
2019,0	4027	Menos de 10 trabajadores	Leves	1	Aragón
2015,0	2981	Menos de 10 trabajadores	Leves	1	Aragón
2014,0	2822	Menos de 10 trabajadores	Leves	1	Aragón
2013,0	2795	Menos de 10 trabajadores	Leves	1	Aragón
2012,0	2875	Menos de 10 trabajadores	Leves	1	Aragón
2011,0	3435	Menos de 10 trabajadores	Leves	1	Aragón
2010,0	3526	Menos de 10 trabajadores	Leves	1	Aragón
2009,0	3851	Menos de 10 trabajadores	Leves	1	Aragón
2008,0	5083	Menos de 10 trabajadores	Leves	1	Aragón
2007,0	5144	Menos de 10 trabajadores	Leves	1	Aragón
2006,0	5112	Menos de 10 trabajadores	Leves	1	Aragón
2005,0	4990	Menos de 10 trabajadores	Leves	1	Aragón
2004,0	4404	Menos de 10 trabajadores	Leves	1	Aragón
2003,0	4420	Menos de 10 trabajadores	Leves	1	Aragón
2019,0	38	Menos de 10 trabajadores	Graves o muy graves	2	Aragón
2015,0	31	Menos de 10 trabajadores	Graves o muy graves	2	Aragón
2014,0	39	Menos de 10 trabajadores	Graves o muy graves	2	Aragón
2013,0	33	Menos de 10 trabajadores	Graves o muy graves	2	Aragón
2012,0	36	Menos de 10 trabajadores	Graves o muy graves	2	Aragón
2011,0	32	Menos de 10 trabajadores	Graves o muy graves	2	Aragón
2010,0	33	Menos de 10 trabajadores	Graves o muy graves	2	Aragón
2009,0	45	Menos de 10 trabajadores	Graves o muy graves	2	Aragón
2008,0	45	Menos de 10 trabajadores	Graves o muy graves	2	Aragón
2007,0	60	Menos de 10 trabajadores	Graves o muy graves	2	Aragón
2006,0	56	Menos de 10 trabajadores	Graves o muy graves	2	Aragón
2005,0	69	Menos de 10 trabajadores	Graves o muy graves	2	Aragón
2004,0	58	Menos de 10 trabajadores	Graves o muy graves	2	Aragón
2003,0	78	Menos de 10 trabajadores	Graves o muy graves	2	Aragón
2019,0	12	Menos de 10 trabajadores	Mortales	3	Aragón
2015,0	9	Menos de 10 trabajadores	Mortales	3	Aragón
2014,0	4	Menos de 10 trabajadores	Mortales	3	Aragón
2013,0	10	Menos de 10 trabajadores	Mortales	3	Aragón
2012,0	7	Menos de 10 trabajadores	Mortales	3	Aragón
2011,0	10	Menos de 10 trabajadores	Mortales	3	Aragón
2010,0	7	Menos de 10 trabajadores	Mortales	3	Aragón
2009,0	13	Menos de 10 trabajadores	Mortales	3	Aragón
2008,0	9	Menos de 10 trabajadores	Mortales	3	Aragón
2007,0	17	Menos de 10 trabajadores	Mortales	3	Aragón
2006,0	6	Menos de 10 trabajadores	Mortales	3	Aragón
2005,0	7	Menos de 10 trabajadores	Mortales	3	Aragón
2004,0	17	Menos de 10 trabajadores	Mortales	3	Aragón
2003,0	11	Menos de 10 trabajadores	Mortales	3	Aragón
2019,0	1923	De 10 a 19 trabajadores	Leves	1	Aragón
2015,0	1502	De 10 a 19 trabajadores	Leves	1	Aragón
2014,0	1336	De 10 a 19 trabajadores	Leves	1	Aragón
2013,0	1336	De 10 a 19 trabajadores	Leves	1	Aragón
2012,0	1456	De 10 a 19 trabajadores	Leves	1	Aragón
2011,0	1758	De 10 a 19 trabajadores	Leves	1	Aragón
2010,0	2036	De 10 a 19 trabajadores	Leves	1	Aragón
2009,0	2228	De 10 a 19 trabajadores	Leves	1	Aragón
2008,0	3180	De 10 a 19 trabajadores	Leves	1	Aragón
2007,0	3603	De 10 a 19 trabajadores	Leves	1	Aragón
2006,0	3318	De 10 a 19 trabajadores	Leves	1	Aragón
2005,0	3196	De 10 a 19 trabajadores	Leves	1	Aragón
2004,0	2997	De 10 a 19 trabajadores	Leves	1	Aragón
2003,0	2945	De 10 a 19 trabajadores	Leves	1	Aragón
2019,0	17	De 10 a 19 trabajadores	Graves o muy graves	2	Aragón
2015,0	15	De 10 a 19 trabajadores	Graves o muy graves	2	Aragón
2014,0	6	De 10 a 19 trabajadores	Graves o muy graves	2	Aragón
2013,0	8	De 10 a 19 trabajadores	Graves o muy graves	2	Aragón
2012,0	20	De 10 a 19 trabajadores	Graves o muy graves	2	Aragón
2011,0	10	De 10 a 19 trabajadores	Graves o muy graves	2	Aragón
2010,0	15	De 10 a 19 trabajadores	Graves o muy graves	2	Aragón
2009,0	24	De 10 a 19 trabajadores	Graves o muy graves	2	Aragón
2008,0	17	De 10 a 19 trabajadores	Graves o muy graves	2	Aragón
2007,0	43	De 10 a 19 trabajadores	Graves o muy graves	2	Aragón
2006,0	31	De 10 a 19 trabajadores	Graves o muy graves	2	Aragón
2005,0	23	De 10 a 19 trabajadores	Graves o muy graves	2	Aragón
2004,0	33	De 10 a 19 trabajadores	Graves o muy graves	2	Aragón
2003,0	34	De 10 a 19 trabajadores	Graves o muy graves	2	Aragón
2019,0	4	De 10 a 19 trabajadores	Mortales	3	Aragón
2015,0	1	De 10 a 19 trabajadores	Mortales	3	Aragón
2014,0	4	De 10 a 19 trabajadores	Mortales	3	Aragón
2013,0	1	De 10 a 19 trabajadores	Mortales	3	Aragón
2012,0	1	De 10 a 19 trabajadores	Mortales	3	Aragón
2011,0	3	De 10 a 19 trabajadores	Mortales	3	Aragón
2010,0	3	De 10 a 19 trabajadores	Mortales	3	Aragón
2009,0	4	De 10 a 19 trabajadores	Mortales	3	Aragón
2008,0	4	De 10 a 19 trabajadores	Mortales	3	Aragón
2007,0	7	De 10 a 19 trabajadores	Mortales	3	Aragón
2006,0	3	De 10 a 19 trabajadores	Mortales	3	Aragón
2005,0	5	De 10 a 19 trabajadores	Mortales	3	Aragón
2004,0	8	De 10 a 19 trabajadores	Mortales	3	Aragón
2003,0	6	De 10 a 19 trabajadores	Mortales	3	Aragón
2019,0	3021	De 20 a 49 trabajadores	Leves	1	Aragón
2015,0	2337	De 20 a 49 trabajadores	Leves	1	Aragón
2014,0	2178	De 20 a 49 trabajadores	Leves	1	Aragón
2013,0	1930	De 20 a 49 trabajadores	Leves	1	Aragón
2012,0	2183	De 20 a 49 trabajadores	Leves	1	Aragón
2011,0	2578	De 20 a 49 trabajadores	Leves	1	Aragón
2010,0	2942	De 20 a 49 trabajadores	Leves	1	Aragón
2009,0	3138	De 20 a 49 trabajadores	Leves	1	Aragón
2008,0	4702	De 20 a 49 trabajadores	Leves	1	Aragón
2007,0	5334	De 20 a 49 trabajadores	Leves	1	Aragón
2006,0	4906	De 20 a 49 trabajadores	Leves	1	Aragón
2005,0	4632	De 20 a 49 trabajadores	Leves	1	Aragón
2004,0	4353	De 20 a 49 trabajadores	Leves	1	Aragón
2003,0	4348	De 20 a 49 trabajadores	Leves	1	Aragón
2019,0	18	De 20 a 49 trabajadores	Graves o muy graves	2	Aragón
2015,0	14	De 20 a 49 trabajadores	Graves o muy graves	2	Aragón
2014,0	10	De 20 a 49 trabajadores	Graves o muy graves	2	Aragón
2013,0	10	De 20 a 49 trabajadores	Graves o muy graves	2	Aragón
2012,0	10	De 20 a 49 trabajadores	Graves o muy graves	2	Aragón
2011,0	14	De 20 a 49 trabajadores	Graves o muy graves	2	Aragón
2010,0	23	De 20 a 49 trabajadores	Graves o muy graves	2	Aragón
2009,0	18	De 20 a 49 trabajadores	Graves o muy graves	2	Aragón
2008,0	28	De 20 a 49 trabajadores	Graves o muy graves	2	Aragón
2007,0	34	De 20 a 49 trabajadores	Graves o muy graves	2	Aragón
2006,0	36	De 20 a 49 trabajadores	Graves o muy graves	2	Aragón
2005,0	40	De 20 a 49 trabajadores	Graves o muy graves	2	Aragón
2004,0	48	De 20 a 49 trabajadores	Graves o muy graves	2	Aragón
2003,0	41	De 20 a 49 trabajadores	Graves o muy graves	2	Aragón
2019,0	4	De 20 a 49 trabajadores	Mortales	3	Aragón
2015,0	10	De 20 a 49 trabajadores	Mortales	3	Aragón
2014,0	3	De 20 a 49 trabajadores	Mortales	3	Aragón
2013,0	1	De 20 a 49 trabajadores	Mortales	3	Aragón
2012,0	3	De 20 a 49 trabajadores	Mortales	3	Aragón
2011,0	3	De 20 a 49 trabajadores	Mortales	3	Aragón
2010,0	7	De 20 a 49 trabajadores	Mortales	3	Aragón
2009,0	7	De 20 a 49 trabajadores	Mortales	3	Aragón
2008,0	6	De 20 a 49 trabajadores	Mortales	3	Aragón
2007,0	6	De 20 a 49 trabajadores	Mortales	3	Aragón
2006,0	6	De 20 a 49 trabajadores	Mortales	3	Aragón
2005,0	11	De 20 a 49 trabajadores	Mortales	3	Aragón
2004,0	6	De 20 a 49 trabajadores	Mortales	3	Aragón
2003,0	9	De 20 a 49 trabajadores	Mortales	3	Aragón
2019,0	2030	De 50 a 99 trabajadores	Leves	1	Aragón
2015,0	1436	De 50 a 99 trabajadores	Leves	1	Aragón
2014,0	1330	De 50 a 99 trabajadores	Leves	1	Aragón
2013,0	1392	De 50 a 99 trabajadores	Leves	1	Aragón
2012,0	1335	De 50 a 99 trabajadores	Leves	1	Aragón
2011,0	1693	De 50 a 99 trabajadores	Leves	1	Aragón
2010,0	1777	De 50 a 99 trabajadores	Leves	1	Aragón
2009,0	1939	De 50 a 99 trabajadores	Leves	1	Aragón
2008,0	2973	De 50 a 99 trabajadores	Leves	1	Aragón
2007,0	3267	De 50 a 99 trabajadores	Leves	1	Aragón
2006,0	2851	De 50 a 99 trabajadores	Leves	1	Aragón
2005,0	2696	De 50 a 99 trabajadores	Leves	1	Aragón
2004,0	2646	De 50 a 99 trabajadores	Leves	1	Aragón
2003,0	2714	De 50 a 99 trabajadores	Leves	1	Aragón
2019,0	12	De 50 a 99 trabajadores	Graves o muy graves	2	Aragón
2015,0	6	De 50 a 99 trabajadores	Graves o muy graves	2	Aragón
2014,0	8	De 50 a 99 trabajadores	Graves o muy graves	2	Aragón
2013,0	3	De 50 a 99 trabajadores	Graves o muy graves	2	Aragón
2012,0	6	De 50 a 99 trabajadores	Graves o muy graves	2	Aragón
2011,0	10	De 50 a 99 trabajadores	Graves o muy graves	2	Aragón
2010,0	9	De 50 a 99 trabajadores	Graves o muy graves	2	Aragón
2009,0	21	De 50 a 99 trabajadores	Graves o muy graves	2	Aragón
2008,0	18	De 50 a 99 trabajadores	Graves o muy graves	2	Aragón
2007,0	22	De 50 a 99 trabajadores	Graves o muy graves	2	Aragón
2006,0	11	De 50 a 99 trabajadores	Graves o muy graves	2	Aragón
2005,0	25	De 50 a 99 trabajadores	Graves o muy graves	2	Aragón
2004,0	28	De 50 a 99 trabajadores	Graves o muy graves	2	Aragón
2003,0	28	De 50 a 99 trabajadores	Graves o muy graves	2	Aragón
2019,0	3	De 50 a 99 trabajadores	Mortales	3	Aragón
2015,0	3	De 50 a 99 trabajadores	Mortales	3	Aragón
2014,0	1	De 50 a 99 trabajadores	Mortales	3	Aragón
2013,0	2	De 50 a 99 trabajadores	Mortales	3	Aragón
2012,0	5	De 50 a 99 trabajadores	Mortales	3	Aragón
2011,0	5	De 50 a 99 trabajadores	Mortales	3	Aragón
2010,0	2	De 50 a 99 trabajadores	Mortales	3	Aragón
2009,0	2	De 50 a 99 trabajadores	Mortales	3	Aragón
2008,0	3	De 50 a 99 trabajadores	Mortales	3	Aragón
2007,0	2	De 50 a 99 trabajadores	Mortales	3	Aragón
2006,0	4	De 50 a 99 trabajadores	Mortales	3	Aragón
2005,0	4	De 50 a 99 trabajadores	Mortales	3	Aragón
2004,0	3	De 50 a 99 trabajadores	Mortales	3	Aragón
2003,0	1	De 50 a 99 trabajadores	Mortales	3	Aragón
2019,0	1461	De 100 a 199 trabajadores	Leves	1	Aragón
2015,0	1184	De 100 a 199 trabajadores	Leves	1	Aragón
2014,0	1038	De 100 a 199 trabajadores	Leves	1	Aragón
2013,0	960	De 100 a 199 trabajadores	Leves	1	Aragón
2012,0	919	De 100 a 199 trabajadores	Leves	1	Aragón
2011,0	1219	De 100 a 199 trabajadores	Leves	1	Aragón
2010,0	1478	De 100 a 199 trabajadores	Leves	1	Aragón
2009,0	1511	De 100 a 199 trabajadores	Leves	1	Aragón
2008,0	2234	De 100 a 199 trabajadores	Leves	1	Aragón
2007,0	2173	De 100 a 199 trabajadores	Leves	1	Aragón
2006,0	2189	De 100 a 199 trabajadores	Leves	1	Aragón
2005,0	1813	De 100 a 199 trabajadores	Leves	1	Aragón
2004,0	1922	De 100 a 199 trabajadores	Leves	1	Aragón
