Año	Nº Accidentes	Tamaño Centro	Grupo Grado Código	Grupo Grado Código	Código	Municipio
2019,0	47	Menos de 10 trabajadores	Leves	1	22048	Barbastro
2019,0	79	Menos de 10 trabajadores	Leves	1	22112	Fraga
2019,0	197	Menos de 10 trabajadores	Leves	1	22125	Huesca
2019,0	61	Menos de 10 trabajadores	Leves	1	22130	Jaca
2019,0	71	Menos de 10 trabajadores	Leves	1	22158	Monzón
2019,0	65	Menos de 10 trabajadores	Leves	1	44013	Alcañiz
2019,0	121	Menos de 10 trabajadores	Leves	1	44216	Teruel
2019,0	51	Menos de 10 trabajadores	Leves	1	50067	Calatayud
2019,0	34	Menos de 10 trabajadores	Leves	1	50074	Caspe
2019,0	76	Menos de 10 trabajadores	Leves	1	50089	Cuarte de Huerva
2019,0	68	Menos de 10 trabajadores	Leves	1	50095	Ejea de los Caballeros
2019,0	48	Menos de 10 trabajadores	Leves	1	50251	Tarazona
2019,0	68	Menos de 10 trabajadores	Leves	1	50272	Utebo
2019,0	1230	Menos de 10 trabajadores	Leves	1	50297	Zaragoza
2015,0	48	Menos de 10 trabajadores	Leves	1	22048	Barbastro
2015,0	63	Menos de 10 trabajadores	Leves	1	22112	Fraga
2015,0	159	Menos de 10 trabajadores	Leves	1	22125	Huesca
2015,0	23	Menos de 10 trabajadores	Leves	1	22130	Jaca
2015,0	62	Menos de 10 trabajadores	Leves	1	22158	Monzón
2015,0	37	Menos de 10 trabajadores	Leves	1	44013	Alcañiz
2015,0	70	Menos de 10 trabajadores	Leves	1	44216	Teruel
2015,0	40	Menos de 10 trabajadores	Leves	1	50067	Calatayud
2015,0	29	Menos de 10 trabajadores	Leves	1	50074	Caspe
2015,0	58	Menos de 10 trabajadores	Leves	1	50089	Cuarte de Huerva
2015,0	59	Menos de 10 trabajadores	Leves	1	50095	Ejea de los Caballeros
2015,0	32	Menos de 10 trabajadores	Leves	1	50251	Tarazona
2015,0	28	Menos de 10 trabajadores	Leves	1	50272	Utebo
2015,0	927	Menos de 10 trabajadores	Leves	1	50297	Zaragoza
2014,0	65	Menos de 10 trabajadores	Leves	1	22048	Barbastro
2014,0	60	Menos de 10 trabajadores	Leves	1	22112	Fraga
2014,0	147	Menos de 10 trabajadores	Leves	1	22125	Huesca
2014,0	30	Menos de 10 trabajadores	Leves	1	22130	Jaca
2014,0	46	Menos de 10 trabajadores	Leves	1	22158	Monzón
2014,0	45	Menos de 10 trabajadores	Leves	1	44013	Alcañiz
2014,0	82	Menos de 10 trabajadores	Leves	1	44216	Teruel
2014,0	50	Menos de 10 trabajadores	Leves	1	50067	Calatayud
2014,0	27	Menos de 10 trabajadores	Leves	1	50074	Caspe
2014,0	63	Menos de 10 trabajadores	Leves	1	50089	Cuarte de Huerva
2014,0	62	Menos de 10 trabajadores	Leves	1	50095	Ejea de los Caballeros
2014,0	25	Menos de 10 trabajadores	Leves	1	50251	Tarazona
2014,0	26	Menos de 10 trabajadores	Leves	1	50272	Utebo
2014,0	887	Menos de 10 trabajadores	Leves	1	50297	Zaragoza
2013,0	46	Menos de 10 trabajadores	Leves	1	22048	Barbastro
2013,0	49	Menos de 10 trabajadores	Leves	1	22112	Fraga
2013,0	126	Menos de 10 trabajadores	Leves	1	22125	Huesca
2013,0	40	Menos de 10 trabajadores	Leves	1	22130	Jaca
2013,0	39	Menos de 10 trabajadores	Leves	1	22158	Monzón
2013,0	43	Menos de 10 trabajadores	Leves	1	44013	Alcañiz
2013,0	77	Menos de 10 trabajadores	Leves	1	44216	Teruel
2013,0	34	Menos de 10 trabajadores	Leves	1	50067	Calatayud
2013,0	33	Menos de 10 trabajadores	Leves	1	50074	Caspe
2013,0	74	Menos de 10 trabajadores	Leves	1	50089	Cuarte de Huerva
2013,0	52	Menos de 10 trabajadores	Leves	1	50095	Ejea de los Caballeros
2013,0	27	Menos de 10 trabajadores	Leves	1	50251	Tarazona
2013,0	32	Menos de 10 trabajadores	Leves	1	50272	Utebo
2013,0	939	Menos de 10 trabajadores	Leves	1	50297	Zaragoza
2012,0	39	Menos de 10 trabajadores	Leves	1	22048	Barbastro
2012,0	61	Menos de 10 trabajadores	Leves	1	22112	Fraga
2012,0	123	Menos de 10 trabajadores	Leves	1	22125	Huesca
2012,0	26	Menos de 10 trabajadores	Leves	1	22130	Jaca
2012,0	49	Menos de 10 trabajadores	Leves	1	22158	Monzón
2012,0	44	Menos de 10 trabajadores	Leves	1	44013	Alcañiz
2012,0	75	Menos de 10 trabajadores	Leves	1	44216	Teruel
2012,0	52	Menos de 10 trabajadores	Leves	1	50067	Calatayud
2012,0	28	Menos de 10 trabajadores	Leves	1	50074	Caspe
2012,0	64	Menos de 10 trabajadores	Leves	1	50089	Cuarte de Huerva
2012,0	56	Menos de 10 trabajadores	Leves	1	50095	Ejea de los Caballeros
2012,0	27	Menos de 10 trabajadores	Leves	1	50251	Tarazona
2012,0	31	Menos de 10 trabajadores	Leves	1	50272	Utebo
2012,0	938	Menos de 10 trabajadores	Leves	1	50297	Zaragoza
2011,0	53	Menos de 10 trabajadores	Leves	1	22048	Barbastro
2011,0	60	Menos de 10 trabajadores	Leves	1	22112	Fraga
2011,0	171	Menos de 10 trabajadores	Leves	1	22125	Huesca
2011,0	45	Menos de 10 trabajadores	Leves	1	22130	Jaca
2011,0	62	Menos de 10 trabajadores	Leves	1	22158	Monzón
2011,0	70	Menos de 10 trabajadores	Leves	1	44013	Alcañiz
2011,0	95	Menos de 10 trabajadores	Leves	1	44216	Teruel
2011,0	43	Menos de 10 trabajadores	Leves	1	50067	Calatayud
2011,0	24	Menos de 10 trabajadores	Leves	1	50074	Caspe
2011,0	78	Menos de 10 trabajadores	Leves	1	50089	Cuarte de Huerva
2011,0	60	Menos de 10 trabajadores	Leves	1	50095	Ejea de los Caballeros
2011,0	40	Menos de 10 trabajadores	Leves	1	50251	Tarazona
2011,0	44	Menos de 10 trabajadores	Leves	1	50272	Utebo
2011,0	1107	Menos de 10 trabajadores	Leves	1	50297	Zaragoza
2010,0	46	Menos de 10 trabajadores	Leves	1	22048	Barbastro
2010,0	50	Menos de 10 trabajadores	Leves	1	22112	Fraga
2010,0	151	Menos de 10 trabajadores	Leves	1	22125	Huesca
2010,0	30	Menos de 10 trabajadores	Leves	1	22130	Jaca
2010,0	58	Menos de 10 trabajadores	Leves	1	22158	Monzón
2010,0	72	Menos de 10 trabajadores	Leves	1	44013	Alcañiz
2010,0	100	Menos de 10 trabajadores	Leves	1	44216	Teruel
2010,0	53	Menos de 10 trabajadores	Leves	1	50067	Calatayud
2010,0	30	Menos de 10 trabajadores	Leves	1	50074	Caspe
2010,0	86	Menos de 10 trabajadores	Leves	1	50089	Cuarte de Huerva
2010,0	65	Menos de 10 trabajadores	Leves	1	50095	Ejea de los Caballeros
2010,0	59	Menos de 10 trabajadores	Leves	1	50251	Tarazona
2010,0	35	Menos de 10 trabajadores	Leves	1	50272	Utebo
2010,0	1214	Menos de 10 trabajadores	Leves	1	50297	Zaragoza
2009,0	81	Menos de 10 trabajadores	Leves	1	22048	Barbastro
2009,0	69	Menos de 10 trabajadores	Leves	1	22112	Fraga
2009,0	175	Menos de 10 trabajadores	Leves	1	22125	Huesca
2009,0	57	Menos de 10 trabajadores	Leves	1	22130	Jaca
2009,0	53	Menos de 10 trabajadores	Leves	1	22158	Monzón
2009,0	70	Menos de 10 trabajadores	Leves	1	44013	Alcañiz
2009,0	91	Menos de 10 trabajadores	Leves	1	44216	Teruel
2009,0	45	Menos de 10 trabajadores	Leves	1	50067	Calatayud
2009,0	36	Menos de 10 trabajadores	Leves	1	50074	Caspe
2009,0	95	Menos de 10 trabajadores	Leves	1	50089	Cuarte de Huerva
2009,0	87	Menos de 10 trabajadores	Leves	1	50095	Ejea de los Caballeros
2009,0	50	Menos de 10 trabajadores	Leves	1	50251	Tarazona
2009,0	51	Menos de 10 trabajadores	Leves	1	50272	Utebo
2009,0	1292	Menos de 10 trabajadores	Leves	1	50297	Zaragoza
2008,0	92	Menos de 10 trabajadores	Leves	1	22048	Barbastro
2008,0	100	Menos de 10 trabajadores	Leves	1	22112	Fraga
2008,0	217	Menos de 10 trabajadores	Leves	1	22125	Huesca
2008,0	60	Menos de 10 trabajadores	Leves	1	22130	Jaca
2008,0	70	Menos de 10 trabajadores	Leves	1	22158	Monzón
2008,0	100	Menos de 10 trabajadores	Leves	1	44013	Alcañiz
2008,0	116	Menos de 10 trabajadores	Leves	1	44216	Teruel
2008,0	79	Menos de 10 trabajadores	Leves	1	50067	Calatayud
2008,0	39	Menos de 10 trabajadores	Leves	1	50074	Caspe
2008,0	154	Menos de 10 trabajadores	Leves	1	50089	Cuarte de Huerva
2008,0	94	Menos de 10 trabajadores	Leves	1	50095	Ejea de los Caballeros
2008,0	72	Menos de 10 trabajadores	Leves	1	50251	Tarazona
2008,0	66	Menos de 10 trabajadores	Leves	1	50272	Utebo
2008,0	1791	Menos de 10 trabajadores	Leves	1	50297	Zaragoza
2007,0	103	Menos de 10 trabajadores	Leves	1	22048	Barbastro
2007,0	96	Menos de 10 trabajadores	Leves	1	22112	Fraga
2007,0	242	Menos de 10 trabajadores	Leves	1	22125	Huesca
2007,0	69	Menos de 10 trabajadores	Leves	1	22130	Jaca
2007,0	77	Menos de 10 trabajadores	Leves	1	22158	Monzón
2007,0	100	Menos de 10 trabajadores	Leves	1	44013	Alcañiz
2007,0	141	Menos de 10 trabajadores	Leves	1	44216	Teruel
2007,0	85	Menos de 10 trabajadores	Leves	1	50067	Calatayud
