Año	Comarca Código	Comarca Nombre	Nº Accidentes	Grupo Grado Código	Grupo Grado Código	Régimen Código (2 dígitos)	Régimen (2 dígitos)
2019,0	01	La Jacetania	180	Leves	1	01	General
2019,0	01	La Jacetania	25	Leves	1	05	Trabajadores Autónomos
2019,0	02	Alto Gállego	163	Leves	1	01	General
2019,0	02	Alto Gállego	24	Leves	1	05	Trabajadores Autónomos
2019,0	03	Sobrarbe	58	Leves	1	01	General
2019,0	03	Sobrarbe	5	Leves	1	05	Trabajadores Autónomos
2019,0	04	La Ribagorza	144	Leves	1	01	General
2019,0	04	La Ribagorza	19	Leves	1	05	Trabajadores Autónomos
2019,0	05	Cinco Villas	434	Leves	1	01	General
2019,0	05	Cinco Villas	57	Leves	1	05	Trabajadores Autónomos
2019,0	06	Hoya de Huesca / Plana de Uesca	924	Leves	1	01	General
2019,0	06	Hoya de Huesca / Plana de Uesca	52	Leves	1	05	Trabajadores Autónomos
2019,0	07	Somontano de Barbastro	233	Leves	1	01	General
2019,0	07	Somontano de Barbastro	19	Leves	1	05	Trabajadores Autónomos
2019,0	08	Cinca Medio	419	Leves	1	01	General
2019,0	08	Cinca Medio	25	Leves	1	05	Trabajadores Autónomos
2019,0	09	La Litera / La Llitera	413	Leves	1	01	General
2019,0	09	La Litera / La Llitera	18	Leves	1	05	Trabajadores Autónomos
2019,0	10	Los Monegros	204	Leves	1	01	General
2019,0	10	Los Monegros	16	Leves	1	05	Trabajadores Autónomos
2019,0	11	Bajo Cinca / Baix Cinca	441	Leves	1	01	General
2019,0	11	Bajo Cinca / Baix Cinca	30	Leves	1	05	Trabajadores Autónomos
2019,0	12	Tarazona y el Moncayo	145	Leves	1	01	General
2019,0	12	Tarazona y el Moncayo	16	Leves	1	05	Trabajadores Autónomos
2019,0	13	Campo de Borja	174	Leves	1	01	General
2019,0	13	Campo de Borja	22	Leves	1	05	Trabajadores Autónomos
2019,0	14	Aranda	39	Leves	1	01	General
2019,0	14	Aranda	5	Leves	1	05	Trabajadores Autónomos
2019,0	15	Ribera Alta del Ebro	702	Leves	1	01	General
2019,0	15	Ribera Alta del Ebro	14	Leves	1	05	Trabajadores Autónomos
2019,0	16	Valdejalón	631	Leves	1	01	General
2019,0	16	Valdejalón	23	Leves	1	05	Trabajadores Autónomos
2019,0	16	Valdejalón	1	Leves	1	08	Especial Trabajadores del Mar
2019,0	17	D.C. Zaragoza	7800	Leves	1	01	General
2019,0	17	D.C. Zaragoza	355	Leves	1	05	Trabajadores Autónomos
2019,0	18	Ribera Baja del Ebro	135	Leves	1	01	General
2019,0	18	Ribera Baja del Ebro	4	Leves	1	05	Trabajadores Autónomos
2019,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp	160	Leves	1	01	General
2019,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp	15	Leves	1	05	Trabajadores Autónomos
2019,0	20	Comunidad de Calatayud	300	Leves	1	01	General
2019,0	20	Comunidad de Calatayud	25	Leves	1	05	Trabajadores Autónomos
2019,0	21	Campo de Cariñena	140	Leves	1	01	General
2019,0	21	Campo de Cariñena	17	Leves	1	05	Trabajadores Autónomos
2019,0	22	Campo de Belchite	20	Leves	1	01	General
2019,0	22	Campo de Belchite	4	Leves	1	05	Trabajadores Autónomos
2019,0	23	Bajo Martín	97	Leves	1	01	General
2019,0	23	Bajo Martín	8	Leves	1	05	Trabajadores Autónomos
2019,0	24	Campo de Daroca	50	Leves	1	01	General
2019,0	24	Campo de Daroca	9	Leves	1	05	Trabajadores Autónomos
2019,0	25	Jiloca	98	Leves	1	01	General
2019,0	25	Jiloca	19	Leves	1	05	Trabajadores Autónomos
2019,0	26	Cuencas Mineras	82	Leves	1	01	General
2019,0	26	Cuencas Mineras	11	Leves	1	05	Trabajadores Autónomos
2019,0	27	Andorra-Sierra de Arcos	54	Leves	1	01	General
2019,0	27	Andorra-Sierra de Arcos	6	Leves	1	05	Trabajadores Autónomos
2019,0	27	Andorra-Sierra de Arcos	4	Leves	1	09	Especial Minería del Carbón
2019,0	28	Bajo Aragón	238	Leves	1	01	General
2019,0	28	Bajo Aragón	46	Leves	1	05	Trabajadores Autónomos
2019,0	29	Comunidad de Teruel	606	Leves	1	01	General
2019,0	29	Comunidad de Teruel	40	Leves	1	05	Trabajadores Autónomos
2019,0	30	Maestrazgo	12	Leves	1	01	General
2019,0	30	Maestrazgo	4	Leves	1	05	Trabajadores Autónomos
2019,0	31	Sierra de Albarracín	18	Leves	1	01	General
2019,0	31	Sierra de Albarracín	6	Leves	1	05	Trabajadores Autónomos
2019,0	32	Gúdar-Javalambre	82	Leves	1	01	General
2019,0	32	Gúdar-Javalambre	14	Leves	1	05	Trabajadores Autónomos
2019,0	33	Matarraña / Matarranya	74	Leves	1	01	General
2019,0	33	Matarraña / Matarranya	8	Leves	1	05	Trabajadores Autónomos
2019,0	NC	Municipio del centro de trabajo fuera de Aragón	166	Leves	1	01	General
2019,0	NC	Municipio del centro de trabajo fuera de Aragón	18	Leves	1	05	Trabajadores Autónomos
2015,0	01	La Jacetania	114	Leves	1	01	General
2015,0	01	La Jacetania	6	Leves	1	05	Trabajadores Autónomos
2015,0	02	Alto Gállego	94	Leves	1	01	General
2015,0	02	Alto Gállego	3	Leves	1	05	Trabajadores Autónomos
2015,0	03	Sobrarbe	50	Leves	1	01	General
2015,0	03	Sobrarbe	2	Leves	1	05	Trabajadores Autónomos
