Año	Nº Accidentes	Código	Municipio	Grupo Grado Código	Grupo Grado Código	Régimen Código (2 dígitos)	Régimen (2 dígitos)
2019,0	174	22048	Barbastro	1	Leves	01	General
2019,0	11	22048	Barbastro	1	Leves	05	Trabajadores Autónomos
2019,0	1	22048	Barbastro	3	Mortales	01	General
2019,0	286	22061	Binéfar	1	Leves	01	General
2019,0	8	22061	Binéfar	1	Leves	05	Trabajadores Autónomos
2019,0	1	22061	Binéfar	2	Graves o muy graves	01	General
2019,0	1	22061	Binéfar	3	Mortales	01	General
2019,0	276	22112	Fraga	1	Leves	01	General
2019,0	17	22112	Fraga	1	Leves	05	Trabajadores Autónomos
2019,0	1	22112	Fraga	2	Graves o muy graves	01	General
2019,0	1	22112	Fraga	2	Graves o muy graves	05	Trabajadores Autónomos
2019,0	1	22112	Fraga	3	Mortales	01	General
2019,0	742	22125	Huesca	1	Leves	01	General
2019,0	35	22125	Huesca	1	Leves	05	Trabajadores Autónomos
2019,0	7	22125	Huesca	2	Graves o muy graves	01	General
2019,0	1	22125	Huesca	3	Mortales	01	General
2019,0	123	22130	Jaca	1	Leves	01	General
2019,0	17	22130	Jaca	1	Leves	05	Trabajadores Autónomos
2019,0	1	22130	Jaca	2	Graves o muy graves	05	Trabajadores Autónomos
2019,0	324	22158	Monzón	1	Leves	01	General
2019,0	16	22158	Monzón	1	Leves	05	Trabajadores Autónomos
2019,0	6	22158	Monzón	2	Graves o muy graves	01	General
2019,0	1	22158	Monzón	3	Mortales	01	General
2019,0	84	22199	Sabiñánigo	1	Leves	01	General
2019,0	13	22199	Sabiñánigo	1	Leves	05	Trabajadores Autónomos
2019,0	151	44013	Alcañiz	1	Leves	01	General
2019,0	21	44013	Alcañiz	1	Leves	05	Trabajadores Autónomos
2019,0	2	44013	Alcañiz	2	Graves o muy graves	01	General
2019,0	32	44025	Andorra	1	Leves	01	General
2019,0	4	44025	Andorra	1	Leves	05	Trabajadores Autónomos
2019,0	533	44216	Teruel	1	Leves	01	General
2019,0	21	44216	Teruel	1	Leves	05	Trabajadores Autónomos
2019,0	3	44216	Teruel	2	Graves o muy graves	01	General
2019,0	103	50008	Alagón	1	Leves	01	General
2019,0	4	50008	Alagón	1	Leves	05	Trabajadores Autónomos
2019,0	143	50025	Almunia de Doña Godina (La)	1	Leves	01	General
2019,0	4	50025	Almunia de Doña Godina (La)	1	Leves	05	Trabajadores Autónomos
2019,0	182	50067	Calatayud	1	Leves	01	General
2019,0	9	50067	Calatayud	1	Leves	05	Trabajadores Autónomos
2019,0	87	50074	Caspe	1	Leves	01	General
2019,0	10	50074	Caspe	1	Leves	05	Trabajadores Autónomos
2019,0	1	50074	Caspe	3	Mortales	05	Trabajadores Autónomos
2019,0	216	50089	Cuarte de Huerva	1	Leves	01	General
2019,0	11	50089	Cuarte de Huerva	1	Leves	05	Trabajadores Autónomos
2019,0	3	50089	Cuarte de Huerva	2	Graves o muy graves	01	General
2019,0	1	50089	Cuarte de Huerva	2	Graves o muy graves	05	Trabajadores Autónomos
2019,0	1	50089	Cuarte de Huerva	3	Mortales	01	General
2019,0	266	50095	Ejea de los Caballeros	1	Leves	01	General
2019,0	35	50095	Ejea de los Caballeros	1	Leves	05	Trabajadores Autónomos
2019,0	3	50095	Ejea de los Caballeros	2	Graves o muy graves	01	General
2019,0	1	50095	Ejea de los Caballeros	3	Mortales	01	General
2019,0	35	50163	María de Huerva	1	Leves	01	General
2019,0	1	50163	María de Huerva	1	Leves	05	Trabajadores Autónomos
2019,0	237	50182	Muela (La)	1	Leves	01	General
2019,0	3	50182	Muela (La)	1	Leves	05	Trabajadores Autónomos
2019,0	2	50182	Muela (La)	2	Graves o muy graves	01	General
2019,0	223	50219	Puebla de Alfindén (La)	1	Leves	01	General
2019,0	11	50219	Puebla de Alfindén (La)	1	Leves	05	Trabajadores Autónomos
2019,0	133	50251	Tarazona	1	Leves	01	General
2019,0	13	50251	Tarazona	1	Leves	05	Trabajadores Autónomos
2019,0	123	50252	Tauste	1	Leves	01	General
2019,0	13	50252	Tauste	1	Leves	05	Trabajadores Autónomos
2019,0	2	50252	Tauste	2	Graves o muy graves	01	General
2019,0	265	50272	Utebo	1	Leves	01	General
2019,0	10	50272	Utebo	1	Leves	05	Trabajadores Autónomos
2019,0	2	50272	Utebo	2	Graves o muy graves	01	General
2019,0	6190	50297	Zaragoza	1	Leves	01	General
2019,0	277	50297	Zaragoza	1	Leves	05	Trabajadores Autónomos
2019,0	29	50297	Zaragoza	2	Graves o muy graves	01	General
2019,0	2	50297	Zaragoza	2	Graves o muy graves	05	Trabajadores Autónomos
2019,0	7	50297	Zaragoza	3	Mortales	01	General
2019,0	279	50298	Zuera	1	Leves	01	General
2019,0	22	50298	Zuera	1	Leves	05	Trabajadores Autónomos
2019,0	2	50298	Zuera	2	Graves o muy graves	01	General
2019,0	1	50298	Zuera	2	Graves o muy graves	05	Trabajadores Autónomos
2015,0	161	22048	Barbastro	1	Leves	01	General
2015,0	6	22048	Barbastro	1	Leves	05	Trabajadores Autónomos
2015,0	1	22048	Barbastro	1	Leves	08	Especial Trabajadores del Mar
2015,0	2	22048	Barbastro	2	Graves o muy graves	01	General
2015,0	134	22061	Binéfar	1	Leves	01	General
2015,0	2	22061	Binéfar	1	Leves	05	Trabajadores Autónomos
2015,0	209	22112	Fraga	1	Leves	01	General
2015,0	6	22112	Fraga	1	Leves	05	Trabajadores Autónomos
2015,0	1	22112	Fraga	2	Graves o muy graves	01	General
2015,0	1	22112	Fraga	3	Mortales	05	Trabajadores Autónomos
2015,0	529	22125	Huesca	1	Leves	01	General
2015,0	8	22125	Huesca	1	Leves	05	Trabajadores Autónomos
2015,0	2	22125	Huesca	2	Graves o muy graves	01	General
2015,0	73	22130	Jaca	1	Leves	01	General
2015,0	2	22130	Jaca	1	Leves	05	Trabajadores Autónomos
2015,0	2	22130	Jaca	2	Graves o muy graves	01	General
2015,0	216	22158	Monzón	1	Leves	01	General
2015,0	5	22158	Monzón	1	Leves	05	Trabajadores Autónomos
2015,0	1	22158	Monzón	2	Graves o muy graves	01	General
2015,0	1	22158	Monzón	3	Mortales	01	General
2015,0	39	22199	Sabiñánigo	1	Leves	01	General
2015,0	1	22199	Sabiñánigo	1	Leves	05	Trabajadores Autónomos
2015,0	89	44013	Alcañiz	1	Leves	01	General
2015,0	2	44013	Alcañiz	1	Leves	05	Trabajadores Autónomos
2015,0	45	44025	Andorra	1	Leves	01	General
2015,0	298	44216	Teruel	1	Leves	01	General
2015,0	12	44216	Teruel	1	Leves	05	Trabajadores Autónomos
2015,0	3	44216	Teruel	2	Graves o muy graves	01	General
2015,0	49	50008	Alagón	1	Leves	01	General
2015,0	102	50025	Almunia de Doña Godina (La)	1	Leves	01	General
2015,0	2	50025	Almunia de Doña Godina (La)	1	Leves	05	Trabajadores Autónomos
2015,0	141	50067	Calatayud	1	Leves	01	General
2015,0	6	50067	Calatayud	1	Leves	05	Trabajadores Autónomos
2015,0	2	50067	Calatayud	2	Graves o muy graves	01	General
2015,0	83	50074	Caspe	1	Leves	01	General
2015,0	1	50074	Caspe	3	Mortales	01	General
2015,0	170	50089	Cuarte de Huerva	1	Leves	01	General
2015,0	5	50089	Cuarte de Huerva	1	Leves	05	Trabajadores Autónomos
2015,0	1	50089	Cuarte de Huerva	2	Graves o muy graves	01	General
2015,0	1	50089	Cuarte de Huerva	3	Mortales	01	General
2015,0	200	50095	Ejea de los Caballeros	1	Leves	01	General
2015,0	2	50095	Ejea de los Caballeros	1	Leves	05	Trabajadores Autónomos
2015,0	1	50095	Ejea de los Caballeros	2	Graves o muy graves	01	General
2015,0	1	50095	Ejea de los Caballeros	3	Mortales	01	General
2015,0	31	50163	María de Huerva	1	Leves	01	General
2015,0	5	50163	María de Huerva	1	Leves	05	Trabajadores Autónomos
2015,0	164	50182	Muela (La)	1	Leves	01	General
2015,0	4	50182	Muela (La)	1	Leves	05	Trabajadores Autónomos
2015,0	3	50182	Muela (La)	2	Graves o muy graves	01	General
2015,0	184	50219	Puebla de Alfindén (La)	1	Leves	01	General
2015,0	2	50219	Puebla de Alfindén (La)	1	Leves	05	Trabajadores Autónomos
2015,0	1	50219	Puebla de Alfindén (La)	2	Graves o muy graves	01	General
2015,0	104	50251	Tarazona	1	Leves	01	General
2015,0	2	50251	Tarazona	1	Leves	05	Trabajadores Autónomos
2015,0	1	50251	Tarazona	2	Graves o muy graves	01	General
