Año	Nº Accidentes	División (2 dígitos) Código	División (2 dígitos) Descripción	CCAA
2019,0	616	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	Aragón
2019,0	509	87	Asistencia en establecimientos residenciales	Aragón
2019,0	478	56	Servicios de comidas y bebidas	Aragón
2019,0	423	86	Actividades sanitarias	Aragón
2019,0	324	10	Industria de la alimentación	Aragón
2019,0	282	84	Administración Pública y defensa; Seguridad Social obligatoria	Aragón
2019,0	168	81	Servicios a edificios y actividades de jardinería	Aragón
2019,0	154	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	Aragón
2019,0	137	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	Aragón
2019,0	133	29	Fabricación de vehículos de motor, remolques y semirremolques	Aragón
2015,0	546	86	Actividades sanitarias	Aragón
2015,0	478	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	Aragón
2015,0	437	87	Asistencia en establecimientos residenciales	Aragón
2015,0	383	56	Servicios de comidas y bebidas	Aragón
2015,0	305	84	Administración Pública y defensa; Seguridad Social obligatoria	Aragón
2015,0	157	81	Servicios a edificios y actividades de jardinería	Aragón
2015,0	130	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	Aragón
2015,0	119	10	Industria de la alimentación	Aragón
2015,0	113	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	Aragón
2015,0	100	55	Servicios de alojamiento	Aragón
2014,0	476	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	Aragón
2014,0	446	86	Actividades sanitarias	Aragón
2014,0	389	87	Asistencia en establecimientos residenciales	Aragón
2014,0	342	56	Servicios de comidas y bebidas	Aragón
2014,0	293	84	Administración Pública y defensa; Seguridad Social obligatoria	Aragón
2014,0	139	81	Servicios a edificios y actividades de jardinería	Aragón
2014,0	123	10	Industria de la alimentación	Aragón
2014,0	122	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	Aragón
2014,0	107	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	Aragón
2014,0	92	52	Almacenamiento y actividades anexas al transporte	Aragón
2013,0	486	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	Aragón
2013,0	467	86	Actividades sanitarias	Aragón
2013,0	399	87	Asistencia en establecimientos residenciales	Aragón
2013,0	313	56	Servicios de comidas y bebidas	Aragón
2013,0	300	84	Administración Pública y defensa; Seguridad Social obligatoria	Aragón
2013,0	139	10	Industria de la alimentación	Aragón
2013,0	127	81	Servicios a edificios y actividades de jardinería	Aragón
2013,0	122	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	Aragón
2013,0	88	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	Aragón
2013,0	71	55	Servicios de alojamiento	Aragón
2012,0	505	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	Aragón
2012,0	333	86	Actividades sanitarias	Aragón
2012,0	316	87	Asistencia en establecimientos residenciales	Aragón
2012,0	293	56	Servicios de comidas y bebidas	Aragón
2012,0	208	84	Administración Pública y defensa; Seguridad Social obligatoria	Aragón
2012,0	157	81	Servicios a edificios y actividades de jardinería	Aragón
2012,0	113	10	Industria de la alimentación	Aragón
2012,0	109	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	Aragón
2012,0	77	85	Educación	Aragón
2012,0	64	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	Aragón
2012,0	64	55	Servicios de alojamiento	Aragón
2011,0	583	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	Aragón
2011,0	403	56	Servicios de comidas y bebidas	Aragón
2011,0	391	86	Actividades sanitarias	Aragón
2011,0	360	87	Asistencia en establecimientos residenciales	Aragón
2011,0	261	84	Administración Pública y defensa; Seguridad Social obligatoria	Aragón
2011,0	201	81	Servicios a edificios y actividades de jardinería	Aragón
2011,0	155	10	Industria de la alimentación	Aragón
2011,0	143	29	Fabricación de vehículos de motor, remolques y semirremolques	Aragón
2011,0	123	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	Aragón
2011,0	83	55	Servicios de alojamiento	Aragón
2010,0	702	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	Aragón
2010,0	399	86	Actividades sanitarias	Aragón
2010,0	351	56	Servicios de comidas y bebidas	Aragón
2010,0	323	87	Asistencia en establecimientos residenciales	Aragón
2010,0	264	84	Administración Pública y defensa; Seguridad Social obligatoria	Aragón
2010,0	209	81	Servicios a edificios y actividades de jardinería	Aragón
2010,0	148	22	Fabricación de productos de caucho y plásticos	Aragón
2010,0	140	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	Aragón
2010,0	135	10	Industria de la alimentación	Aragón
2010,0	124	85	Educación	Aragón
2009,0	693	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	Aragón
2009,0	408	86	Actividades sanitarias	Aragón
2009,0	396	56	Servicios de comidas y bebidas	Aragón
2009,0	293	87	Asistencia en establecimientos residenciales	Aragón
2009,0	246	84	Administración Pública y defensa; Seguridad Social obligatoria	Aragón
2009,0	243	81	Servicios a edificios y actividades de jardinería	Aragón
2009,0	162	10	Industria de la alimentación	Aragón
2009,0	132	88	Actividades de servicios sociales sin alojamiento	Aragón
2009,0	120	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	Aragón
2009,0	116	22	Fabricación de productos de caucho y plásticos	Aragón
