Año	Nº Accidentes	División (2 dígitos) Código	División (2 dígitos) Descripción	CCAA
2008,0	912	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	Aragón
2008,0	888	85	Actividades sanitarias y veterinarias, servicio social	Aragón
2007,0	874	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	Aragón
2007,0	842	85	Actividades sanitarias y veterinarias, servicio social	Aragón
2005,0	811	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	Aragón
2006,0	808	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	Aragón
2008,0	758	55	Hostelería	Aragón
2003,0	736	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	Aragón
2004,0	704	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	Aragón
2005,0	695	85	Actividades sanitarias y veterinarias, servicio social	Aragón
2006,0	679	85	Actividades sanitarias y veterinarias, servicio social	Aragón
2007,0	651	55	Hostelería	Aragón
2004,0	634	85	Actividades sanitarias y veterinarias, servicio social	Aragón
2006,0	585	55	Hostelería	Aragón
2005,0	543	55	Hostelería	Aragón
2003,0	520	55	Hostelería	Aragón
2003,0	514	85	Actividades sanitarias y veterinarias, servicio social	Aragón
2004,0	478	55	Hostelería	Aragón
2003,0	445	74	Otras actividades empresariales	Aragón
2008,0	437	74	Otras actividades empresariales	Aragón
2007,0	365	74	Otras actividades empresariales	Aragón
2005,0	362	75	Administración pública, defensa y seguridad social obligatoria	Aragón
2006,0	351	75	Administración pública, defensa y seguridad social obligatoria	Aragón
2004,0	343	74	Otras actividades empresariales	Aragón
2006,0	325	74	Otras actividades empresariales	Aragón
2005,0	314	74	Otras actividades empresariales	Aragón
2008,0	299	75	Administración pública, defensa y seguridad social obligatoria	Aragón
2007,0	298	75	Administración pública, defensa y seguridad social obligatoria	Aragón
2006,0	294	15	Industria de productos alimenticios y bebidas	Aragón
2007,0	288	15	Industria de productos alimenticios y bebidas	Aragón
2003,0	271	75	Administración pública, defensa y seguridad social obligatoria	Aragón
2004,0	269	75	Administración pública, defensa y seguridad social obligatoria	Aragón
2007,0	255	25	Fabricacion de productos de caucho y materias plasticas	Aragón
2006,0	253	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	Aragón
2008,0	248	15	Industria de productos alimenticios y bebidas	Aragón
2005,0	245	15	Industria de productos alimenticios y bebidas	Aragón
2005,0	242	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	Aragón
2006,0	236	25	Fabricacion de productos de caucho y materias plasticas	Aragón
2007,0	230	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	Aragón
2004,0	219	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	Aragón
2008,0	214	25	Fabricacion de productos de caucho y materias plasticas	Aragón
2008,0	214	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	Aragón
2003,0	208	15	Industria de productos alimenticios y bebidas	Aragón
2004,0	202	15	Industria de productos alimenticios y bebidas	Aragón
2003,0	197	34	Fabricación de vehículos de motor, remolques y semirremolques	Aragón
2004,0	193	34	Fabricación de vehículos de motor, remolques y semirremolques	Aragón
2007,0	192	34	Fabricación de vehículos de motor, remolques y semirremolques	Aragón
2003,0	190	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	Aragón
2006,0	161	34	Fabricación de vehículos de motor, remolques y semirremolques	Aragón
2005,0	161	25	Fabricacion de productos de caucho y materias plasticas	Aragón
2008,0	154	34	Fabricación de vehículos de motor, remolques y semirremolques	Aragón
2005,0	145	34	Fabricación de vehículos de motor, remolques y semirremolques	Aragón
2007,0	140	31	Fabricación de maquinaria y material eléctrico	Aragón
2005,0	135	31	Fabricación de maquinaria y material eléctrico	Aragón
2004,0	134	31	Fabricación de maquinaria y material eléctrico	Aragón
2004,0	132	25	Fabricacion de productos de caucho y materias plasticas	Aragón
2003,0	127	25	Fabricacion de productos de caucho y materias plasticas	Aragón
2008,0	122	80	Educación	Aragón
2006,0	122	31	Fabricación de maquinaria y material eléctrico	Aragón
2003,0	101	31	Fabricación de maquinaria y material eléctrico	Aragón
