Año	Nº Accidentes	División (2 dígitos) Código	División (2 dígitos) Descripción	Comarca Código	Comarca Nombre	Comarca Código
2008,0	628	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	17	D.C. Zaragoza	17
2008,0	605	85	Actividades sanitarias y veterinarias, servicio social	17	D.C. Zaragoza	17
2007,0	590	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	17	D.C. Zaragoza	17
2007,0	587	85	Actividades sanitarias y veterinarias, servicio social	17	D.C. Zaragoza	17
2006,0	582	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	17	D.C. Zaragoza	17
2005,0	564	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	17	D.C. Zaragoza	17
2005,0	535	85	Actividades sanitarias y veterinarias, servicio social	17	D.C. Zaragoza	17
2004,0	522	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	17	D.C. Zaragoza	17
2003,0	512	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	17	D.C. Zaragoza	17
2006,0	492	85	Actividades sanitarias y veterinarias, servicio social	17	D.C. Zaragoza	17
2004,0	477	85	Actividades sanitarias y veterinarias, servicio social	17	D.C. Zaragoza	17
2008,0	476	55	Hostelería	17	D.C. Zaragoza	17
2007,0	398	55	Hostelería	17	D.C. Zaragoza	17
2003,0	391	85	Actividades sanitarias y veterinarias, servicio social	17	D.C. Zaragoza	17
2003,0	359	74	Otras actividades empresariales	17	D.C. Zaragoza	17
2006,0	354	55	Hostelería	17	D.C. Zaragoza	17
2005,0	344	55	Hostelería	17	D.C. Zaragoza	17
2003,0	331	55	Hostelería	17	D.C. Zaragoza	17
2008,0	324	74	Otras actividades empresariales	17	D.C. Zaragoza	17
2004,0	308	55	Hostelería	17	D.C. Zaragoza	17
2007,0	289	74	Otras actividades empresariales	17	D.C. Zaragoza	17
2004,0	278	74	Otras actividades empresariales	17	D.C. Zaragoza	17
2005,0	258	74	Otras actividades empresariales	17	D.C. Zaragoza	17
2006,0	255	74	Otras actividades empresariales	17	D.C. Zaragoza	17
2005,0	205	75	Administración pública, defensa y seguridad social obligatoria	17	D.C. Zaragoza	17
2006,0	179	75	Administración pública, defensa y seguridad social obligatoria	17	D.C. Zaragoza	17
2004,0	150	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	17	D.C. Zaragoza	17
2007,0	136	75	Administración pública, defensa y seguridad social obligatoria	17	D.C. Zaragoza	17
2003,0	136	75	Administración pública, defensa y seguridad social obligatoria	17	D.C. Zaragoza	17
