Año	Sexo	Nº Accidentes	Grupo Grado Código	Grupo Grado Código	CCAA
2019,0	Hombres	3	3	Mortales	Aragón
2019,0	Hombres	14	2	Graves o muy graves	Aragón
2019,0	Hombres	894	1	Leves	Aragón
2019,0	Mujeres	2	2	Graves o muy graves	Aragón
2019,0	Mujeres	1265	1	Leves	Aragón
2015,0	Hombres	10	2	Graves o muy graves	Aragón
2015,0	Hombres	629	1	Leves	Aragón
2015,0	Mujeres	1	3	Mortales	Aragón
2015,0	Mujeres	7	2	Graves o muy graves	Aragón
2015,0	Mujeres	982	1	Leves	Aragón
2014,0	Hombres	3	3	Mortales	Aragón
2014,0	Hombres	8	2	Graves o muy graves	Aragón
2014,0	Hombres	583	1	Leves	Aragón
2014,0	Mujeres	954	1	Leves	Aragón
2013,0	Hombres	3	3	Mortales	Aragón
2013,0	Hombres	9	2	Graves o muy graves	Aragón
2013,0	Hombres	624	1	Leves	Aragón
2013,0	Mujeres	1	3	Mortales	Aragón
2013,0	Mujeres	6	2	Graves o muy graves	Aragón
2013,0	Mujeres	972	1	Leves	Aragón
2012,0	Hombres	6	2	Graves o muy graves	Aragón
2012,0	Hombres	516	1	Leves	Aragón
2012,0	Mujeres	2	2	Graves o muy graves	Aragón
2012,0	Mujeres	846	1	Leves	Aragón
2011,0	Hombres	4	3	Mortales	Aragón
2011,0	Hombres	16	2	Graves o muy graves	Aragón
2011,0	Hombres	681	1	Leves	Aragón
2011,0	Mujeres	1	2	Graves o muy graves	Aragón
2011,0	Mujeres	932	1	Leves	Aragón
2010,0	Hombres	6	3	Mortales	Aragón
2010,0	Hombres	28	2	Graves o muy graves	Aragón
2010,0	Hombres	834	1	Leves	Aragón
2010,0	Mujeres	9	2	Graves o muy graves	Aragón
2010,0	Mujeres	1056	1	Leves	Aragón
2009,0	Hombres	7	3	Mortales	Aragón
2009,0	Hombres	12	2	Graves o muy graves	Aragón
2009,0	Hombres	791	1	Leves	Aragón
2009,0	Mujeres	6	2	Graves o muy graves	Aragón
2009,0	Mujeres	1017	1	Leves	Aragón
