Año	Nº Accidentes	Grupo Grado Código	Grupo Grado Código	Régimen Código (2 dígitos)	Régimen (2 dígitos)	CCAA
2019,0	2103	Leves	1	01	General	Aragón
2019,0	56	Leves	1	05	Trabajadores Autónomos	Aragón
2015,0	1607	Leves	1	01	General	Aragón
2015,0	4	Leves	1	05	Trabajadores Autónomos	Aragón
2014,0	1532	Leves	1	01	General	Aragón
2014,0	5	Leves	1	05	Trabajadores Autónomos	Aragón
2013,0	1595	Leves	1	01	General	Aragón
2013,0	1	Leves	1	05	Trabajadores Autónomos	Aragón
2012,0	1357	Leves	1	01	General	Aragón
2012,0	1	Leves	1	05	Trabajadores Autónomos	Aragón
2012,0	4	Leves	1	06	Especial Agrario Cuenta Ajena	Aragón
2011,0	1599	Leves	1	01	General	Aragón
2011,0	2	Leves	1	05	Trabajadores Autónomos	Aragón
2011,0	12	Leves	1	06	Especial Agrario Cuenta Ajena	Aragón
2010,0	1876	Leves	1	01	General	Aragón
2010,0	2	Leves	1	05	Trabajadores Autónomos	Aragón
2010,0	11	Leves	1	06	Especial Agrario Cuenta Ajena	Aragón
2010,0	1	Leves	1	09	Especial Minería del Carbón	Aragón
2009,0	1783	Leves	1	01	General	Aragón
2009,0	4	Leves	1	05	Trabajadores Autónomos	Aragón
2009,0	20	Leves	1	06	Especial Agrario Cuenta Ajena	Aragón
2009,0	1	Leves	1	09	Especial Minería del Carbón	Aragón
2019,0	14	Graves o muy graves	2	01	General	Aragón
2019,0	2	Graves o muy graves	2	05	Trabajadores Autónomos	Aragón
2015,0	17	Graves o muy graves	2	01	General	Aragón
2014,0	8	Graves o muy graves	2	01	General	Aragón
2013,0	14	Graves o muy graves	2	01	General	Aragón
2013,0	1	Graves o muy graves	2	05	Trabajadores Autónomos	Aragón
2012,0	8	Graves o muy graves	2	01	General	Aragón
2011,0	15	Graves o muy graves	2	01	General	Aragón
2011,0	2	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena	Aragón
2010,0	36	Graves o muy graves	2	01	General	Aragón
2010,0	1	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena	Aragón
2009,0	18	Graves o muy graves	2	01	General	Aragón
2019,0	2	Mortales	3	01	General	Aragón
2019,0	1	Mortales	3	05	Trabajadores Autónomos	Aragón
2015,0	1	Mortales	3	01	General	Aragón
2014,0	3	Mortales	3	01	General	Aragón
2013,0	4	Mortales	3	01	General	Aragón
2011,0	4	Mortales	3	01	General	Aragón
2010,0	5	Mortales	3	01	General	Aragón
2010,0	1	Mortales	3	06	Especial Agrario Cuenta Ajena	Aragón
2009,0	6	Mortales	3	01	General	Aragón
2009,0	1	Mortales	3	06	Especial Agrario Cuenta Ajena	Aragón
