Año	Temporalidad	Sector Código	Sector Descripción	Nº Accidentes	CCAA
2019,0	Indefinido	1	Agricultura, ganadería y pesca	20	Aragón
2019,0	Temporal	1	Agricultura, ganadería y pesca	32	Aragón
2019,0	Sin clasificar	1	Agricultura, ganadería y pesca	3	Aragón
2019,0	Indefinido	2	Industria y energía	273	Aragón
2019,0	Temporal	2	Industria y energía	140	Aragón
2019,0	Sin clasificar	2	Industria y energía	9	Aragón
2019,0	Indefinido	3	Construcción	55	Aragón
2019,0	Temporal	3	Construcción	39	Aragón
2019,0	Sin clasificar	3	Construcción	5	Aragón
2019,0	Indefinido	4	Servicios	966	Aragón
2019,0	Temporal	4	Servicios	594	Aragón
2019,0	Sin clasificar	4	Servicios	42	Aragón
2015,0	Indefinido	1	Agricultura, ganadería y pesca	14	Aragón
2015,0	Temporal	1	Agricultura, ganadería y pesca	17	Aragón
2015,0	Sin clasificar	1	Agricultura, ganadería y pesca	2	Aragón
2015,0	Indefinido	2	Industria y energía	171	Aragón
2015,0	Temporal	2	Industria y energía	73	Aragón
2015,0	Indefinido	3	Construcción	16	Aragón
2015,0	Temporal	3	Construcción	31	Aragón
2015,0	Sin clasificar	3	Construcción	1	Aragón
2015,0	Indefinido	4	Servicios	898	Aragón
2015,0	Temporal	4	Servicios	405	Aragón
2015,0	Sin clasificar	4	Servicios	1	Aragón
2014,0	Indefinido	1	Agricultura, ganadería y pesca	13	Aragón
2014,0	Temporal	1	Agricultura, ganadería y pesca	31	Aragón
2014,0	Indefinido	2	Industria y energía	136	Aragón
2014,0	Temporal	2	Industria y energía	48	Aragón
2014,0	Indefinido	3	Construcción	38	Aragón
2014,0	Temporal	3	Construcción	20	Aragón
2014,0	Sin clasificar	3	Construcción	2	Aragón
2014,0	Indefinido	4	Servicios	871	Aragón
2014,0	Temporal	4	Servicios	386	Aragón
2014,0	Sin clasificar	4	Servicios	3	Aragón
2013,0	Indefinido	1	Agricultura, ganadería y pesca	22	Aragón
2013,0	Temporal	1	Agricultura, ganadería y pesca	26	Aragón
2013,0	Sin clasificar	1	Agricultura, ganadería y pesca	1	Aragón
2013,0	Indefinido	2	Industria y energía	177	Aragón
2013,0	Temporal	2	Industria y energía	40	Aragón
2013,0	Indefinido	3	Construcción	31	Aragón
2013,0	Temporal	3	Construcción	20	Aragón
2013,0	Indefinido	4	Servicios	920	Aragón
2013,0	Temporal	4	Servicios	377	Aragón
2013,0	Sin clasificar	4	Servicios	1	Aragón
2012,0	Indefinido	1	Agricultura, ganadería y pesca	6	Aragón
2012,0	Temporal	1	Agricultura, ganadería y pesca	6	Aragón
2012,0	Indefinido	2	Industria y energía	166	Aragón
2012,0	Temporal	2	Industria y energía	49	Aragón
2012,0	Indefinido	3	Construcción	45	Aragón
2012,0	Temporal	3	Construcción	23	Aragón
2012,0	Indefinido	4	Servicios	728	Aragón
2012,0	Temporal	4	Servicios	346	Aragón
2012,0	Sin clasificar	4	Servicios	1	Aragón
2011,0	Indefinido	1	Agricultura, ganadería y pesca	7	Aragón
2011,0	Temporal	1	Agricultura, ganadería y pesca	24	Aragón
2011,0	Indefinido	2	Industria y energía	222	Aragón
2011,0	Temporal	2	Industria y energía	65	Aragón
2011,0	Indefinido	3	Construcción	43	Aragón
2011,0	Temporal	3	Construcción	49	Aragón
2011,0	Indefinido	4	Servicios	841	Aragón
2011,0	Temporal	4	Servicios	381	Aragón
2011,0	Sin clasificar	4	Servicios	2	Aragón
2010,0	Indefinido	1	Agricultura, ganadería y pesca	15	Aragón
2010,0	Temporal	1	Agricultura, ganadería y pesca	20	Aragón
2010,0	Sin clasificar	1	Agricultura, ganadería y pesca	2	Aragón
2010,0	Indefinido	2	Industria y energía	292	Aragón
2010,0	Temporal	2	Industria y energía	83	Aragón
2010,0	Indefinido	3	Construcción	60	Aragón
2010,0	Temporal	3	Construcción	72	Aragón
2010,0	Indefinido	4	Servicios	914	Aragón
2010,0	Temporal	4	Servicios	475	Aragón
2009,0	Indefinido	1	Agricultura, ganadería y pesca	15	Aragón
2009,0	Temporal	1	Agricultura, ganadería y pesca	18	Aragón
2009,0	Indefinido	2	Industria y energía	239	Aragón
2009,0	Temporal	2	Industria y energía	84	Aragón
2009,0	Indefinido	3	Construcción	76	Aragón
2009,0	Temporal	3	Construcción	88	Aragón
2009,0	Sin clasificar	3	Construcción	1	Aragón
2009,0	Indefinido	4	Servicios	883	Aragón
2009,0	Temporal	4	Servicios	426	Aragón
2009,0	Sin clasificar	4	Servicios	3	Aragón
