Año	Nº Accidentes	Grupo	Descripción Ocupación	Sexo	CCAA
2019,0	19	1	Directores y gerentes	Hombres	Aragón
2019,0	6	1	Directores y gerentes	Mujeres	Aragón
2015,0	7	1	Directores y gerentes	Hombres	Aragón
2015,0	4	1	Directores y gerentes	Mujeres	Aragón
2014,0	4	1	Directores y gerentes	Hombres	Aragón
2014,0	9	1	Directores y gerentes	Mujeres	Aragón
2013,0	8	1	Directores y gerentes	Hombres	Aragón
2013,0	6	1	Directores y gerentes	Mujeres	Aragón
2012,0	7	1	Directores y gerentes	Hombres	Aragón
2012,0	3	1	Directores y gerentes	Mujeres	Aragón
2011,0	18	1	Directores y gerentes	Hombres	Aragón
2011,0	8	1	Directores y gerentes	Mujeres	Aragón
2019,0	57	2	Técnicos y profesionales científicos e intelectuales	Hombres	Aragón
2019,0	183	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Aragón
2015,0	41	2	Técnicos y profesionales científicos e intelectuales	Hombres	Aragón
2015,0	126	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Aragón
2014,0	37	2	Técnicos y profesionales científicos e intelectuales	Hombres	Aragón
2014,0	129	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Aragón
2013,0	29	2	Técnicos y profesionales científicos e intelectuales	Hombres	Aragón
2013,0	164	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Aragón
2012,0	29	2	Técnicos y profesionales científicos e intelectuales	Hombres	Aragón
2012,0	134	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Aragón
2011,0	34	2	Técnicos y profesionales científicos e intelectuales	Hombres	Aragón
2011,0	132	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Aragón
2019,0	56	3	Técnicos; profesionales de apoyo	Hombres	Aragón
2019,0	79	3	Técnicos; profesionales de apoyo	Mujeres	Aragón
2015,0	50	3	Técnicos; profesionales de apoyo	Hombres	Aragón
2015,0	38	3	Técnicos; profesionales de apoyo	Mujeres	Aragón
2014,0	49	3	Técnicos; profesionales de apoyo	Hombres	Aragón
2014,0	49	3	Técnicos; profesionales de apoyo	Mujeres	Aragón
2013,0	42	3	Técnicos; profesionales de apoyo	Hombres	Aragón
2013,0	68	3	Técnicos; profesionales de apoyo	Mujeres	Aragón
2012,0	39	3	Técnicos; profesionales de apoyo	Hombres	Aragón
2012,0	44	3	Técnicos; profesionales de apoyo	Mujeres	Aragón
2011,0	39	3	Técnicos; profesionales de apoyo	Hombres	Aragón
2011,0	47	3	Técnicos; profesionales de apoyo	Mujeres	Aragón
2019,0	64	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Aragón
2019,0	214	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Aragón
2015,0	51	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Aragón
2015,0	185	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Aragón
2014,0	49	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Aragón
2014,0	205	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Aragón
2013,0	62	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Aragón
2013,0	196	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Aragón
2012,0	47	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Aragón
2012,0	158	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Aragón
2011,0	45	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Aragón
2011,0	177	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Aragón
2019,0	142	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Aragón
2019,0	445	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Aragón
2015,0	120	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Aragón
2015,0	384	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Aragón
2014,0	110	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Aragón
2014,0	332	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Aragón
2013,0	124	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Aragón
2013,0	329	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Aragón
2012,0	93	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Aragón
2012,0	301	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Aragón
2011,0	118	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Aragón
2011,0	305	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Aragón
2019,0	17	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Aragón
2019,0	2	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Aragón
2015,0	6	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Aragón
2015,0	1	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Aragón
2014,0	6	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Aragón
2014,0	1	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Aragón
2013,0	16	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Aragón
2013,0	3	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Aragón
2012,0	2	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Aragón
2012,0	2	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Aragón
2011,0	9	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Aragón
2011,0	3	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Aragón
2019,0	204	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Aragón
2019,0	34	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Aragón
2015,0	106	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Aragón
2015,0	27	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Aragón
2014,0	108	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Aragón
