Año	Nº Accidentes	Grupo	Descripción Ocupación	Sexo	Comarca Código	Comarca Nombre
2019,0	1	1	Directores y gerentes	Hombres	02	Alto Gállego
2019,0	1	1	Directores y gerentes	Mujeres	07	Somontano de Barbastro
2019,0	2	1	Directores y gerentes	Hombres	15	Ribera Alta del Ebro
2019,0	14	1	Directores y gerentes	Hombres	17	D.C. Zaragoza
2019,0	5	1	Directores y gerentes	Mujeres	17	D.C. Zaragoza
2019,0	1	1	Directores y gerentes	Hombres	21	Campo de Cariñena
2019,0	1	1	Directores y gerentes	Hombres	33	Matarraña / Matarranya
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	02	Alto Gállego
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	03	Sobrarbe
2019,0	3	2	Técnicos y profesionales científicos e intelectuales	Hombres	05	Cinco Villas
2019,0	8	2	Técnicos y profesionales científicos e intelectuales	Mujeres	05	Cinco Villas
2019,0	4	2	Técnicos y profesionales científicos e intelectuales	Hombres	06	Hoya de Huesca / Plana de Uesca
2019,0	12	2	Técnicos y profesionales científicos e intelectuales	Mujeres	06	Hoya de Huesca / Plana de Uesca
2019,0	8	2	Técnicos y profesionales científicos e intelectuales	Mujeres	07	Somontano de Barbastro
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	08	Cinca Medio
2019,0	2	2	Técnicos y profesionales científicos e intelectuales	Mujeres	10	Los Monegros
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	12	Tarazona y el Moncayo
2019,0	2	2	Técnicos y profesionales científicos e intelectuales	Mujeres	15	Ribera Alta del Ebro
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	16	Valdejalón
2019,0	2	2	Técnicos y profesionales científicos e intelectuales	Mujeres	16	Valdejalón
2019,0	41	2	Técnicos y profesionales científicos e intelectuales	Hombres	17	D.C. Zaragoza
2019,0	129	2	Técnicos y profesionales científicos e intelectuales	Mujeres	17	D.C. Zaragoza
2019,0	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	20	Comunidad de Calatayud
2019,0	6	2	Técnicos y profesionales científicos e intelectuales	Mujeres	20	Comunidad de Calatayud
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	23	Bajo Martín
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	24	Campo de Daroca
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	25	Jiloca
2019,0	3	2	Técnicos y profesionales científicos e intelectuales	Mujeres	25	Jiloca
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	26	Cuencas Mineras
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	27	Andorra-Sierra de Arcos
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	28	Bajo Aragón
2019,0	2	2	Técnicos y profesionales científicos e intelectuales	Mujeres	28	Bajo Aragón
2019,0	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	29	Comunidad de Teruel
2019,0	2	2	Técnicos y profesionales científicos e intelectuales	Mujeres	29	Comunidad de Teruel
2019,0	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	NC	Municipio del centro de trabajo fuera de Aragón
2019,0	1	3	Técnicos; profesionales de apoyo	Mujeres	02	Alto Gállego
2019,0	1	3	Técnicos; profesionales de apoyo	Hombres	04	La Ribagorza
2019,0	2	3	Técnicos; profesionales de apoyo	Mujeres	05	Cinco Villas
2019,0	2	3	Técnicos; profesionales de apoyo	Hombres	06	Hoya de Huesca / Plana de Uesca
2019,0	1	3	Técnicos; profesionales de apoyo	Hombres	08	Cinca Medio
2019,0	1	3	Técnicos; profesionales de apoyo	Mujeres	09	La Litera / La Llitera
2019,0	1	3	Técnicos; profesionales de apoyo	Hombres	12	Tarazona y el Moncayo
2019,0	4	3	Técnicos; profesionales de apoyo	Mujeres	12	Tarazona y el Moncayo
2019,0	3	3	Técnicos; profesionales de apoyo	Hombres	15	Ribera Alta del Ebro
2019,0	1	3	Técnicos; profesionales de apoyo	Mujeres	15	Ribera Alta del Ebro
2019,0	1	3	Técnicos; profesionales de apoyo	Hombres	16	Valdejalón
2019,0	3	3	Técnicos; profesionales de apoyo	Mujeres	16	Valdejalón
2019,0	41	3	Técnicos; profesionales de apoyo	Hombres	17	D.C. Zaragoza
2019,0	62	3	Técnicos; profesionales de apoyo	Mujeres	17	D.C. Zaragoza
2019,0	1	3	Técnicos; profesionales de apoyo	Mujeres	18	Ribera Baja del Ebro
2019,0	1	3	Técnicos; profesionales de apoyo	Mujeres	20	Comunidad de Calatayud
2019,0	1	3	Técnicos; profesionales de apoyo	Mujeres	28	Bajo Aragón
2019,0	5	3	Técnicos; profesionales de apoyo	Hombres	29	Comunidad de Teruel
2019,0	2	3	Técnicos; profesionales de apoyo	Mujeres	29	Comunidad de Teruel
2019,0	1	3	Técnicos; profesionales de apoyo	Hombres	NC	Municipio del centro de trabajo fuera de Aragón
2019,0	1	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	01	La Jacetania
2019,0	2	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	02	Alto Gállego
2019,0	2	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	02	Alto Gállego
2019,0	1	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	05	Cinco Villas
2019,0	1	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	05	Cinco Villas
2019,0	3	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	06	Hoya de Huesca / Plana de Uesca
2019,0	12	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	06	Hoya de Huesca / Plana de Uesca
2019,0	2	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	08	Cinca Medio
2019,0	3	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	09	La Litera / La Llitera
2019,0	2	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	11	Bajo Cinca / Baix Cinca
2019,0	1	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	12	Tarazona y el Moncayo
2019,0	1	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	13	Campo de Borja
2019,0	2	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	15	Ribera Alta del Ebro
2019,0	2	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	15	Ribera Alta del Ebro
2019,0	1	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	16	Valdejalón
2019,0	3	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	16	Valdejalón
2019,0	50	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	17	D.C. Zaragoza
2019,0	172	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	17	D.C. Zaragoza
2019,0	1	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	18	Ribera Baja del Ebro
2019,0	1	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	18	Ribera Baja del Ebro
2019,0	2	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	20	Comunidad de Calatayud
2019,0	5	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	20	Comunidad de Calatayud
2019,0	1	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	25	Jiloca
2019,0	1	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	28	Bajo Aragón
2019,0	1	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	29	Comunidad de Teruel
2019,0	4	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	29	Comunidad de Teruel
2019,0	1	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	NC	Municipio del centro de trabajo fuera de Aragón
2019,0	2	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	01	La Jacetania
2019,0	1	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	02	Alto Gállego
2019,0	2	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	03	Sobrarbe
2019,0	2	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	04	La Ribagorza
2019,0	1	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	04	La Ribagorza
2019,0	1	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	05	Cinco Villas
2019,0	2	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	05	Cinco Villas
2019,0	11	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	06	Hoya de Huesca / Plana de Uesca
2019,0	21	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	06	Hoya de Huesca / Plana de Uesca
2019,0	8	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	07	Somontano de Barbastro
2019,0	1	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	08	Cinca Medio
2019,0	3	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	08	Cinca Medio
2019,0	1	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	09	La Litera / La Llitera
2019,0	5	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	09	La Litera / La Llitera
2019,0	5	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	10	Los Monegros
2019,0	1	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	11	Bajo Cinca / Baix Cinca
2019,0	3	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	11	Bajo Cinca / Baix Cinca
2019,0	1	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	13	Campo de Borja
2019,0	1	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	14	Aranda
2019,0	9	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	15	Ribera Alta del Ebro
2019,0	5	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	16	Valdejalón
2019,0	119	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	17	D.C. Zaragoza
2019,0	351	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	17	D.C. Zaragoza
2019,0	4	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	18	Ribera Baja del Ebro
2019,0	1	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2019,0	1	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2019,0	2	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	20	Comunidad de Calatayud
2019,0	4	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	20	Comunidad de Calatayud
2019,0	1	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	21	Campo de Cariñena
2019,0	1	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	23	Bajo Martín
2019,0	1	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	25	Jiloca
