Año	Dirección Provincial Código	Nº Accidentes	Grupo	Descripción Ocupación	Sexo	Dirección Provincial Nombre
2019,0	22	1	1	Directores y gerentes	Hombres	Huesca
2019,0	22	1	1	Directores y gerentes	Mujeres	Huesca
2019,0	44	1	1	Directores y gerentes	Hombres	Teruel
2019,0	50	17	1	Directores y gerentes	Hombres	Zaragoza
2019,0	50	5	1	Directores y gerentes	Mujeres	Zaragoza
2019,0	22	5	2	Técnicos y profesionales científicos e intelectuales	Hombres	Huesca
2019,0	22	24	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Huesca
2019,0	44	4	2	Técnicos y profesionales científicos e intelectuales	Hombres	Teruel
2019,0	44	10	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Teruel
2019,0	50	48	2	Técnicos y profesionales científicos e intelectuales	Hombres	Zaragoza
2019,0	50	149	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Zaragoza
2019,0	22	4	3	Técnicos; profesionales de apoyo	Hombres	Huesca
2019,0	22	2	3	Técnicos; profesionales de apoyo	Mujeres	Huesca
2019,0	44	5	3	Técnicos; profesionales de apoyo	Hombres	Teruel
2019,0	44	3	3	Técnicos; profesionales de apoyo	Mujeres	Teruel
2019,0	50	47	3	Técnicos; profesionales de apoyo	Hombres	Zaragoza
2019,0	50	74	3	Técnicos; profesionales de apoyo	Mujeres	Zaragoza
2019,0	22	5	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Huesca
2019,0	22	21	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Huesca
2019,0	44	1	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Teruel
2019,0	44	6	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Teruel
2019,0	50	58	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Zaragoza
2019,0	50	187	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Zaragoza
2019,0	22	16	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Huesca
2019,0	22	51	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Huesca
2019,0	44	2	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Teruel
2019,0	44	15	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Teruel
2019,0	50	124	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Zaragoza
2019,0	50	379	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Zaragoza
2019,0	22	6	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Huesca
2019,0	44	6	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Teruel
2019,0	44	1	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Teruel
2019,0	50	5	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Zaragoza
2019,0	50	1	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Zaragoza
2019,0	22	29	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Huesca
2019,0	22	5	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Huesca
2019,0	44	15	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Teruel
2019,0	44	2	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Teruel
2019,0	50	160	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Zaragoza
2019,0	50	27	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Zaragoza
2019,0	22	17	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Huesca
2019,0	22	3	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Huesca
2019,0	44	4	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Teruel
2019,0	50	120	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Zaragoza
2019,0	50	19	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Zaragoza
2019,0	22	32	9	Ocupaciones elementales	Hombres	Huesca
2019,0	22	39	9	Ocupaciones elementales	Mujeres	Huesca
