Territorio	Año	Sistema de cultivo	Total (A+B+C+D)	(A) TIERRAS DE CULTIVO. Total	Tierras ocupadas por cultivos herbáceos	Barbechos y otras tierras agrícolas no ocupadas	Tierras ocupadas por cultivos leñosos	(B) PRADERAS Y PASTIZALES. Total	Prados naturales	Pastizales	Eriales	(C) TERRENOS FORESTALES. Total	Monte maderable	Monte abierto	Monte leñoso	(D) OTRAS SUPERFICIES. Total	Espartizal	Terrenos improductivos	Superficies no agrícolas	Ríos y Lagos
Aragón	2017	Regadío	470042,0	467991,0	333040,0	65031,0	69920,0	480,0	480,0	0,0	0,0	1571,0	1571,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Aragón	2017	Secano	4303912,0	1295900,0	712606,0	449444,0	133850,0	1050455,0	14374,0	480194,0	555887,0	1641776,0	941372,0	354024,0	346380,0	315781,0	0,0	104761,0	128312,0	82708,0
Aragón	2016	Regadío	443517,0	442039,0	344751,0	31578,0	65710,0	178,0	178,0	0,0	0,0	1300,0	1300,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Aragón	2016	Secano	4328868,0	1237295,0	713933,0	399374,0	123988,0	1143949,0	17888,0	476085,0	649976,0	1645035,0	935418,0	359331,0	350286,0	302589,0	0,0	94284,0	127425,0	80880,0
Aragón	2015	Regadío	446176,0	444711,0	340481,0	38905,0	65325,0	169,0	169,0	0,0	0,0	1296,0	1296,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Aragón	2015	Secano	4326210,0	1272536,0	724548,0	424332,0	123656,0	1121424,0	17442,0	473263,0	630719,0	1635005,0	924431,0	363180,0	347394,0	297245,0	0,0	90757,0	125816,0	80672,0
Aragón	2014	Regadío	449279,0	446786,0	339927,0	43066,0	63793,0	366,0	366,0	0,0	0,0	2127,0	1874,0	0,0	253,0	0,0	0,0	0,0	0,0	0,0
Aragón	2014	Secano	4322127,0	1278086,0	761874,0	390209,0	126003,0	1282636,0	33318,0	264195,0	985123,0	1511942,0	820830,0	238168,0	452944,0	249463,0	0,0	41140,0	125735,0	82588,0
Aragón	2013	Regadío	450370,0	448111,0	337756,0	46610,0	63745,0	347,0	347,0	0,0	0,0	1912,0	1707,0	0,0	205,0	0,0	0,0	0,0	0,0	0,0
Aragón	2013	Secano	4318201,0	1322177,0	750995,0	443649,0	127533,0	1259576,0	33744,0	275469,0	950363,0	1490545,0	767212,0	260242,0	463091,0	245903,0	0,0	39319,0	124875,0	81709,0
Aragón	2012	Regadío	445554,0	441271,0	324255,0	54265,0	62751,0	846,0	846,0	0,0	0,0	3437,0	3250,0	0,0	187,0	0,0	0,0	0,0	0,0	0,0
Aragón	2012	Secano	4322722,0	1318735,0	744156,0	445464,0	129115,0	1273791,0	35574,0	279937,0	958280,0	1485769,0	759649,0	261273,0	464847,0	244427,0	0,0	38905,0	124110,0	81412,0
Aragón	2011	Regadío	440108,0	436926,0	330795,0	45441,0	60690,0	951,0	951,0	0,0	0,0	2231,0	2010,0	0,0	221,0	0,0	0,0	0,0	0,0	0,0
Aragón	2011	Secano	4242465,0	1282953,0	745648,0	407826,0	129479,0	1268346,0	37116,0	285394,0	945836,0	1445602,0	753563,0	242594,0	449445,0	245564,0	0,0	44618,0	121963,0	78983,0
